InventoryConsignmentOwnerKey,ConsignmentOwnerCode,SupplierKey,CustomerKey,ConsignmentOwnerName,OwnershipStartDate,RequiresSegregation,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
11,ICO000011,30,37,Jordan Evans,2020-01-12,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dbbf855ca16f54369bd33e2406402674dbbf855ca16f54369bd33e2406402674
12,ICO000012,196,250,Riley Martin,2020-01-13,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,510dadcdd2eb547b8d376057e71fbb9d510dadcdd2eb547b8d376057e71fbb9d
13,ICO000013,128,450,Blair Evans,2020-01-14,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9d7d72fd2c5a515b800739b805ac21db9d7d72fd2c5a515b800739b805ac21db
14,ICO000014,438,234,Morgan Diaz,2020-01-15,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d047f78a3e9c5b89ad797709c1e62e88d047f78a3e9c5b89ad797709c1e62e88
15,ICO000015,62,395,Blair Garcia,2020-01-16,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,05bac6ca0c8b528e8d47d123b0789d4305bac6ca0c8b528e8d47d123b0789d43
16,ICO000016,279,391,Taylor Martin,2020-01-17,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a8b42e1ce4ff5fbeb655e74590bd0fc0a8b42e1ce4ff5fbeb655e74590bd0fc0
17,ICO000017,-1,-1,Devon Martin,2020-01-18,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b05d5e329a735d07a002d90a1eed46b2b05d5e329a735d07a002d90a1eed46b2
18,ICO000018,166,293,Blair Reed,2020-01-19,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,524988cf026b52bba5bf7e97cd255088524988cf026b52bba5bf7e97cd255088
19,ICO000019,33,309,Casey Reed,2020-01-20,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fd0caf6325df5dc595105bfba184e9a1fd0caf6325df5dc595105bfba184e9a1
20,ICO000020,465,31,Finley Garcia,2020-01-21,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5fad3e35b3685f8b8848d4ef5fd4c4345fad3e35b3685f8b8848d4ef5fd4c434
21,ICO000021,243,45,Finley Singh,2020-01-22,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9af6432364e155148afbbfeace666eaa9af6432364e155148afbbfeace666eaa
22,ICO000022,134,27,Emerson Martin,2020-01-23,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ada5b965fc3d5349a2cf8fd3d00dbc35ada5b965fc3d5349a2cf8fd3d00dbc35
23,ICO000023,208,150,Jordan Hughes,2020-01-24,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a6e99baf048152ae8dcc6c92f26bd70ea6e99baf048152ae8dcc6c92f26bd70e
24,ICO000024,13,177,Harper Garcia,2020-01-25,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b165070cd58558ddb3d6772e1e667f1fb165070cd58558ddb3d6772e1e667f1f
25,ICO000025,263,182,Blair Bennett,2020-01-26,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,46f05c08f51e5defac223a97ce82f31546f05c08f51e5defac223a97ce82f315
26,ICO000026,390,107,Emerson Reed,2020-01-27,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1ba1409987465b12970a7c7774e1161e1ba1409987465b12970a7c7774e1161e
27,ICO000027,13,429,Devon Reed,2020-01-28,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0d745369080754f7836ae152e69337210d745369080754f7836ae152e6933721
28,ICO000028,278,480,Quinn Singh,2020-01-29,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,da6dcec3d2965a67b85a3069968d1ff1da6dcec3d2965a67b85a3069968d1ff1
29,ICO000029,121,307,Harper Singh,2020-01-30,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2c8728fef9e95a87b8c863caf87d6afe2c8728fef9e95a87b8c863caf87d6afe
30,ICO000030,455,429,Finley Diaz,2020-01-31,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8e93a4d81d705698b1ed2c29d946a9fe8e93a4d81d705698b1ed2c29d946a9fe
31,ICO000031,465,209,Morgan Patel,2020-02-01,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bfdd83a654385c639ba17fd28ee69b11bfdd83a654385c639ba17fd28ee69b11
32,ICO000032,368,118,Finley Chen,2020-02-02,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,14a38fbd182855fca99e7fd7490f2a9214a38fbd182855fca99e7fd7490f2a92
33,ICO000033,106,371,Finley Singh,2020-02-03,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,292d2096c2225b46a2328d64895bcfe3292d2096c2225b46a2328d64895bcfe3
34,ICO000034,-1,-1,Jordan Garcia,2020-02-04,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8b5fd375c2ac5431b9975ed1c453a1928b5fd375c2ac5431b9975ed1c453a192
35,ICO000035,191,495,Morgan Garcia,2020-02-05,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1da51ad59c105f94b20937f662e8c6461da51ad59c105f94b20937f662e8c646
36,ICO000036,488,43,Blair Reed,2020-02-06,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,067f18f780225bb6a05113f185b86586067f18f780225bb6a05113f185b86586
37,ICO000037,276,196,Taylor Bennett,2020-02-07,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0b638296b4695273b3d1cbb2c4897e970b638296b4695273b3d1cbb2c4897e97
38,ICO000038,29,37,Harper Diaz,2020-02-08,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a107f5ea213d54c592edd7b3b1ae9952a107f5ea213d54c592edd7b3b1ae9952
39,ICO000039,307,366,Emerson Martin,2020-02-09,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,928741297e3458149f436b7a239a9a88928741297e3458149f436b7a239a9a88
40,ICO000040,290,298,Alex Bennett,2020-02-10,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3b70bf0651c351d39da2860f0f99d0b13b70bf0651c351d39da2860f0f99d0b1
41,ICO000041,47,245,Emerson Patel,2020-02-11,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,958c4826607a5e2aa9d9d576aa2e7fe8958c4826607a5e2aa9d9d576aa2e7fe8
42,ICO000042,141,233,Morgan Bennett,2020-02-12,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7684b668133056f8972b05472760c4867684b668133056f8972b05472760c486
43,ICO000043,489,329,Alex Diaz,2020-02-13,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,40d60f1d7b055747b760b64b47054aa840d60f1d7b055747b760b64b47054aa8
44,ICO000044,272,85,Blair Diaz,2020-02-14,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,de69ec5f67c554ddb1d00033d858ca79de69ec5f67c554ddb1d00033d858ca79
45,ICO000045,299,394,Devon Diaz,2020-02-15,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6a1844137742528f9df6be18e3084ed86a1844137742528f9df6be18e3084ed8
46,ICO000046,392,432,Harper Diaz,2020-02-16,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,84e0f97c5dcf5812b4327a848e87c2b384e0f97c5dcf5812b4327a848e87c2b3
47,ICO000047,38,157,Devon Adams,2020-02-17,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e3a00324726e559b941bdfacfb1f7177e3a00324726e559b941bdfacfb1f7177
48,ICO000048,440,445,Finley Adams,2020-02-18,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d5758f0d38eb5126afb5b956ce0bab3fd5758f0d38eb5126afb5b956ce0bab3f
49,ICO000049,89,131,Finley Martin,2020-02-19,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e27df0ca5bd3534da46e579a2713a6ace27df0ca5bd3534da46e579a2713a6ac
50,ICO000050,104,91,Emerson Hughes,2020-02-20,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7eac0212e69a5508ae23a36cb2729a107eac0212e69a5508ae23a36cb2729a10
51,ICO000051,-1,-1,Taylor Bennett,2020-02-21,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d847f77d8e2a5c7d99d7118c93ab6fbcd847f77d8e2a5c7d99d7118c93ab6fbc
52,ICO000052,174,207,Finley Diaz,2020-02-22,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,76304b13a5a65bfb954cb2b3803c0f2e76304b13a5a65bfb954cb2b3803c0f2e
53,ICO000053,421,350,Alex Khan,2020-02-23,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6540efd715a05e3985ee525dc56dfa126540efd715a05e3985ee525dc56dfa12
54,ICO000054,385,140,Blair Adams,2020-02-24,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fd6f926b0fbd53ba8831b00759a938cdfd6f926b0fbd53ba8831b00759a938cd
55,ICO000055,201,157,Blair Chen,2020-02-25,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a9768fae9c4c57a1b81a9302c25b013da9768fae9c4c57a1b81a9302c25b013d
56,ICO000056,179,295,Quinn Garcia,2020-02-26,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,755e86812ab059ae9b1182a4e31ac015755e86812ab059ae9b1182a4e31ac015
57,ICO000057,466,283,Harper Singh,2020-02-27,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,68429ffa90be592aaee026d7f5e6110e68429ffa90be592aaee026d7f5e6110e
58,ICO000058,325,21,Blair Diaz,2020-02-28,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4dab6ed47e3852f5950806ccd6aea4c04dab6ed47e3852f5950806ccd6aea4c0
59,ICO000059,307,151,Morgan Evans,2020-02-29,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f98531bed0765968a6fe179b7b198d09f98531bed0765968a6fe179b7b198d09
60,ICO000060,19,440,Morgan Hughes,2020-03-01,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,493b8fbead015864971b7d1366660a43493b8fbead015864971b7d1366660a43
61,ICO000061,286,298,Harper Garcia,2020-03-02,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9815895d04db58bfafff391beb35b5c99815895d04db58bfafff391beb35b5c9
62,ICO000062,84,315,Riley Bennett,2020-03-03,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,658882917e1251e48155ee4fdf9c9ce3658882917e1251e48155ee4fdf9c9ce3
63,ICO000063,125,239,Quinn Singh,2020-03-04,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fe1374a5bba756e7b7731254e073f07cfe1374a5bba756e7b7731254e073f07c
64,ICO000064,212,212,Emerson Chen,2020-03-05,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,eab107dd1bcc558e94974af3875eb14eeab107dd1bcc558e94974af3875eb14e
65,ICO000065,11,247,Jordan Evans,2020-03-06,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2abf0df806605d19a434e7af71129d402abf0df806605d19a434e7af71129d40
66,ICO000066,213,109,Harper Bennett,2020-03-07,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0040c23cb1be54ab9b189b7ac6d3cb370040c23cb1be54ab9b189b7ac6d3cb37
67,ICO000067,41,18,Casey Chen,2020-03-08,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,42b8aee3158d583dbd06135f07c442f042b8aee3158d583dbd06135f07c442f0
68,ICO000068,-1,-1,Riley Adams,2020-03-09,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2a13e83463725f77984744746566f9332a13e83463725f77984744746566f933
69,ICO000069,264,203,Quinn Bennett,2020-03-10,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,994c410373215d2fa7d372c5ce2764a6994c410373215d2fa7d372c5ce2764a6
70,ICO000070,170,381,Devon Martin,2020-03-11,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8ea1c330e4aa5bffa75e0dceccbe634e8ea1c330e4aa5bffa75e0dceccbe634e
71,ICO000071,113,195,Casey Chen,2020-03-12,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6b161698d09a562db91537384c3509d06b161698d09a562db91537384c3509d0
72,ICO000072,16,457,Devon Hughes,2020-03-13,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c36e0002b4c1592990af7225962c6312c36e0002b4c1592990af7225962c6312
73,ICO000073,59,46,Jordan Khan,2020-03-14,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,27b4bca878d05c00b756da44294ca3c227b4bca878d05c00b756da44294ca3c2
74,ICO000074,252,467,Casey Evans,2020-03-15,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,06255d7b9fd156e7b37582f37442fafb06255d7b9fd156e7b37582f37442fafb
75,ICO000075,249,279,Taylor Chen,2020-03-16,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,de5b77630a5d5b8d9cd35d3bff908818de5b77630a5d5b8d9cd35d3bff908818
76,ICO000076,248,85,Blair Khan,2020-03-17,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6225a616d6f05f76a91e96720774461a6225a616d6f05f76a91e96720774461a
77,ICO000077,64,361,Casey Bennett,2020-03-18,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2f86777dbbe65ec7b9f55d9f76e197aa2f86777dbbe65ec7b9f55d9f76e197aa
78,ICO000078,109,9,Morgan Adams,2020-03-19,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,53b38343fe465b4c967d9c94daca32db53b38343fe465b4c967d9c94daca32db
79,ICO000079,285,16,Jordan Reed,2020-03-20,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1fd5ebfd0f2d53028dcc531ec190d3fe1fd5ebfd0f2d53028dcc531ec190d3fe
80,ICO000080,490,303,Quinn Reed,2020-03-21,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5ec6d911a128509aa093c77917a12c165ec6d911a128509aa093c77917a12c16
81,ICO000081,154,82,Riley Singh,2020-03-22,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,52201ae85d645a6584ed81d0d75e0f6f52201ae85d645a6584ed81d0d75e0f6f
82,ICO000082,490,284,Taylor Khan,2020-03-23,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8abb59f07b2d583cbbc13c94fba357ce8abb59f07b2d583cbbc13c94fba357ce
83,ICO000083,415,44,Jordan Garcia,2020-03-24,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3f1829029e085982a835cbbb7b9c5ecf3f1829029e085982a835cbbb7b9c5ecf
84,ICO000084,279,271,Morgan Bennett,2020-03-25,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d8f9d948b29f5dd282d70bef8bcf8974d8f9d948b29f5dd282d70bef8bcf8974
85,ICO000085,-1,-1,Casey Martin,2020-03-26,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6a401ad0d7e45f4abf0a9f7736d286fa6a401ad0d7e45f4abf0a9f7736d286fa
86,ICO000086,434,363,Casey Garcia,2020-03-27,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,757dce497b9e5232bf5e7bde8f582c34757dce497b9e5232bf5e7bde8f582c34
87,ICO000087,66,380,Alex Adams,2020-03-28,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dd91eaf175625e919a4726d5af5989c4dd91eaf175625e919a4726d5af5989c4
88,ICO000088,414,176,Finley Evans,2020-03-29,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bafc806e9efd55bf8843f955190b4c7abafc806e9efd55bf8843f955190b4c7a
89,ICO000089,488,263,Morgan Khan,2020-03-30,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,aa4f63dc1e59557d804275b3d02af59faa4f63dc1e59557d804275b3d02af59f
90,ICO000090,373,93,Finley Garcia,2020-03-31,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4c9a17888ca0528c89b6ffb0bc75c5f24c9a17888ca0528c89b6ffb0bc75c5f2
91,ICO000091,30,186,Riley Diaz,2020-04-01,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2050435711455db19bf80b7c876d23dc2050435711455db19bf80b7c876d23dc
92,ICO000092,95,187,Alex Patel,2020-04-02,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ebcb09508af15669ac717beff99ec2f0ebcb09508af15669ac717beff99ec2f0
93,ICO000093,440,259,Alex Hughes,2020-04-03,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,651c22173fd05030a62d429a452a4d3c651c22173fd05030a62d429a452a4d3c
94,ICO000094,401,380,Riley Singh,2020-04-04,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f6cbbbe0d0225900a19e3f1f9effea26f6cbbbe0d0225900a19e3f1f9effea26
95,ICO000095,465,496,Riley Bennett,2020-04-05,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c57ab4e6ed3d5741bf852ec233389391c57ab4e6ed3d5741bf852ec233389391
96,ICO000096,408,470,Blair Garcia,2020-04-06,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,eadec77a402d5f02bc2d1464b408fe60eadec77a402d5f02bc2d1464b408fe60
97,ICO000097,337,415,Alex Martin,2020-04-07,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,44e08cf0e38554e0acab7ef60ab71b0544e08cf0e38554e0acab7ef60ab71b05
98,ICO000098,304,189,Harper Garcia,2020-04-08,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c6fa3e3c2c4a5dc286b188b87dd2b3cdc6fa3e3c2c4a5dc286b188b87dd2b3cd
99,ICO000099,389,193,Morgan Bennett,2020-04-09,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3579e45a7423508cb0919b22889b93a83579e45a7423508cb0919b22889b93a8
100,ICO000100,197,123,Harper Evans,2020-04-10,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cf4eb50f1bc35e1ca5f269584a518d66cf4eb50f1bc35e1ca5f269584a518d66
101,ICO000101,167,153,Quinn Diaz,2020-04-11,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0092e8b7cf6e5475a926345d40ade80b0092e8b7cf6e5475a926345d40ade80b
102,ICO000102,-1,-1,Blair Adams,2020-04-12,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1b7ab8ddb7145407b9c09f1fe80163ce1b7ab8ddb7145407b9c09f1fe80163ce
103,ICO000103,257,385,Emerson Bennett,2020-04-13,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,690f8c5a2a05546bb4f735f5e030d395690f8c5a2a05546bb4f735f5e030d395
104,ICO000104,366,17,Taylor Diaz,2020-04-14,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5a133628e77155b9bff4248c3d3a39e35a133628e77155b9bff4248c3d3a39e3
105,ICO000105,366,425,Devon Patel,2020-04-15,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,148e2d3b9c29557a9481b353ee2a102b148e2d3b9c29557a9481b353ee2a102b
106,ICO000106,487,230,Finley Hughes,2020-04-16,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4d2e79cc77f856e9826c621c3d781a0f4d2e79cc77f856e9826c621c3d781a0f
107,ICO000107,90,458,Morgan Patel,2020-04-17,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,83cf037de0685199b4559fd38bbb3ca383cf037de0685199b4559fd38bbb3ca3
108,ICO000108,429,449,Taylor Patel,2020-04-18,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6bc8e47070725d0283c237e143c768f46bc8e47070725d0283c237e143c768f4
109,ICO000109,119,335,Alex Martin,2020-04-19,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ce057d74edb7567198e6b2f97a3db74cce057d74edb7567198e6b2f97a3db74c
110,ICO000110,370,371,Quinn Hughes,2020-04-20,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,89f25056309a5fed92c561e66ca61ab789f25056309a5fed92c561e66ca61ab7
111,ICO000111,80,286,Devon Martin,2020-04-21,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1a9b6988f87f5f9786a2bdfcf27843d01a9b6988f87f5f9786a2bdfcf27843d0
