EmployeeUnionKey,UnionCode,CountryKey,RecordStatusKey,UnionName,UnionDescription,OwnerName,EffectiveStartDate,EffectiveEndDate,IsActive,SourceSystemKey,BatchId,LoadedAtUtc
13,EU000013,65,3,Granite EmployeeUnion 13,EmployeeUnion starter record 13,Casey Evans,2020-01-14,2021-01-13,1,1,1,2026-08-24T00:00:00.000
14,EU000014,16,2,Delta EmployeeUnion 14,EmployeeUnion starter record 14,Jordan Evans,2020-01-15,2021-01-14,1,1,1,2026-08-24T00:00:00.000
15,EU000015,159,3,Granite EmployeeUnion 15,EmployeeUnion starter record 15,Emerson Khan,2020-01-16,2021-01-15,0,1,1,2026-08-24T00:00:00.000
16,EU000016,245,1,Quartz EmployeeUnion 16,EmployeeUnion starter record 16,Emerson Singh,2020-01-17,2021-01-16,1,1,1,2026-08-24T00:00:00.000
17,EU000017,215,4,Pioneer EmployeeUnion 17,EmployeeUnion starter record 17,Taylor Hughes,2020-01-18,2021-01-17,1,1,1,2026-08-24T00:00:00.000
18,EU000018,90,1,Willow EmployeeUnion 18,EmployeeUnion starter record 18,Alex Martin,2020-01-19,2021-01-18,1,1,1,2026-08-24T00:00:00.000
19,EU000019,117,3,Pioneer EmployeeUnion 19,EmployeeUnion starter record 19,Quinn Patel,2020-01-20,2021-01-19,1,1,1,2026-08-24T00:00:00.000
20,EU000020,240,4,Keystone EmployeeUnion 20,EmployeeUnion starter record 20,Riley Garcia,2020-01-21,2021-01-20,0,1,1,2026-08-24T00:00:00.000
21,EU000021,103,3,Keystone EmployeeUnion 21,EmployeeUnion starter record 21,Quinn Patel,2020-01-22,2021-01-21,1,1,1,2026-08-24T00:00:00.000
22,EU000022,199,3,Liberty EmployeeUnion 22,EmployeeUnion starter record 22,Alex Adams,2020-01-23,2021-01-22,1,1,1,2026-08-24T00:00:00.000
23,EU000023,225,2,Titan EmployeeUnion 23,EmployeeUnion starter record 23,Blair Evans,2020-01-24,2021-01-23,1,1,1,2026-08-24T00:00:00.000
24,EU000024,247,3,Riverton EmployeeUnion 24,EmployeeUnion starter record 24,Casey Hughes,2020-01-25,2021-01-24,1,1,1,2026-08-24T00:00:00.000
25,EU000025,62,1,Junction EmployeeUnion 25,EmployeeUnion starter record 25,Alex Diaz,2020-01-26,2021-01-25,0,1,1,2026-08-24T00:00:00.000
26,EU000026,227,3,Junction EmployeeUnion 26,EmployeeUnion starter record 26,Riley Diaz,2020-01-27,2021-01-26,1,1,1,2026-08-24T00:00:00.000
27,EU000027,194,4,Willow EmployeeUnion 27,EmployeeUnion starter record 27,Finley Garcia,2020-01-28,2021-01-27,1,1,1,2026-08-24T00:00:00.000
28,EU000028,110,3,Pioneer EmployeeUnion 28,EmployeeUnion starter record 28,Devon Diaz,2020-01-29,2021-01-28,1,1,1,2026-08-24T00:00:00.000
29,EU000029,204,2,Vertex EmployeeUnion 29,EmployeeUnion starter record 29,Casey Bennett,2020-01-30,2021-01-29,1,1,1,2026-08-24T00:00:00.000
30,EU000030,42,4,Ion EmployeeUnion 30,EmployeeUnion starter record 30,Blair Patel,2020-01-31,2021-01-30,0,1,1,2026-08-24T00:00:00.000
31,EU000031,28,2,Beacon EmployeeUnion 31,EmployeeUnion starter record 31,Harper Hughes,2020-02-01,2021-01-31,1,1,1,2026-08-24T00:00:00.000
32,EU000032,97,2,Ion EmployeeUnion 32,EmployeeUnion starter record 32,Taylor Hughes,2020-02-02,2021-02-01,1,1,1,2026-08-24T00:00:00.000
33,EU000033,133,3,Delta EmployeeUnion 33,EmployeeUnion starter record 33,Blair Diaz,2020-02-03,2021-02-02,1,1,1,2026-08-24T00:00:00.000
34,EU000034,121,4,Riverton EmployeeUnion 34,EmployeeUnion starter record 34,Morgan Patel,2020-02-04,2021-02-03,1,1,1,2026-08-24T00:00:00.000
35,EU000035,176,3,Northstar EmployeeUnion 35,EmployeeUnion starter record 35,Emerson Bennett,2020-02-05,2021-02-04,0,1,1,2026-08-24T00:00:00.000
36,EU000036,29,4,Granite EmployeeUnion 36,EmployeeUnion starter record 36,Blair Diaz,2020-02-06,2021-02-05,1,1,1,2026-08-24T00:00:00.000
37,EU000037,62,2,Cedar EmployeeUnion 37,EmployeeUnion starter record 37,Taylor Evans,2020-02-07,2021-02-06,1,1,1,2026-08-24T00:00:00.000
38,EU000038,197,1,Willow EmployeeUnion 38,EmployeeUnion starter record 38,Finley Hughes,2020-02-08,2021-02-07,1,1,1,2026-08-24T00:00:00.000
39,EU000039,91,3,Orion EmployeeUnion 39,EmployeeUnion starter record 39,Harper Patel,2020-02-09,2021-02-08,1,1,1,2026-08-24T00:00:00.000
40,EU000040,195,4,Forge EmployeeUnion 40,EmployeeUnion starter record 40,Alex Bennett,2020-02-10,2021-02-09,0,1,1,2026-08-24T00:00:00.000
41,EU000041,73,4,Summit EmployeeUnion 41,EmployeeUnion starter record 41,Jordan Diaz,2020-02-11,2021-02-10,1,1,1,2026-08-24T00:00:00.000
42,EU000042,95,3,Titan EmployeeUnion 42,EmployeeUnion starter record 42,Emerson Khan,2020-02-12,2021-02-11,1,1,1,2026-08-24T00:00:00.000
43,EU000043,101,4,Keystone EmployeeUnion 43,EmployeeUnion starter record 43,Emerson Diaz,2020-02-13,2021-02-12,1,1,1,2026-08-24T00:00:00.000
44,EU000044,96,2,Vertex EmployeeUnion 44,EmployeeUnion starter record 44,Finley Hughes,2020-02-14,2021-02-13,1,1,1,2026-08-24T00:00:00.000
45,EU000045,49,3,Evergreen EmployeeUnion 45,EmployeeUnion starter record 45,Emerson Hughes,2020-02-15,2021-02-14,0,1,1,2026-08-24T00:00:00.000
46,EU000046,208,2,Atlas EmployeeUnion 46,EmployeeUnion starter record 46,Harper Chen,2020-02-16,2021-02-15,1,1,1,2026-08-24T00:00:00.000
47,EU000047,213,4,Willow EmployeeUnion 47,EmployeeUnion starter record 47,Quinn Diaz,2020-02-17,2021-02-16,1,1,1,2026-08-24T00:00:00.000
48,EU000048,170,3,Northstar EmployeeUnion 48,EmployeeUnion starter record 48,Blair Chen,2020-02-18,2021-02-17,1,1,1,2026-08-24T00:00:00.000
49,EU000049,195,2,Willow EmployeeUnion 49,EmployeeUnion starter record 49,Casey Bennett,2020-02-19,2021-02-18,1,1,1,2026-08-24T00:00:00.000
50,EU000050,249,1,Harbor EmployeeUnion 50,EmployeeUnion starter record 50,Alex Singh,2020-02-20,2021-02-19,0,1,1,2026-08-24T00:00:00.000
51,EU000051,28,3,Quartz EmployeeUnion 51,EmployeeUnion starter record 51,Riley Reed,2020-02-21,2021-02-20,1,1,1,2026-08-24T00:00:00.000
52,EU000052,33,4,Atlas EmployeeUnion 52,EmployeeUnion starter record 52,Harper Reed,2020-02-22,2021-02-21,1,1,1,2026-08-24T00:00:00.000
53,EU000053,241,3,Cedar EmployeeUnion 53,EmployeeUnion starter record 53,Morgan Adams,2020-02-23,2021-02-22,1,1,1,2026-08-24T00:00:00.000
54,EU000054,131,4,Delta EmployeeUnion 54,EmployeeUnion starter record 54,Finley Bennett,2020-02-24,2021-02-23,1,1,1,2026-08-24T00:00:00.000
55,EU000055,65,3,Junction EmployeeUnion 55,EmployeeUnion starter record 55,Taylor Reed,2020-02-25,2021-02-24,0,1,1,2026-08-24T00:00:00.000
56,EU000056,69,4,Harbor EmployeeUnion 56,EmployeeUnion starter record 56,Alex Chen,2020-02-26,2021-02-25,1,1,1,2026-08-24T00:00:00.000
57,EU000057,113,1,Forge EmployeeUnion 57,EmployeeUnion starter record 57,Emerson Reed,2020-02-27,2021-02-26,1,1,1,2026-08-24T00:00:00.000
58,EU000058,226,3,Evergreen EmployeeUnion 58,EmployeeUnion starter record 58,Riley Evans,2020-02-28,2021-02-27,1,1,1,2026-08-24T00:00:00.000
59,EU000059,127,4,Granite EmployeeUnion 59,EmployeeUnion starter record 59,Devon Reed,2020-02-29,2021-02-28,1,1,1,2026-08-24T00:00:00.000
60,EU000060,154,2,Quartz EmployeeUnion 60,EmployeeUnion starter record 60,Blair Evans,2020-03-01,2021-03-01,0,1,1,2026-08-24T00:00:00.000
