ProductCertificationKey,CertificationCode,ComplianceStandardKey,RecordStatusKey,CertificationName,CertificationDescription,OwnerName,EffectiveStartDate,EffectiveEndDate,IsActive,SourceSystemKey,BatchId,LoadedAtUtc
28,PC000028,23,1,Orion ProductCertification 28,ProductCertification starter record 28,Finley Bennett,2020-01-29,2021-01-28,1,1,1,2026-08-24T00:00:00.000
29,PC000029,25,1,Meridian ProductCertification 29,ProductCertification starter record 29,Emerson Evans,2020-01-30,2021-01-29,1,1,1,2026-08-24T00:00:00.000
30,PC000030,16,3,Evergreen ProductCertification 30,ProductCertification starter record 30,Blair Patel,2020-01-31,2021-01-30,0,1,1,2026-08-24T00:00:00.000
31,PC000031,12,4,Meridian ProductCertification 31,ProductCertification starter record 31,Quinn Bennett,2020-02-01,2021-01-31,1,1,1,2026-08-24T00:00:00.000
32,PC000032,20,2,Riverton ProductCertification 32,ProductCertification starter record 32,Riley Garcia,2020-02-02,2021-02-01,1,1,1,2026-08-24T00:00:00.000
33,PC000033,11,2,Junction ProductCertification 33,ProductCertification starter record 33,Morgan Reed,2020-02-03,2021-02-02,1,1,1,2026-08-24T00:00:00.000
34,PC000034,17,3,Cedar ProductCertification 34,ProductCertification starter record 34,Casey Diaz,2020-02-04,2021-02-03,1,1,1,2026-08-24T00:00:00.000
35,PC000035,8,3,Meridian ProductCertification 35,ProductCertification starter record 35,Riley Bennett,2020-02-05,2021-02-04,0,1,1,2026-08-24T00:00:00.000
36,PC000036,12,3,Atlas ProductCertification 36,ProductCertification starter record 36,Alex Garcia,2020-02-06,2021-02-05,1,1,1,2026-08-24T00:00:00.000
37,PC000037,16,4,Orion ProductCertification 37,ProductCertification starter record 37,Alex Bennett,2020-02-07,2021-02-06,1,1,1,2026-08-24T00:00:00.000
38,PC000038,18,4,Zenith ProductCertification 38,ProductCertification starter record 38,Harper Martin,2020-02-08,2021-02-07,1,1,1,2026-08-24T00:00:00.000
39,PC000039,24,3,Unity ProductCertification 39,ProductCertification starter record 39,Alex Reed,2020-02-09,2021-02-08,1,1,1,2026-08-24T00:00:00.000
40,PC000040,19,3,Granite ProductCertification 40,ProductCertification starter record 40,Devon Patel,2020-02-10,2021-02-09,0,1,1,2026-08-24T00:00:00.000
41,PC000041,11,2,Beacon ProductCertification 41,ProductCertification starter record 41,Jordan Reed,2020-02-11,2021-02-10,1,1,1,2026-08-24T00:00:00.000
42,PC000042,4,1,Liberty ProductCertification 42,ProductCertification starter record 42,Casey Patel,2020-02-12,2021-02-11,1,1,1,2026-08-24T00:00:00.000
43,PC000043,10,3,Summit ProductCertification 43,ProductCertification starter record 43,Casey Adams,2020-02-13,2021-02-12,1,1,1,2026-08-24T00:00:00.000
44,PC000044,22,4,Meridian ProductCertification 44,ProductCertification starter record 44,Devon Adams,2020-02-14,2021-02-13,1,1,1,2026-08-24T00:00:00.000
45,PC000045,4,4,Granite ProductCertification 45,ProductCertification starter record 45,Riley Singh,2020-02-15,2021-02-14,0,1,1,2026-08-24T00:00:00.000
46,PC000046,21,3,Atlas ProductCertification 46,ProductCertification starter record 46,Finley Adams,2020-02-16,2021-02-15,1,1,1,2026-08-24T00:00:00.000
47,PC000047,17,1,Northstar ProductCertification 47,ProductCertification starter record 47,Blair Reed,2020-02-17,2021-02-16,1,1,1,2026-08-24T00:00:00.000
48,PC000048,3,1,Quartz ProductCertification 48,ProductCertification starter record 48,Alex Singh,2020-02-18,2021-02-17,1,1,1,2026-08-24T00:00:00.000
49,PC000049,20,4,Summit ProductCertification 49,ProductCertification starter record 49,Blair Martin,2020-02-19,2021-02-18,1,1,1,2026-08-24T00:00:00.000
50,PC000050,10,1,Willow ProductCertification 50,ProductCertification starter record 50,Devon Chen,2020-02-20,2021-02-19,0,1,1,2026-08-24T00:00:00.000
51,PC000051,18,1,Northstar ProductCertification 51,ProductCertification starter record 51,Taylor Hughes,2020-02-21,2021-02-20,1,1,1,2026-08-24T00:00:00.000
52,PC000052,24,4,Pioneer ProductCertification 52,ProductCertification starter record 52,Casey Martin,2020-02-22,2021-02-21,1,1,1,2026-08-24T00:00:00.000
53,PC000053,20,1,Pioneer ProductCertification 53,ProductCertification starter record 53,Finley Evans,2020-02-23,2021-02-22,1,1,1,2026-08-24T00:00:00.000
54,PC000054,25,1,Ion ProductCertification 54,ProductCertification starter record 54,Alex Adams,2020-02-24,2021-02-23,1,1,1,2026-08-24T00:00:00.000
55,PC000055,4,4,Vertex ProductCertification 55,ProductCertification starter record 55,Casey Garcia,2020-02-25,2021-02-24,0,1,1,2026-08-24T00:00:00.000
56,PC000056,11,2,Liberty ProductCertification 56,ProductCertification starter record 56,Harper Patel,2020-02-26,2021-02-25,1,1,1,2026-08-24T00:00:00.000
57,PC000057,23,3,Riverton ProductCertification 57,ProductCertification starter record 57,Morgan Reed,2020-02-27,2021-02-26,1,1,1,2026-08-24T00:00:00.000
58,PC000058,14,4,Beacon ProductCertification 58,ProductCertification starter record 58,Riley Hughes,2020-02-28,2021-02-27,1,1,1,2026-08-24T00:00:00.000
59,PC000059,16,1,Granite ProductCertification 59,ProductCertification starter record 59,Riley Martin,2020-02-29,2021-02-28,1,1,1,2026-08-24T00:00:00.000
60,PC000060,23,4,Cedar ProductCertification 60,ProductCertification starter record 60,Morgan Martin,2020-03-01,2021-03-01,0,1,1,2026-08-24T00:00:00.000
61,PC000061,18,2,Atlas ProductCertification 61,ProductCertification starter record 61,Taylor Evans,2020-03-02,2021-03-02,1,1,1,2026-08-24T00:00:00.000
62,PC000062,3,3,Delta ProductCertification 62,ProductCertification starter record 62,Finley Bennett,2020-03-03,2021-03-03,1,1,1,2026-08-24T00:00:00.000
63,PC000063,8,3,Beacon ProductCertification 63,ProductCertification starter record 63,Emerson Chen,2020-03-04,2021-03-04,1,1,1,2026-08-24T00:00:00.000
64,PC000064,15,2,Zenith ProductCertification 64,ProductCertification starter record 64,Finley Reed,2020-03-05,2021-03-05,1,1,1,2026-08-24T00:00:00.000
65,PC000065,14,2,Riverton ProductCertification 65,ProductCertification starter record 65,Jordan Chen,2020-03-06,2021-03-06,0,1,1,2026-08-24T00:00:00.000
66,PC000066,24,3,Delta ProductCertification 66,ProductCertification starter record 66,Morgan Martin,2020-03-07,2021-03-07,1,1,1,2026-08-24T00:00:00.000
67,PC000067,16,1,Titan ProductCertification 67,ProductCertification starter record 67,Harper Khan,2020-03-08,2021-03-08,1,1,1,2026-08-24T00:00:00.000
68,PC000068,12,1,Meridian ProductCertification 68,ProductCertification starter record 68,Harper Patel,2020-03-09,2021-03-09,1,1,1,2026-08-24T00:00:00.000
69,PC000069,3,3,Pioneer ProductCertification 69,ProductCertification starter record 69,Blair Evans,2020-03-10,2021-03-10,1,1,1,2026-08-24T00:00:00.000
70,PC000070,5,4,Harbor ProductCertification 70,ProductCertification starter record 70,Blair Khan,2020-03-11,2021-03-11,0,1,1,2026-08-24T00:00:00.000
71,PC000071,12,2,Northstar ProductCertification 71,ProductCertification starter record 71,Morgan Reed,2020-03-12,2021-03-12,1,1,1,2026-08-24T00:00:00.000
72,PC000072,2,3,Harbor ProductCertification 72,ProductCertification starter record 72,Jordan Diaz,2020-03-13,2021-03-13,1,1,1,2026-08-24T00:00:00.000
73,PC000073,7,1,Forge ProductCertification 73,ProductCertification starter record 73,Quinn Garcia,2020-03-14,2021-03-14,1,1,1,2026-08-24T00:00:00.000
74,PC000074,12,1,Keystone ProductCertification 74,ProductCertification starter record 74,Emerson Adams,2020-03-15,2021-03-15,1,1,1,2026-08-24T00:00:00.000
75,PC000075,3,4,Liberty ProductCertification 75,ProductCertification starter record 75,Blair Reed,2020-03-16,2021-03-16,0,1,1,2026-08-24T00:00:00.000
76,PC000076,24,4,Summit ProductCertification 76,ProductCertification starter record 76,Devon Patel,2020-03-17,2021-03-17,1,1,1,2026-08-24T00:00:00.000
77,PC000077,2,2,Forge ProductCertification 77,ProductCertification starter record 77,Finley Khan,2020-03-18,2021-03-18,1,1,1,2026-08-24T00:00:00.000
78,PC000078,21,1,Vertex ProductCertification 78,ProductCertification starter record 78,Casey Hughes,2020-03-19,2021-03-19,1,1,1,2026-08-24T00:00:00.000
79,PC000079,25,1,Junction ProductCertification 79,ProductCertification starter record 79,Taylor Patel,2020-03-20,2021-03-20,1,1,1,2026-08-24T00:00:00.000
80,PC000080,9,3,Junction ProductCertification 80,ProductCertification starter record 80,Morgan Adams,2020-03-21,2021-03-21,0,1,1,2026-08-24T00:00:00.000
81,PC000081,8,4,Titan ProductCertification 81,ProductCertification starter record 81,Casey Diaz,2020-03-22,2021-03-22,1,1,1,2026-08-24T00:00:00.000
82,PC000082,7,3,Vertex ProductCertification 82,ProductCertification starter record 82,Alex Adams,2020-03-23,2021-03-23,1,1,1,2026-08-24T00:00:00.000
83,PC000083,16,4,Granite ProductCertification 83,ProductCertification starter record 83,Blair Singh,2020-03-24,2021-03-24,1,1,1,2026-08-24T00:00:00.000
84,PC000084,7,1,Meridian ProductCertification 84,ProductCertification starter record 84,Morgan Diaz,2020-03-25,2021-03-25,1,1,1,2026-08-24T00:00:00.000
85,PC000085,15,2,Pioneer ProductCertification 85,ProductCertification starter record 85,Morgan Patel,2020-03-26,2021-03-26,0,1,1,2026-08-24T00:00:00.000
86,PC000086,2,2,Titan ProductCertification 86,ProductCertification starter record 86,Blair Khan,2020-03-27,2021-03-27,1,1,1,2026-08-24T00:00:00.000
87,PC000087,24,1,Atlas ProductCertification 87,ProductCertification starter record 87,Jordan Evans,2020-03-28,2021-03-28,1,1,1,2026-08-24T00:00:00.000
88,PC000088,20,1,Junction ProductCertification 88,ProductCertification starter record 88,Finley Diaz,2020-03-29,2021-03-29,1,1,1,2026-08-24T00:00:00.000
89,PC000089,5,4,Riverton ProductCertification 89,ProductCertification starter record 89,Quinn Bennett,2020-03-30,2021-03-30,1,1,1,2026-08-24T00:00:00.000
90,PC000090,17,4,Ion ProductCertification 90,ProductCertification starter record 90,Harper Garcia,2020-03-31,2021-03-31,0,1,1,2026-08-24T00:00:00.000
91,PC000091,20,4,Atlas ProductCertification 91,ProductCertification starter record 91,Casey Khan,2020-04-01,2021-04-01,1,1,1,2026-08-24T00:00:00.000
92,PC000092,2,3,Liberty ProductCertification 92,ProductCertification starter record 92,Riley Diaz,2020-04-02,2021-04-02,1,1,1,2026-08-24T00:00:00.000
93,PC000093,10,2,Vertex ProductCertification 93,ProductCertification starter record 93,Quinn Adams,2020-04-03,2021-04-03,1,1,1,2026-08-24T00:00:00.000
94,PC000094,2,2,Delta ProductCertification 94,ProductCertification starter record 94,Blair Adams,2020-04-04,2021-04-04,1,1,1,2026-08-24T00:00:00.000
95,PC000095,9,2,Granite ProductCertification 95,ProductCertification starter record 95,Morgan Evans,2020-04-05,2021-04-05,0,1,1,2026-08-24T00:00:00.000
96,PC000096,9,2,Willow ProductCertification 96,ProductCertification starter record 96,Taylor Singh,2020-04-06,2021-04-06,1,1,1,2026-08-24T00:00:00.000
97,PC000097,12,1,Cedar ProductCertification 97,ProductCertification starter record 97,Alex Hughes,2020-04-07,2021-04-07,1,1,1,2026-08-24T00:00:00.000
98,PC000098,23,2,Delta ProductCertification 98,ProductCertification starter record 98,Blair Bennett,2020-04-08,2021-04-08,1,1,1,2026-08-24T00:00:00.000
99,PC000099,7,2,Liberty ProductCertification 99,ProductCertification starter record 99,Taylor Martin,2020-04-09,2021-04-09,1,1,1,2026-08-24T00:00:00.000
100,PC000100,18,1,Summit ProductCertification 100,ProductCertification starter record 100,Finley Garcia,2020-04-10,2021-04-10,0,1,1,2026-08-24T00:00:00.000
101,PC000101,12,2,Delta ProductCertification 101,ProductCertification starter record 101,Devon Garcia,2020-04-11,2021-04-11,1,1,1,2026-08-24T00:00:00.000
102,PC000102,24,2,Quartz ProductCertification 102,ProductCertification starter record 102,Quinn Diaz,2020-04-12,2021-04-12,1,1,1,2026-08-24T00:00:00.000
103,PC000103,14,3,Summit ProductCertification 103,ProductCertification starter record 103,Quinn Hughes,2020-04-13,2021-04-13,1,1,1,2026-08-24T00:00:00.000
104,PC000104,14,1,Forge ProductCertification 104,ProductCertification starter record 104,Casey Adams,2020-04-14,2021-04-14,1,1,1,2026-08-24T00:00:00.000
105,PC000105,16,1,Titan ProductCertification 105,ProductCertification starter record 105,Taylor Adams,2020-04-15,2021-04-15,0,1,1,2026-08-24T00:00:00.000
106,PC000106,17,4,Titan ProductCertification 106,ProductCertification starter record 106,Jordan Hughes,2020-04-16,2021-04-16,1,1,1,2026-08-24T00:00:00.000
107,PC000107,5,4,Beacon ProductCertification 107,ProductCertification starter record 107,Quinn Chen,2020-04-17,2021-04-17,1,1,1,2026-08-24T00:00:00.000
108,PC000108,16,3,Forge ProductCertification 108,ProductCertification starter record 108,Devon Chen,2020-04-18,2021-04-18,1,1,1,2026-08-24T00:00:00.000
109,PC000109,6,2,Keystone ProductCertification 109,ProductCertification starter record 109,Harper Khan,2020-04-19,2021-04-19,1,1,1,2026-08-24T00:00:00.000
110,PC000110,20,1,Willow ProductCertification 110,ProductCertification starter record 110,Morgan Hughes,2020-04-20,2021-04-20,0,1,1,2026-08-24T00:00:00.000
111,PC000111,9,1,Delta ProductCertification 111,ProductCertification starter record 111,Taylor Hughes,2020-04-21,2021-04-21,1,1,1,2026-08-24T00:00:00.000
112,PC000112,1,4,Delta ProductCertification 112,ProductCertification starter record 112,Quinn Martin,2020-04-22,2021-04-22,1,1,1,2026-08-24T00:00:00.000
113,PC000113,2,3,Ion ProductCertification 113,ProductCertification starter record 113,Alex Adams,2020-04-23,2021-04-23,1,1,1,2026-08-24T00:00:00.000
114,PC000114,5,4,Quartz ProductCertification 114,ProductCertification starter record 114,Morgan Adams,2020-04-24,2021-04-24,1,1,1,2026-08-24T00:00:00.000
115,PC000115,1,3,Liberty ProductCertification 115,ProductCertification starter record 115,Jordan Evans,2020-04-25,2021-04-25,0,1,1,2026-08-24T00:00:00.000
116,PC000116,17,3,Unity ProductCertification 116,ProductCertification starter record 116,Harper Singh,2020-04-26,2021-04-26,1,1,1,2026-08-24T00:00:00.000
117,PC000117,9,1,Vertex ProductCertification 117,ProductCertification starter record 117,Harper Singh,2020-04-27,2021-04-27,1,1,1,2026-08-24T00:00:00.000
118,PC000118,1,2,Evergreen ProductCertification 118,ProductCertification starter record 118,Riley Adams,2020-04-28,2021-04-28,1,1,1,2026-08-24T00:00:00.000
119,PC000119,4,1,Meridian ProductCertification 119,ProductCertification starter record 119,Morgan Adams,2020-04-29,2021-04-29,1,1,1,2026-08-24T00:00:00.000
120,PC000120,25,2,Meridian ProductCertification 120,ProductCertification starter record 120,Casey Garcia,2020-04-30,2021-04-30,0,1,1,2026-08-24T00:00:00.000
121,PC000121,14,2,Keystone ProductCertification 121,ProductCertification starter record 121,Devon Hughes,2020-05-01,2021-05-01,1,1,1,2026-08-24T00:00:00.000
122,PC000122,25,2,Quartz ProductCertification 122,ProductCertification starter record 122,Jordan Patel,2020-05-02,2021-05-02,1,1,1,2026-08-24T00:00:00.000
123,PC000123,12,1,Meridian ProductCertification 123,ProductCertification starter record 123,Jordan Adams,2020-05-03,2021-05-03,1,1,1,2026-08-24T00:00:00.000
124,PC000124,25,2,Harbor ProductCertification 124,ProductCertification starter record 124,Finley Khan,2020-05-04,2021-05-04,1,1,1,2026-08-24T00:00:00.000
125,PC000125,14,2,Meridian ProductCertification 125,ProductCertification starter record 125,Casey Hughes,2020-05-05,2021-05-05,0,1,1,2026-08-24T00:00:00.000
126,PC000126,14,4,Evergreen ProductCertification 126,ProductCertification starter record 126,Taylor Chen,2020-05-06,2021-05-06,1,1,1,2026-08-24T00:00:00.000
127,PC000127,15,1,Forge ProductCertification 127,ProductCertification starter record 127,Finley Reed,2020-05-07,2021-05-07,1,1,1,2026-08-24T00:00:00.000
128,PC000128,24,3,Zenith ProductCertification 128,ProductCertification starter record 128,Finley Chen,2020-05-08,2021-05-08,1,1,1,2026-08-24T00:00:00.000
129,PC000129,19,3,Pioneer ProductCertification 129,ProductCertification starter record 129,Casey Martin,2020-05-09,2021-05-09,1,1,1,2026-08-24T00:00:00.000
130,PC000130,7,2,Junction ProductCertification 130,ProductCertification starter record 130,Devon Evans,2020-05-10,2021-05-10,0,1,1,2026-08-24T00:00:00.000
131,PC000131,15,3,Summit ProductCertification 131,ProductCertification starter record 131,Devon Khan,2020-05-11,2021-05-11,1,1,1,2026-08-24T00:00:00.000
132,PC000132,17,2,Titan ProductCertification 132,ProductCertification starter record 132,Devon Khan,2020-05-12,2021-05-12,1,1,1,2026-08-24T00:00:00.000
133,PC000133,14,4,Harbor ProductCertification 133,ProductCertification starter record 133,Alex Khan,2020-05-13,2021-05-13,1,1,1,2026-08-24T00:00:00.000
134,PC000134,5,1,Vertex ProductCertification 134,ProductCertification starter record 134,Blair Diaz,2020-05-14,2021-05-14,1,1,1,2026-08-24T00:00:00.000
135,PC000135,22,2,Delta ProductCertification 135,ProductCertification starter record 135,Riley Reed,2020-05-15,2021-05-15,0,1,1,2026-08-24T00:00:00.000
136,PC000136,23,1,Orion ProductCertification 136,ProductCertification starter record 136,Devon Khan,2020-05-16,2021-05-16,1,1,1,2026-08-24T00:00:00.000
137,PC000137,19,4,Willow ProductCertification 137,ProductCertification starter record 137,Alex Patel,2020-05-17,2021-05-17,1,1,1,2026-08-24T00:00:00.000
138,PC000138,18,2,Zenith ProductCertification 138,ProductCertification starter record 138,Casey Singh,2020-05-18,2021-05-18,1,1,1,2026-08-24T00:00:00.000
139,PC000139,2,4,Pioneer ProductCertification 139,ProductCertification starter record 139,Blair Chen,2020-05-19,2021-05-19,1,1,1,2026-08-24T00:00:00.000
140,PC000140,20,1,Liberty ProductCertification 140,ProductCertification starter record 140,Alex Bennett,2020-05-20,2021-05-20,0,1,1,2026-08-24T00:00:00.000
141,PC000141,6,2,Delta ProductCertification 141,ProductCertification starter record 141,Morgan Garcia,2020-05-21,2021-05-21,1,1,1,2026-08-24T00:00:00.000
142,PC000142,8,3,Meridian ProductCertification 142,ProductCertification starter record 142,Riley Evans,2020-05-22,2021-05-22,1,1,1,2026-08-24T00:00:00.000
143,PC000143,11,3,Evergreen ProductCertification 143,ProductCertification starter record 143,Blair Hughes,2020-05-23,2021-05-23,1,1,1,2026-08-24T00:00:00.000
144,PC000144,7,4,Willow ProductCertification 144,ProductCertification starter record 144,Riley Khan,2020-05-24,2021-05-24,1,1,1,2026-08-24T00:00:00.000
145,PC000145,12,3,Cedar ProductCertification 145,ProductCertification starter record 145,Quinn Garcia,2020-05-25,2021-05-25,0,1,1,2026-08-24T00:00:00.000
146,PC000146,3,1,Northstar ProductCertification 146,ProductCertification starter record 146,Devon Singh,2020-05-26,2021-05-26,1,1,1,2026-08-24T00:00:00.000
147,PC000147,12,3,Junction ProductCertification 147,ProductCertification starter record 147,Casey Khan,2020-05-27,2021-05-27,1,1,1,2026-08-24T00:00:00.000
148,PC000148,6,1,Vertex ProductCertification 148,ProductCertification starter record 148,Jordan Garcia,2020-05-28,2021-05-28,1,1,1,2026-08-24T00:00:00.000
149,PC000149,18,2,Cedar ProductCertification 149,ProductCertification starter record 149,Morgan Diaz,2020-05-29,2021-05-29,1,1,1,2026-08-24T00:00:00.000
150,PC000150,5,4,Willow ProductCertification 150,ProductCertification starter record 150,Alex Garcia,2020-05-30,2021-05-30,0,1,1,2026-08-24T00:00:00.000
151,PC000151,8,3,Cedar ProductCertification 151,ProductCertification starter record 151,Taylor Reed,2020-05-31,2021-05-31,1,1,1,2026-08-24T00:00:00.000
152,PC000152,19,2,Zenith ProductCertification 152,ProductCertification starter record 152,Devon Evans,2020-06-01,2021-06-01,1,1,1,2026-08-24T00:00:00.000
153,PC000153,11,1,Vertex ProductCertification 153,ProductCertification starter record 153,Riley Singh,2020-06-02,2021-06-02,1,1,1,2026-08-24T00:00:00.000
154,PC000154,2,4,Ion ProductCertification 154,ProductCertification starter record 154,Emerson Adams,2020-06-03,2021-06-03,1,1,1,2026-08-24T00:00:00.000
155,PC000155,1,2,Quartz ProductCertification 155,ProductCertification starter record 155,Blair Chen,2020-06-04,2021-06-04,0,1,1,2026-08-24T00:00:00.000
156,PC000156,14,4,Riverton ProductCertification 156,ProductCertification starter record 156,Finley Reed,2020-06-05,2021-06-05,1,1,1,2026-08-24T00:00:00.000
157,PC000157,25,4,Orion ProductCertification 157,ProductCertification starter record 157,Devon Khan,2020-06-06,2021-06-06,1,1,1,2026-08-24T00:00:00.000
158,PC000158,2,4,Summit ProductCertification 158,ProductCertification starter record 158,Finley Patel,2020-06-07,2021-06-07,1,1,1,2026-08-24T00:00:00.000
159,PC000159,5,1,Summit ProductCertification 159,ProductCertification starter record 159,Jordan Hughes,2020-06-08,2021-06-08,1,1,1,2026-08-24T00:00:00.000
160,PC000160,5,3,Vertex ProductCertification 160,ProductCertification starter record 160,Taylor Adams,2020-06-09,2021-06-09,0,1,1,2026-08-24T00:00:00.000
161,PC000161,12,1,Summit ProductCertification 161,ProductCertification starter record 161,Emerson Evans,2020-06-10,2021-06-10,1,1,1,2026-08-24T00:00:00.000
162,PC000162,22,1,Pioneer ProductCertification 162,ProductCertification starter record 162,Quinn Singh,2020-06-11,2021-06-11,1,1,1,2026-08-24T00:00:00.000
163,PC000163,2,2,Harbor ProductCertification 163,ProductCertification starter record 163,Alex Patel,2020-06-12,2021-06-12,1,1,1,2026-08-24T00:00:00.000
164,PC000164,23,2,Unity ProductCertification 164,ProductCertification starter record 164,Riley Singh,2020-06-13,2021-06-13,1,1,1,2026-08-24T00:00:00.000
165,PC000165,20,4,Vertex ProductCertification 165,ProductCertification starter record 165,Emerson Martin,2020-06-14,2021-06-14,0,1,1,2026-08-24T00:00:00.000
166,PC000166,10,2,Liberty ProductCertification 166,ProductCertification starter record 166,Devon Khan,2020-06-15,2021-06-15,1,1,1,2026-08-24T00:00:00.000
167,PC000167,2,1,Riverton ProductCertification 167,ProductCertification starter record 167,Riley Garcia,2020-06-16,2021-06-16,1,1,1,2026-08-24T00:00:00.000
168,PC000168,23,4,Titan ProductCertification 168,ProductCertification starter record 168,Taylor Hughes,2020-06-17,2021-06-17,1,1,1,2026-08-24T00:00:00.000
169,PC000169,3,1,Titan ProductCertification 169,ProductCertification starter record 169,Harper Patel,2020-06-18,2021-06-18,1,1,1,2026-08-24T00:00:00.000
170,PC000170,19,1,Unity ProductCertification 170,ProductCertification starter record 170,Alex Garcia,2020-06-19,2021-06-19,0,1,1,2026-08-24T00:00:00.000
171,PC000171,18,4,Evergreen ProductCertification 171,ProductCertification starter record 171,Morgan Chen,2020-06-20,2021-06-20,1,1,1,2026-08-24T00:00:00.000
172,PC000172,5,2,Titan ProductCertification 172,ProductCertification starter record 172,Casey Chen,2020-06-21,2021-06-21,1,1,1,2026-08-24T00:00:00.000
173,PC000173,12,2,Evergreen ProductCertification 173,ProductCertification starter record 173,Riley Martin,2020-06-22,2021-06-22,1,1,1,2026-08-24T00:00:00.000
174,PC000174,4,2,Forge ProductCertification 174,ProductCertification starter record 174,Harper Singh,2020-06-23,2021-06-23,1,1,1,2026-08-24T00:00:00.000
175,PC000175,24,1,Pioneer ProductCertification 175,ProductCertification starter record 175,Alex Chen,2020-06-24,2021-06-24,0,1,1,2026-08-24T00:00:00.000
