BrandOwnerKey,BrandOwnerCode,CountryKey,RecordStatusKey,BrandOwnerName,BrandOwnerDescription,OwnerName,EffectiveStartDate,EffectiveEndDate,IsActive,SourceSystemKey,BatchId,LoadedAtUtc
14,BO000014,196,2,Taylor Bennett,Finley Khan,Quinn Garcia,2020-01-15,2021-01-14,1,1,1,2026-08-24T00:00:00.000
15,BO000015,244,1,Devon Khan,Taylor Khan,Finley Garcia,2020-01-16,2021-01-15,0,1,1,2026-08-24T00:00:00.000
16,BO000016,24,4,Riley Reed,Taylor Singh,Jordan Chen,2020-01-17,2021-01-16,1,1,1,2026-08-24T00:00:00.000
17,BO000017,143,1,Finley Patel,Casey Evans,Quinn Martin,2020-01-18,2021-01-17,1,1,1,2026-08-24T00:00:00.000
18,BO000018,94,2,Emerson Evans,Emerson Martin,Jordan Bennett,2020-01-19,2021-01-18,1,1,1,2026-08-24T00:00:00.000
19,BO000019,218,2,Finley Khan,Blair Reed,Jordan Garcia,2020-01-20,2021-01-19,1,1,1,2026-08-24T00:00:00.000
20,BO000020,125,1,Alex Martin,Devon Adams,Emerson Bennett,2020-01-21,2021-01-20,0,1,1,2026-08-24T00:00:00.000
21,BO000021,163,1,Jordan Martin,Casey Singh,Casey Patel,2020-01-22,2021-01-21,1,1,1,2026-08-24T00:00:00.000
22,BO000022,17,1,Taylor Khan,Emerson Reed,Harper Patel,2020-01-23,2021-01-22,1,1,1,2026-08-24T00:00:00.000
23,BO000023,15,2,Finley Diaz,Blair Chen,Morgan Martin,2020-01-24,2021-01-23,1,1,1,2026-08-24T00:00:00.000
24,BO000024,215,2,Morgan Khan,Blair Singh,Taylor Adams,2020-01-25,2021-01-24,1,1,1,2026-08-24T00:00:00.000
25,BO000025,6,3,Taylor Hughes,Casey Garcia,Jordan Khan,2020-01-26,2021-01-25,0,1,1,2026-08-24T00:00:00.000
26,BO000026,172,3,Quinn Chen,Jordan Garcia,Casey Bennett,2020-01-27,2021-01-26,1,1,1,2026-08-24T00:00:00.000
27,BO000027,250,3,Blair Diaz,Quinn Martin,Devon Diaz,2020-01-28,2021-01-27,1,1,1,2026-08-24T00:00:00.000
28,BO000028,175,2,Harper Bennett,Blair Martin,Casey Patel,2020-01-29,2021-01-28,1,1,1,2026-08-24T00:00:00.000
29,BO000029,28,3,Emerson Evans,Harper Evans,Taylor Chen,2020-01-30,2021-01-29,1,1,1,2026-08-24T00:00:00.000
30,BO000030,93,4,Harper Bennett,Finley Diaz,Quinn Hughes,2020-01-31,2021-01-30,0,1,1,2026-08-24T00:00:00.000
31,BO000031,240,4,Emerson Singh,Blair Singh,Devon Hughes,2020-02-01,2021-01-31,1,1,1,2026-08-24T00:00:00.000
32,BO000032,141,4,Harper Garcia,Emerson Diaz,Quinn Bennett,2020-02-02,2021-02-01,1,1,1,2026-08-24T00:00:00.000
33,BO000033,12,1,Devon Chen,Emerson Hughes,Taylor Reed,2020-02-03,2021-02-02,1,1,1,2026-08-24T00:00:00.000
34,BO000034,88,3,Alex Chen,Emerson Khan,Harper Khan,2020-02-04,2021-02-03,1,1,1,2026-08-24T00:00:00.000
35,BO000035,85,2,Devon Bennett,Alex Adams,Jordan Patel,2020-02-05,2021-02-04,0,1,1,2026-08-24T00:00:00.000
36,BO000036,75,4,Morgan Reed,Riley Martin,Jordan Chen,2020-02-06,2021-02-05,1,1,1,2026-08-24T00:00:00.000
37,BO000037,188,4,Jordan Evans,Harper Evans,Emerson Reed,2020-02-07,2021-02-06,1,1,1,2026-08-24T00:00:00.000
38,BO000038,138,4,Emerson Patel,Taylor Khan,Emerson Khan,2020-02-08,2021-02-07,1,1,1,2026-08-24T00:00:00.000
39,BO000039,79,3,Morgan Khan,Taylor Chen,Quinn Chen,2020-02-09,2021-02-08,1,1,1,2026-08-24T00:00:00.000
40,BO000040,54,4,Casey Garcia,Quinn Hughes,Devon Evans,2020-02-10,2021-02-09,0,1,1,2026-08-24T00:00:00.000
41,BO000041,106,1,Quinn Diaz,Harper Khan,Emerson Martin,2020-02-11,2021-02-10,1,1,1,2026-08-24T00:00:00.000
42,BO000042,124,2,Harper Bennett,Harper Adams,Casey Diaz,2020-02-12,2021-02-11,1,1,1,2026-08-24T00:00:00.000
43,BO000043,96,2,Casey Hughes,Harper Hughes,Harper Singh,2020-02-13,2021-02-12,1,1,1,2026-08-24T00:00:00.000
44,BO000044,43,3,Alex Garcia,Taylor Singh,Blair Adams,2020-02-14,2021-02-13,1,1,1,2026-08-24T00:00:00.000
45,BO000045,8,2,Blair Khan,Devon Khan,Emerson Bennett,2020-02-15,2021-02-14,0,1,1,2026-08-24T00:00:00.000
46,BO000046,126,3,Devon Patel,Alex Reed,Jordan Khan,2020-02-16,2021-02-15,1,1,1,2026-08-24T00:00:00.000
47,BO000047,46,3,Morgan Reed,Taylor Garcia,Casey Evans,2020-02-17,2021-02-16,1,1,1,2026-08-24T00:00:00.000
48,BO000048,200,2,Quinn Patel,Casey Patel,Jordan Singh,2020-02-18,2021-02-17,1,1,1,2026-08-24T00:00:00.000
49,BO000049,21,3,Devon Bennett,Quinn Bennett,Taylor Hughes,2020-02-19,2021-02-18,1,1,1,2026-08-24T00:00:00.000
50,BO000050,132,4,Blair Reed,Devon Garcia,Riley Bennett,2020-02-20,2021-02-19,0,1,1,2026-08-24T00:00:00.000
51,BO000051,186,2,Taylor Diaz,Casey Diaz,Harper Khan,2020-02-21,2021-02-20,1,1,1,2026-08-24T00:00:00.000
52,BO000052,47,4,Emerson Hughes,Blair Chen,Harper Hughes,2020-02-22,2021-02-21,1,1,1,2026-08-24T00:00:00.000
53,BO000053,174,1,Casey Hughes,Devon Patel,Emerson Bennett,2020-02-23,2021-02-22,1,1,1,2026-08-24T00:00:00.000
54,BO000054,89,2,Morgan Garcia,Riley Adams,Jordan Garcia,2020-02-24,2021-02-23,1,1,1,2026-08-24T00:00:00.000
55,BO000055,85,1,Devon Chen,Quinn Hughes,Finley Bennett,2020-02-25,2021-02-24,0,1,1,2026-08-24T00:00:00.000
56,BO000056,51,4,Taylor Singh,Harper Chen,Devon Martin,2020-02-26,2021-02-25,1,1,1,2026-08-24T00:00:00.000
57,BO000057,238,4,Harper Chen,Morgan Singh,Finley Diaz,2020-02-27,2021-02-26,1,1,1,2026-08-24T00:00:00.000
58,BO000058,205,2,Blair Khan,Alex Patel,Devon Diaz,2020-02-28,2021-02-27,1,1,1,2026-08-24T00:00:00.000
59,BO000059,6,3,Jordan Diaz,Emerson Bennett,Finley Khan,2020-02-29,2021-02-28,1,1,1,2026-08-24T00:00:00.000
60,BO000060,215,2,Taylor Hughes,Quinn Adams,Emerson Hughes,2020-03-01,2021-03-01,0,1,1,2026-08-24T00:00:00.000
61,BO000061,179,4,Riley Garcia,Emerson Bennett,Devon Singh,2020-03-02,2021-03-02,1,1,1,2026-08-24T00:00:00.000
62,BO000062,166,4,Riley Evans,Blair Garcia,Devon Singh,2020-03-03,2021-03-03,1,1,1,2026-08-24T00:00:00.000
63,BO000063,223,2,Taylor Evans,Taylor Adams,Casey Bennett,2020-03-04,2021-03-04,1,1,1,2026-08-24T00:00:00.000
64,BO000064,107,4,Quinn Evans,Emerson Singh,Quinn Patel,2020-03-05,2021-03-05,1,1,1,2026-08-24T00:00:00.000
65,BO000065,139,3,Devon Martin,Casey Khan,Taylor Hughes,2020-03-06,2021-03-06,0,1,1,2026-08-24T00:00:00.000
66,BO000066,229,2,Finley Singh,Blair Reed,Emerson Garcia,2020-03-07,2021-03-07,1,1,1,2026-08-24T00:00:00.000
67,BO000067,39,3,Harper Bennett,Alex Reed,Taylor Singh,2020-03-08,2021-03-08,1,1,1,2026-08-24T00:00:00.000
68,BO000068,205,2,Blair Singh,Quinn Patel,Finley Singh,2020-03-09,2021-03-09,1,1,1,2026-08-24T00:00:00.000
69,BO000069,154,4,Harper Diaz,Devon Chen,Riley Garcia,2020-03-10,2021-03-10,1,1,1,2026-08-24T00:00:00.000
70,BO000070,40,2,Casey Patel,Emerson Chen,Emerson Singh,2020-03-11,2021-03-11,0,1,1,2026-08-24T00:00:00.000
71,BO000071,40,3,Taylor Garcia,Casey Patel,Casey Bennett,2020-03-12,2021-03-12,1,1,1,2026-08-24T00:00:00.000
72,BO000072,151,2,Morgan Khan,Blair Patel,Riley Evans,2020-03-13,2021-03-13,1,1,1,2026-08-24T00:00:00.000
73,BO000073,87,1,Alex Reed,Harper Khan,Riley Evans,2020-03-14,2021-03-14,1,1,1,2026-08-24T00:00:00.000
74,BO000074,224,4,Alex Reed,Casey Chen,Emerson Diaz,2020-03-15,2021-03-15,1,1,1,2026-08-24T00:00:00.000
75,BO000075,80,4,Alex Hughes,Riley Hughes,Blair Garcia,2020-03-16,2021-03-16,0,1,1,2026-08-24T00:00:00.000
76,BO000076,158,2,Riley Reed,Taylor Patel,Riley Martin,2020-03-17,2021-03-17,1,1,1,2026-08-24T00:00:00.000
77,BO000077,29,4,Taylor Garcia,Alex Evans,Quinn Diaz,2020-03-18,2021-03-18,1,1,1,2026-08-24T00:00:00.000
78,BO000078,7,3,Emerson Singh,Blair Bennett,Jordan Diaz,2020-03-19,2021-03-19,1,1,1,2026-08-24T00:00:00.000
79,BO000079,105,2,Quinn Chen,Morgan Diaz,Blair Chen,2020-03-20,2021-03-20,1,1,1,2026-08-24T00:00:00.000
80,BO000080,157,1,Casey Evans,Finley Reed,Devon Adams,2020-03-21,2021-03-21,0,1,1,2026-08-24T00:00:00.000
81,BO000081,242,1,Harper Bennett,Quinn Diaz,Alex Chen,2020-03-22,2021-03-22,1,1,1,2026-08-24T00:00:00.000
82,BO000082,205,2,Casey Evans,Alex Singh,Finley Martin,2020-03-23,2021-03-23,1,1,1,2026-08-24T00:00:00.000
83,BO000083,190,4,Finley Singh,Devon Garcia,Quinn Bennett,2020-03-24,2021-03-24,1,1,1,2026-08-24T00:00:00.000
84,BO000084,183,4,Morgan Reed,Taylor Diaz,Emerson Bennett,2020-03-25,2021-03-25,1,1,1,2026-08-24T00:00:00.000
85,BO000085,17,1,Quinn Reed,Devon Bennett,Blair Garcia,2020-03-26,2021-03-26,0,1,1,2026-08-24T00:00:00.000
86,BO000086,7,1,Harper Hughes,Riley Diaz,Harper Evans,2020-03-27,2021-03-27,1,1,1,2026-08-24T00:00:00.000
87,BO000087,158,4,Devon Khan,Finley Singh,Alex Garcia,2020-03-28,2021-03-28,1,1,1,2026-08-24T00:00:00.000
88,BO000088,129,1,Alex Singh,Riley Khan,Riley Adams,2020-03-29,2021-03-29,1,1,1,2026-08-24T00:00:00.000
89,BO000089,103,2,Quinn Patel,Harper Adams,Blair Chen,2020-03-30,2021-03-30,1,1,1,2026-08-24T00:00:00.000
90,BO000090,221,3,Jordan Reed,Quinn Patel,Riley Garcia,2020-03-31,2021-03-31,0,1,1,2026-08-24T00:00:00.000
91,BO000091,193,3,Blair Garcia,Blair Chen,Harper Diaz,2020-04-01,2021-04-01,1,1,1,2026-08-24T00:00:00.000
92,BO000092,241,4,Jordan Martin,Emerson Adams,Riley Hughes,2020-04-02,2021-04-02,1,1,1,2026-08-24T00:00:00.000
93,BO000093,155,2,Devon Singh,Riley Bennett,Blair Chen,2020-04-03,2021-04-03,1,1,1,2026-08-24T00:00:00.000
94,BO000094,178,3,Quinn Bennett,Alex Evans,Devon Reed,2020-04-04,2021-04-04,1,1,1,2026-08-24T00:00:00.000
95,BO000095,136,4,Quinn Diaz,Taylor Reed,Devon Singh,2020-04-05,2021-04-05,0,1,1,2026-08-24T00:00:00.000
96,BO000096,168,4,Casey Martin,Jordan Chen,Taylor Patel,2020-04-06,2021-04-06,1,1,1,2026-08-24T00:00:00.000
97,BO000097,37,1,Casey Reed,Devon Patel,Devon Garcia,2020-04-07,2021-04-07,1,1,1,2026-08-24T00:00:00.000
98,BO000098,121,2,Riley Chen,Taylor Diaz,Alex Martin,2020-04-08,2021-04-08,1,1,1,2026-08-24T00:00:00.000
99,BO000099,106,4,Alex Patel,Harper Bennett,Emerson Garcia,2020-04-09,2021-04-09,1,1,1,2026-08-24T00:00:00.000
100,BO000100,22,4,Jordan Bennett,Blair Patel,Quinn Hughes,2020-04-10,2021-04-10,0,1,1,2026-08-24T00:00:00.000
101,BO000101,198,3,Quinn Adams,Blair Patel,Jordan Reed,2020-04-11,2021-04-11,1,1,1,2026-08-24T00:00:00.000
102,BO000102,202,4,Riley Reed,Morgan Reed,Casey Garcia,2020-04-12,2021-04-12,1,1,1,2026-08-24T00:00:00.000
103,BO000103,29,1,Devon Chen,Alex Martin,Casey Singh,2020-04-13,2021-04-13,1,1,1,2026-08-24T00:00:00.000
104,BO000104,99,4,Riley Evans,Finley Diaz,Blair Patel,2020-04-14,2021-04-14,1,1,1,2026-08-24T00:00:00.000
105,BO000105,130,4,Alex Bennett,Finley Chen,Finley Patel,2020-04-15,2021-04-15,0,1,1,2026-08-24T00:00:00.000
106,BO000106,242,2,Quinn Garcia,Alex Hughes,Taylor Singh,2020-04-16,2021-04-16,1,1,1,2026-08-24T00:00:00.000
107,BO000107,238,4,Emerson Hughes,Taylor Diaz,Emerson Diaz,2020-04-17,2021-04-17,1,1,1,2026-08-24T00:00:00.000
108,BO000108,124,3,Taylor Reed,Harper Diaz,Finley Evans,2020-04-18,2021-04-18,1,1,1,2026-08-24T00:00:00.000
109,BO000109,172,2,Jordan Adams,Alex Adams,Harper Khan,2020-04-19,2021-04-19,1,1,1,2026-08-24T00:00:00.000
110,BO000110,183,2,Quinn Hughes,Riley Adams,Finley Bennett,2020-04-20,2021-04-20,0,1,1,2026-08-24T00:00:00.000
111,BO000111,171,2,Morgan Martin,Harper Bennett,Quinn Martin,2020-04-21,2021-04-21,1,1,1,2026-08-24T00:00:00.000
112,BO000112,157,3,Taylor Hughes,Riley Khan,Riley Martin,2020-04-22,2021-04-22,1,1,1,2026-08-24T00:00:00.000
113,BO000113,137,4,Alex Evans,Casey Diaz,Harper Singh,2020-04-23,2021-04-23,1,1,1,2026-08-24T00:00:00.000
114,BO000114,216,2,Morgan Evans,Casey Bennett,Finley Bennett,2020-04-24,2021-04-24,1,1,1,2026-08-24T00:00:00.000
115,BO000115,220,1,Morgan Bennett,Riley Diaz,Quinn Chen,2020-04-25,2021-04-25,0,1,1,2026-08-24T00:00:00.000
116,BO000116,108,3,Jordan Martin,Quinn Garcia,Taylor Khan,2020-04-26,2021-04-26,1,1,1,2026-08-24T00:00:00.000
117,BO000117,97,1,Finley Singh,Blair Singh,Emerson Evans,2020-04-27,2021-04-27,1,1,1,2026-08-24T00:00:00.000
118,BO000118,194,4,Quinn Hughes,Morgan Hughes,Casey Reed,2020-04-28,2021-04-28,1,1,1,2026-08-24T00:00:00.000
119,BO000119,216,3,Devon Patel,Finley Adams,Riley Bennett,2020-04-29,2021-04-29,1,1,1,2026-08-24T00:00:00.000
120,BO000120,73,1,Riley Martin,Taylor Hughes,Alex Chen,2020-04-30,2021-04-30,0,1,1,2026-08-24T00:00:00.000
