WorkCenterCapabilityKey,CapabilityCode,RecordStatusKey,CapabilityName,CapabilityDescription,OwnerName,EffectiveStartDate,EffectiveEndDate,IsActive,SourceSystemKey,BatchId,LoadedAtUtc
31,WCC000031,4,Cedar WorkCenterCapability 31,WorkCenterCapability starter record 31,Morgan Evans,2020-02-01,2021-01-31,1,1,1,2026-08-24T00:00:00.000
32,WCC000032,1,Summit WorkCenterCapability 32,WorkCenterCapability starter record 32,Harper Singh,2020-02-02,2021-02-01,1,1,1,2026-08-24T00:00:00.000
33,WCC000033,2,Atlas WorkCenterCapability 33,WorkCenterCapability starter record 33,Alex Evans,2020-02-03,2021-02-02,1,1,1,2026-08-24T00:00:00.000
34,WCC000034,3,Orion WorkCenterCapability 34,WorkCenterCapability starter record 34,Blair Adams,2020-02-04,2021-02-03,1,1,1,2026-08-24T00:00:00.000
35,WCC000035,2,Willow WorkCenterCapability 35,WorkCenterCapability starter record 35,Quinn Diaz,2020-02-05,2021-02-04,0,1,1,2026-08-24T00:00:00.000
36,WCC000036,3,Liberty WorkCenterCapability 36,WorkCenterCapability starter record 36,Devon Adams,2020-02-06,2021-02-05,1,1,1,2026-08-24T00:00:00.000
37,WCC000037,1,Evergreen WorkCenterCapability 37,WorkCenterCapability starter record 37,Casey Adams,2020-02-07,2021-02-06,1,1,1,2026-08-24T00:00:00.000
38,WCC000038,4,Pioneer WorkCenterCapability 38,WorkCenterCapability starter record 38,Devon Chen,2020-02-08,2021-02-07,1,1,1,2026-08-24T00:00:00.000
39,WCC000039,1,Atlas WorkCenterCapability 39,WorkCenterCapability starter record 39,Casey Garcia,2020-02-09,2021-02-08,1,1,1,2026-08-24T00:00:00.000
40,WCC000040,4,Cedar WorkCenterCapability 40,WorkCenterCapability starter record 40,Riley Adams,2020-02-10,2021-02-09,0,1,1,2026-08-24T00:00:00.000
41,WCC000041,2,Northstar WorkCenterCapability 41,WorkCenterCapability starter record 41,Blair Khan,2020-02-11,2021-02-10,1,1,1,2026-08-24T00:00:00.000
42,WCC000042,2,Forge WorkCenterCapability 42,WorkCenterCapability starter record 42,Blair Adams,2020-02-12,2021-02-11,1,1,1,2026-08-24T00:00:00.000
43,WCC000043,1,Liberty WorkCenterCapability 43,WorkCenterCapability starter record 43,Devon Singh,2020-02-13,2021-02-12,1,1,1,2026-08-24T00:00:00.000
44,WCC000044,4,Orion WorkCenterCapability 44,WorkCenterCapability starter record 44,Devon Diaz,2020-02-14,2021-02-13,1,1,1,2026-08-24T00:00:00.000
45,WCC000045,4,Delta WorkCenterCapability 45,WorkCenterCapability starter record 45,Casey Bennett,2020-02-15,2021-02-14,0,1,1,2026-08-24T00:00:00.000
46,WCC000046,4,Granite WorkCenterCapability 46,WorkCenterCapability starter record 46,Taylor Evans,2020-02-16,2021-02-15,1,1,1,2026-08-24T00:00:00.000
47,WCC000047,3,Liberty WorkCenterCapability 47,WorkCenterCapability starter record 47,Taylor Reed,2020-02-17,2021-02-16,1,1,1,2026-08-24T00:00:00.000
48,WCC000048,2,Meridian WorkCenterCapability 48,WorkCenterCapability starter record 48,Harper Diaz,2020-02-18,2021-02-17,1,1,1,2026-08-24T00:00:00.000
49,WCC000049,1,Unity WorkCenterCapability 49,WorkCenterCapability starter record 49,Blair Hughes,2020-02-19,2021-02-18,1,1,1,2026-08-24T00:00:00.000
50,WCC000050,2,Titan WorkCenterCapability 50,WorkCenterCapability starter record 50,Blair Singh,2020-02-20,2021-02-19,0,1,1,2026-08-24T00:00:00.000
51,WCC000051,3,Beacon WorkCenterCapability 51,WorkCenterCapability starter record 51,Alex Reed,2020-02-21,2021-02-20,1,1,1,2026-08-24T00:00:00.000
52,WCC000052,1,Keystone WorkCenterCapability 52,WorkCenterCapability starter record 52,Riley Singh,2020-02-22,2021-02-21,1,1,1,2026-08-24T00:00:00.000
53,WCC000053,2,Northstar WorkCenterCapability 53,WorkCenterCapability starter record 53,Casey Garcia,2020-02-23,2021-02-22,1,1,1,2026-08-24T00:00:00.000
54,WCC000054,1,Willow WorkCenterCapability 54,WorkCenterCapability starter record 54,Casey Garcia,2020-02-24,2021-02-23,1,1,1,2026-08-24T00:00:00.000
55,WCC000055,1,Meridian WorkCenterCapability 55,WorkCenterCapability starter record 55,Finley Diaz,2020-02-25,2021-02-24,0,1,1,2026-08-24T00:00:00.000
56,WCC000056,1,Liberty WorkCenterCapability 56,WorkCenterCapability starter record 56,Quinn Adams,2020-02-26,2021-02-25,1,1,1,2026-08-24T00:00:00.000
57,WCC000057,2,Riverton WorkCenterCapability 57,WorkCenterCapability starter record 57,Alex Singh,2020-02-27,2021-02-26,1,1,1,2026-08-24T00:00:00.000
58,WCC000058,4,Granite WorkCenterCapability 58,WorkCenterCapability starter record 58,Blair Hughes,2020-02-28,2021-02-27,1,1,1,2026-08-24T00:00:00.000
59,WCC000059,2,Evergreen WorkCenterCapability 59,WorkCenterCapability starter record 59,Devon Singh,2020-02-29,2021-02-28,1,1,1,2026-08-24T00:00:00.000
60,WCC000060,3,Atlas WorkCenterCapability 60,WorkCenterCapability starter record 60,Morgan Adams,2020-03-01,2021-03-01,0,1,1,2026-08-24T00:00:00.000
61,WCC000061,1,Liberty WorkCenterCapability 61,WorkCenterCapability starter record 61,Devon Hughes,2020-03-02,2021-03-02,1,1,1,2026-08-24T00:00:00.000
62,WCC000062,4,Ion WorkCenterCapability 62,WorkCenterCapability starter record 62,Finley Singh,2020-03-03,2021-03-03,1,1,1,2026-08-24T00:00:00.000
63,WCC000063,1,Delta WorkCenterCapability 63,WorkCenterCapability starter record 63,Finley Khan,2020-03-04,2021-03-04,1,1,1,2026-08-24T00:00:00.000
64,WCC000064,2,Cedar WorkCenterCapability 64,WorkCenterCapability starter record 64,Blair Evans,2020-03-05,2021-03-05,1,1,1,2026-08-24T00:00:00.000
65,WCC000065,3,Zenith WorkCenterCapability 65,WorkCenterCapability starter record 65,Casey Martin,2020-03-06,2021-03-06,0,1,1,2026-08-24T00:00:00.000
66,WCC000066,4,Liberty WorkCenterCapability 66,WorkCenterCapability starter record 66,Finley Patel,2020-03-07,2021-03-07,1,1,1,2026-08-24T00:00:00.000
67,WCC000067,1,Delta WorkCenterCapability 67,WorkCenterCapability starter record 67,Harper Reed,2020-03-08,2021-03-08,1,1,1,2026-08-24T00:00:00.000
68,WCC000068,1,Evergreen WorkCenterCapability 68,WorkCenterCapability starter record 68,Jordan Garcia,2020-03-09,2021-03-09,1,1,1,2026-08-24T00:00:00.000
69,WCC000069,3,Willow WorkCenterCapability 69,WorkCenterCapability starter record 69,Blair Khan,2020-03-10,2021-03-10,1,1,1,2026-08-24T00:00:00.000
70,WCC000070,3,Liberty WorkCenterCapability 70,WorkCenterCapability starter record 70,Riley Chen,2020-03-11,2021-03-11,0,1,1,2026-08-24T00:00:00.000
71,WCC000071,2,Vertex WorkCenterCapability 71,WorkCenterCapability starter record 71,Casey Garcia,2020-03-12,2021-03-12,1,1,1,2026-08-24T00:00:00.000
72,WCC000072,1,Pioneer WorkCenterCapability 72,WorkCenterCapability starter record 72,Casey Bennett,2020-03-13,2021-03-13,1,1,1,2026-08-24T00:00:00.000
73,WCC000073,1,Pioneer WorkCenterCapability 73,WorkCenterCapability starter record 73,Riley Patel,2020-03-14,2021-03-14,1,1,1,2026-08-24T00:00:00.000
74,WCC000074,4,Granite WorkCenterCapability 74,WorkCenterCapability starter record 74,Blair Martin,2020-03-15,2021-03-15,1,1,1,2026-08-24T00:00:00.000
75,WCC000075,1,Harbor WorkCenterCapability 75,WorkCenterCapability starter record 75,Harper Adams,2020-03-16,2021-03-16,0,1,1,2026-08-24T00:00:00.000
76,WCC000076,4,Harbor WorkCenterCapability 76,WorkCenterCapability starter record 76,Alex Singh,2020-03-17,2021-03-17,1,1,1,2026-08-24T00:00:00.000
77,WCC000077,1,Unity WorkCenterCapability 77,WorkCenterCapability starter record 77,Blair Evans,2020-03-18,2021-03-18,1,1,1,2026-08-24T00:00:00.000
78,WCC000078,2,Forge WorkCenterCapability 78,WorkCenterCapability starter record 78,Taylor Patel,2020-03-19,2021-03-19,1,1,1,2026-08-24T00:00:00.000
79,WCC000079,3,Orion WorkCenterCapability 79,WorkCenterCapability starter record 79,Harper Chen,2020-03-20,2021-03-20,1,1,1,2026-08-24T00:00:00.000
80,WCC000080,3,Beacon WorkCenterCapability 80,WorkCenterCapability starter record 80,Harper Evans,2020-03-21,2021-03-21,0,1,1,2026-08-24T00:00:00.000
81,WCC000081,1,Vertex WorkCenterCapability 81,WorkCenterCapability starter record 81,Devon Adams,2020-03-22,2021-03-22,1,1,1,2026-08-24T00:00:00.000
82,WCC000082,2,Atlas WorkCenterCapability 82,WorkCenterCapability starter record 82,Casey Singh,2020-03-23,2021-03-23,1,1,1,2026-08-24T00:00:00.000
83,WCC000083,4,Riverton WorkCenterCapability 83,WorkCenterCapability starter record 83,Riley Patel,2020-03-24,2021-03-24,1,1,1,2026-08-24T00:00:00.000
84,WCC000084,2,Willow WorkCenterCapability 84,WorkCenterCapability starter record 84,Taylor Hughes,2020-03-25,2021-03-25,1,1,1,2026-08-24T00:00:00.000
85,WCC000085,1,Northstar WorkCenterCapability 85,WorkCenterCapability starter record 85,Jordan Reed,2020-03-26,2021-03-26,0,1,1,2026-08-24T00:00:00.000
86,WCC000086,1,Granite WorkCenterCapability 86,WorkCenterCapability starter record 86,Blair Singh,2020-03-27,2021-03-27,1,1,1,2026-08-24T00:00:00.000
87,WCC000087,4,Liberty WorkCenterCapability 87,WorkCenterCapability starter record 87,Alex Chen,2020-03-28,2021-03-28,1,1,1,2026-08-24T00:00:00.000
88,WCC000088,1,Harbor WorkCenterCapability 88,WorkCenterCapability starter record 88,Emerson Reed,2020-03-29,2021-03-29,1,1,1,2026-08-24T00:00:00.000
89,WCC000089,4,Granite WorkCenterCapability 89,WorkCenterCapability starter record 89,Jordan Evans,2020-03-30,2021-03-30,1,1,1,2026-08-24T00:00:00.000
90,WCC000090,3,Atlas WorkCenterCapability 90,WorkCenterCapability starter record 90,Devon Patel,2020-03-31,2021-03-31,0,1,1,2026-08-24T00:00:00.000
91,WCC000091,3,Meridian WorkCenterCapability 91,WorkCenterCapability starter record 91,Jordan Evans,2020-04-01,2021-04-01,1,1,1,2026-08-24T00:00:00.000
92,WCC000092,4,Evergreen WorkCenterCapability 92,WorkCenterCapability starter record 92,Emerson Khan,2020-04-02,2021-04-02,1,1,1,2026-08-24T00:00:00.000
93,WCC000093,1,Riverton WorkCenterCapability 93,WorkCenterCapability starter record 93,Quinn Bennett,2020-04-03,2021-04-03,1,1,1,2026-08-24T00:00:00.000
94,WCC000094,1,Junction WorkCenterCapability 94,WorkCenterCapability starter record 94,Harper Chen,2020-04-04,2021-04-04,1,1,1,2026-08-24T00:00:00.000
95,WCC000095,2,Ion WorkCenterCapability 95,WorkCenterCapability starter record 95,Taylor Singh,2020-04-05,2021-04-05,0,1,1,2026-08-24T00:00:00.000
96,WCC000096,4,Vertex WorkCenterCapability 96,WorkCenterCapability starter record 96,Devon Reed,2020-04-06,2021-04-06,1,1,1,2026-08-24T00:00:00.000
97,WCC000097,2,Ion WorkCenterCapability 97,WorkCenterCapability starter record 97,Taylor Bennett,2020-04-07,2021-04-07,1,1,1,2026-08-24T00:00:00.000
98,WCC000098,2,Liberty WorkCenterCapability 98,WorkCenterCapability starter record 98,Devon Reed,2020-04-08,2021-04-08,1,1,1,2026-08-24T00:00:00.000
99,WCC000099,4,Northstar WorkCenterCapability 99,WorkCenterCapability starter record 99,Blair Khan,2020-04-09,2021-04-09,1,1,1,2026-08-24T00:00:00.000
100,WCC000100,3,Harbor WorkCenterCapability 100,WorkCenterCapability starter record 100,Taylor Khan,2020-04-10,2021-04-10,0,1,1,2026-08-24T00:00:00.000
101,WCC000101,2,Unity WorkCenterCapability 101,WorkCenterCapability starter record 101,Morgan Bennett,2020-04-11,2021-04-11,1,1,1,2026-08-24T00:00:00.000
102,WCC000102,3,Atlas WorkCenterCapability 102,WorkCenterCapability starter record 102,Finley Evans,2020-04-12,2021-04-12,1,1,1,2026-08-24T00:00:00.000
103,WCC000103,3,Cedar WorkCenterCapability 103,WorkCenterCapability starter record 103,Finley Evans,2020-04-13,2021-04-13,1,1,1,2026-08-24T00:00:00.000
104,WCC000104,2,Harbor WorkCenterCapability 104,WorkCenterCapability starter record 104,Quinn Hughes,2020-04-14,2021-04-14,1,1,1,2026-08-24T00:00:00.000
105,WCC000105,4,Keystone WorkCenterCapability 105,WorkCenterCapability starter record 105,Taylor Adams,2020-04-15,2021-04-15,0,1,1,2026-08-24T00:00:00.000
106,WCC000106,3,Pioneer WorkCenterCapability 106,WorkCenterCapability starter record 106,Quinn Singh,2020-04-16,2021-04-16,1,1,1,2026-08-24T00:00:00.000
107,WCC000107,3,Summit WorkCenterCapability 107,WorkCenterCapability starter record 107,Devon Garcia,2020-04-17,2021-04-17,1,1,1,2026-08-24T00:00:00.000
108,WCC000108,3,Delta WorkCenterCapability 108,WorkCenterCapability starter record 108,Harper Reed,2020-04-18,2021-04-18,1,1,1,2026-08-24T00:00:00.000
109,WCC000109,4,Ion WorkCenterCapability 109,WorkCenterCapability starter record 109,Jordan Reed,2020-04-19,2021-04-19,1,1,1,2026-08-24T00:00:00.000
110,WCC000110,4,Titan WorkCenterCapability 110,WorkCenterCapability starter record 110,Casey Evans,2020-04-20,2021-04-20,0,1,1,2026-08-24T00:00:00.000
111,WCC000111,3,Willow WorkCenterCapability 111,WorkCenterCapability starter record 111,Jordan Martin,2020-04-21,2021-04-21,1,1,1,2026-08-24T00:00:00.000
112,WCC000112,3,Junction WorkCenterCapability 112,WorkCenterCapability starter record 112,Harper Hughes,2020-04-22,2021-04-22,1,1,1,2026-08-24T00:00:00.000
113,WCC000113,3,Liberty WorkCenterCapability 113,WorkCenterCapability starter record 113,Taylor Singh,2020-04-23,2021-04-23,1,1,1,2026-08-24T00:00:00.000
114,WCC000114,2,Pioneer WorkCenterCapability 114,WorkCenterCapability starter record 114,Emerson Adams,2020-04-24,2021-04-24,1,1,1,2026-08-24T00:00:00.000
115,WCC000115,1,Northstar WorkCenterCapability 115,WorkCenterCapability starter record 115,Morgan Diaz,2020-04-25,2021-04-25,0,1,1,2026-08-24T00:00:00.000
116,WCC000116,3,Northstar WorkCenterCapability 116,WorkCenterCapability starter record 116,Taylor Bennett,2020-04-26,2021-04-26,1,1,1,2026-08-24T00:00:00.000
117,WCC000117,4,Titan WorkCenterCapability 117,WorkCenterCapability starter record 117,Blair Garcia,2020-04-27,2021-04-27,1,1,1,2026-08-24T00:00:00.000
118,WCC000118,2,Pioneer WorkCenterCapability 118,WorkCenterCapability starter record 118,Alex Patel,2020-04-28,2021-04-28,1,1,1,2026-08-24T00:00:00.000
119,WCC000119,1,Junction WorkCenterCapability 119,WorkCenterCapability starter record 119,Emerson Reed,2020-04-29,2021-04-29,1,1,1,2026-08-24T00:00:00.000
120,WCC000120,4,Riverton WorkCenterCapability 120,WorkCenterCapability starter record 120,Emerson Patel,2020-04-30,2021-04-30,0,1,1,2026-08-24T00:00:00.000
121,WCC000121,1,Liberty WorkCenterCapability 121,WorkCenterCapability starter record 121,Devon Singh,2020-05-01,2021-05-01,1,1,1,2026-08-24T00:00:00.000
122,WCC000122,3,Pioneer WorkCenterCapability 122,WorkCenterCapability starter record 122,Quinn Chen,2020-05-02,2021-05-02,1,1,1,2026-08-24T00:00:00.000
123,WCC000123,2,Liberty WorkCenterCapability 123,WorkCenterCapability starter record 123,Quinn Evans,2020-05-03,2021-05-03,1,1,1,2026-08-24T00:00:00.000
124,WCC000124,2,Vertex WorkCenterCapability 124,WorkCenterCapability starter record 124,Alex Patel,2020-05-04,2021-05-04,1,1,1,2026-08-24T00:00:00.000
125,WCC000125,3,Zenith WorkCenterCapability 125,WorkCenterCapability starter record 125,Alex Bennett,2020-05-05,2021-05-05,0,1,1,2026-08-24T00:00:00.000
126,WCC000126,4,Orion WorkCenterCapability 126,WorkCenterCapability starter record 126,Emerson Martin,2020-05-06,2021-05-06,1,1,1,2026-08-24T00:00:00.000
127,WCC000127,1,Vertex WorkCenterCapability 127,WorkCenterCapability starter record 127,Riley Bennett,2020-05-07,2021-05-07,1,1,1,2026-08-24T00:00:00.000
128,WCC000128,1,Cedar WorkCenterCapability 128,WorkCenterCapability starter record 128,Jordan Diaz,2020-05-08,2021-05-08,1,1,1,2026-08-24T00:00:00.000
129,WCC000129,2,Granite WorkCenterCapability 129,WorkCenterCapability starter record 129,Casey Garcia,2020-05-09,2021-05-09,1,1,1,2026-08-24T00:00:00.000
130,WCC000130,3,Liberty WorkCenterCapability 130,WorkCenterCapability starter record 130,Devon Singh,2020-05-10,2021-05-10,0,1,1,2026-08-24T00:00:00.000
131,WCC000131,4,Pioneer WorkCenterCapability 131,WorkCenterCapability starter record 131,Casey Hughes,2020-05-11,2021-05-11,1,1,1,2026-08-24T00:00:00.000
132,WCC000132,3,Zenith WorkCenterCapability 132,WorkCenterCapability starter record 132,Riley Adams,2020-05-12,2021-05-12,1,1,1,2026-08-24T00:00:00.000
133,WCC000133,3,Northstar WorkCenterCapability 133,WorkCenterCapability starter record 133,Finley Singh,2020-05-13,2021-05-13,1,1,1,2026-08-24T00:00:00.000
134,WCC000134,4,Delta WorkCenterCapability 134,WorkCenterCapability starter record 134,Finley Singh,2020-05-14,2021-05-14,1,1,1,2026-08-24T00:00:00.000
135,WCC000135,3,Granite WorkCenterCapability 135,WorkCenterCapability starter record 135,Finley Adams,2020-05-15,2021-05-15,0,1,1,2026-08-24T00:00:00.000
136,WCC000136,4,Evergreen WorkCenterCapability 136,WorkCenterCapability starter record 136,Blair Adams,2020-05-16,2021-05-16,1,1,1,2026-08-24T00:00:00.000
137,WCC000137,2,Willow WorkCenterCapability 137,WorkCenterCapability starter record 137,Morgan Reed,2020-05-17,2021-05-17,1,1,1,2026-08-24T00:00:00.000
138,WCC000138,2,Unity WorkCenterCapability 138,WorkCenterCapability starter record 138,Taylor Bennett,2020-05-18,2021-05-18,1,1,1,2026-08-24T00:00:00.000
139,WCC000139,3,Cedar WorkCenterCapability 139,WorkCenterCapability starter record 139,Devon Khan,2020-05-19,2021-05-19,1,1,1,2026-08-24T00:00:00.000
140,WCC000140,1,Evergreen WorkCenterCapability 140,WorkCenterCapability starter record 140,Alex Hughes,2020-05-20,2021-05-20,0,1,1,2026-08-24T00:00:00.000
141,WCC000141,1,Orion WorkCenterCapability 141,WorkCenterCapability starter record 141,Alex Evans,2020-05-21,2021-05-21,1,1,1,2026-08-24T00:00:00.000
142,WCC000142,4,Orion WorkCenterCapability 142,WorkCenterCapability starter record 142,Morgan Khan,2020-05-22,2021-05-22,1,1,1,2026-08-24T00:00:00.000
143,WCC000143,2,Pioneer WorkCenterCapability 143,WorkCenterCapability starter record 143,Emerson Hughes,2020-05-23,2021-05-23,1,1,1,2026-08-24T00:00:00.000
144,WCC000144,2,Quartz WorkCenterCapability 144,WorkCenterCapability starter record 144,Finley Diaz,2020-05-24,2021-05-24,1,1,1,2026-08-24T00:00:00.000
145,WCC000145,1,Forge WorkCenterCapability 145,WorkCenterCapability starter record 145,Riley Chen,2020-05-25,2021-05-25,0,1,1,2026-08-24T00:00:00.000
146,WCC000146,2,Keystone WorkCenterCapability 146,WorkCenterCapability starter record 146,Emerson Garcia,2020-05-26,2021-05-26,1,1,1,2026-08-24T00:00:00.000
147,WCC000147,3,Orion WorkCenterCapability 147,WorkCenterCapability starter record 147,Morgan Adams,2020-05-27,2021-05-27,1,1,1,2026-08-24T00:00:00.000
148,WCC000148,2,Beacon WorkCenterCapability 148,WorkCenterCapability starter record 148,Devon Chen,2020-05-28,2021-05-28,1,1,1,2026-08-24T00:00:00.000
149,WCC000149,3,Northstar WorkCenterCapability 149,WorkCenterCapability starter record 149,Casey Hughes,2020-05-29,2021-05-29,1,1,1,2026-08-24T00:00:00.000
150,WCC000150,2,Riverton WorkCenterCapability 150,WorkCenterCapability starter record 150,Quinn Chen,2020-05-30,2021-05-30,0,1,1,2026-08-24T00:00:00.000
151,WCC000151,3,Delta WorkCenterCapability 151,WorkCenterCapability starter record 151,Blair Martin,2020-05-31,2021-05-31,1,1,1,2026-08-24T00:00:00.000
152,WCC000152,3,Beacon WorkCenterCapability 152,WorkCenterCapability starter record 152,Taylor Singh,2020-06-01,2021-06-01,1,1,1,2026-08-24T00:00:00.000
153,WCC000153,2,Delta WorkCenterCapability 153,WorkCenterCapability starter record 153,Alex Adams,2020-06-02,2021-06-02,1,1,1,2026-08-24T00:00:00.000
154,WCC000154,4,Harbor WorkCenterCapability 154,WorkCenterCapability starter record 154,Riley Singh,2020-06-03,2021-06-03,1,1,1,2026-08-24T00:00:00.000
155,WCC000155,3,Delta WorkCenterCapability 155,WorkCenterCapability starter record 155,Morgan Hughes,2020-06-04,2021-06-04,0,1,1,2026-08-24T00:00:00.000
156,WCC000156,2,Evergreen WorkCenterCapability 156,WorkCenterCapability starter record 156,Harper Khan,2020-06-05,2021-06-05,1,1,1,2026-08-24T00:00:00.000
157,WCC000157,1,Forge WorkCenterCapability 157,WorkCenterCapability starter record 157,Morgan Evans,2020-06-06,2021-06-06,1,1,1,2026-08-24T00:00:00.000
158,WCC000158,1,Harbor WorkCenterCapability 158,WorkCenterCapability starter record 158,Emerson Reed,2020-06-07,2021-06-07,1,1,1,2026-08-24T00:00:00.000
159,WCC000159,1,Summit WorkCenterCapability 159,WorkCenterCapability starter record 159,Harper Patel,2020-06-08,2021-06-08,1,1,1,2026-08-24T00:00:00.000
160,WCC000160,1,Summit WorkCenterCapability 160,WorkCenterCapability starter record 160,Jordan Reed,2020-06-09,2021-06-09,0,1,1,2026-08-24T00:00:00.000
161,WCC000161,4,Harbor WorkCenterCapability 161,WorkCenterCapability starter record 161,Alex Hughes,2020-06-10,2021-06-10,1,1,1,2026-08-24T00:00:00.000
162,WCC000162,1,Liberty WorkCenterCapability 162,WorkCenterCapability starter record 162,Harper Singh,2020-06-11,2021-06-11,1,1,1,2026-08-24T00:00:00.000
163,WCC000163,4,Pioneer WorkCenterCapability 163,WorkCenterCapability starter record 163,Emerson Patel,2020-06-12,2021-06-12,1,1,1,2026-08-24T00:00:00.000
164,WCC000164,1,Zenith WorkCenterCapability 164,WorkCenterCapability starter record 164,Alex Adams,2020-06-13,2021-06-13,1,1,1,2026-08-24T00:00:00.000
