AssetManufacturerKey,ManufacturerCode,CountryKey,RecordStatusKey,ManufacturerName,ManufacturerDescription,OwnerName,EffectiveStartDate,EffectiveEndDate,IsActive,SourceSystemKey,BatchId,LoadedAtUtc
39,AM000039,122,3,Junction AssetManufacturer 39,AssetManufacturer starter record 39,Alex Martin,2020-02-09,2021-02-08,1,1,1,2026-08-24T00:00:00.000
40,AM000040,181,1,Riverton AssetManufacturer 40,AssetManufacturer starter record 40,Morgan Martin,2020-02-10,2021-02-09,0,1,1,2026-08-24T00:00:00.000
41,AM000041,198,3,Quartz AssetManufacturer 41,AssetManufacturer starter record 41,Quinn Singh,2020-02-11,2021-02-10,1,1,1,2026-08-24T00:00:00.000
42,AM000042,91,4,Summit AssetManufacturer 42,AssetManufacturer starter record 42,Morgan Bennett,2020-02-12,2021-02-11,1,1,1,2026-08-24T00:00:00.000
43,AM000043,170,2,Willow AssetManufacturer 43,AssetManufacturer starter record 43,Emerson Evans,2020-02-13,2021-02-12,1,1,1,2026-08-24T00:00:00.000
44,AM000044,188,3,Evergreen AssetManufacturer 44,AssetManufacturer starter record 44,Emerson Chen,2020-02-14,2021-02-13,1,1,1,2026-08-24T00:00:00.000
45,AM000045,128,2,Liberty AssetManufacturer 45,AssetManufacturer starter record 45,Blair Garcia,2020-02-15,2021-02-14,0,1,1,2026-08-24T00:00:00.000
46,AM000046,225,1,Willow AssetManufacturer 46,AssetManufacturer starter record 46,Quinn Martin,2020-02-16,2021-02-15,1,1,1,2026-08-24T00:00:00.000
47,AM000047,148,1,Vertex AssetManufacturer 47,AssetManufacturer starter record 47,Casey Hughes,2020-02-17,2021-02-16,1,1,1,2026-08-24T00:00:00.000
48,AM000048,205,4,Vertex AssetManufacturer 48,AssetManufacturer starter record 48,Emerson Patel,2020-02-18,2021-02-17,1,1,1,2026-08-24T00:00:00.000
49,AM000049,116,2,Delta AssetManufacturer 49,AssetManufacturer starter record 49,Blair Reed,2020-02-19,2021-02-18,1,1,1,2026-08-24T00:00:00.000
50,AM000050,53,2,Evergreen AssetManufacturer 50,AssetManufacturer starter record 50,Jordan Reed,2020-02-20,2021-02-19,0,1,1,2026-08-24T00:00:00.000
51,AM000051,81,4,Willow AssetManufacturer 51,AssetManufacturer starter record 51,Emerson Chen,2020-02-21,2021-02-20,1,1,1,2026-08-24T00:00:00.000
52,AM000052,30,4,Meridian AssetManufacturer 52,AssetManufacturer starter record 52,Riley Hughes,2020-02-22,2021-02-21,1,1,1,2026-08-24T00:00:00.000
53,AM000053,25,2,Northstar AssetManufacturer 53,AssetManufacturer starter record 53,Alex Martin,2020-02-23,2021-02-22,1,1,1,2026-08-24T00:00:00.000
54,AM000054,106,2,Willow AssetManufacturer 54,AssetManufacturer starter record 54,Harper Diaz,2020-02-24,2021-02-23,1,1,1,2026-08-24T00:00:00.000
55,AM000055,50,3,Riverton AssetManufacturer 55,AssetManufacturer starter record 55,Devon Bennett,2020-02-25,2021-02-24,0,1,1,2026-08-24T00:00:00.000
56,AM000056,237,2,Beacon AssetManufacturer 56,AssetManufacturer starter record 56,Harper Patel,2020-02-26,2021-02-25,1,1,1,2026-08-24T00:00:00.000
57,AM000057,32,2,Keystone AssetManufacturer 57,AssetManufacturer starter record 57,Jordan Hughes,2020-02-27,2021-02-26,1,1,1,2026-08-24T00:00:00.000
58,AM000058,158,4,Northstar AssetManufacturer 58,AssetManufacturer starter record 58,Emerson Evans,2020-02-28,2021-02-27,1,1,1,2026-08-24T00:00:00.000
59,AM000059,110,3,Riverton AssetManufacturer 59,AssetManufacturer starter record 59,Riley Reed,2020-02-29,2021-02-28,1,1,1,2026-08-24T00:00:00.000
60,AM000060,53,4,Atlas AssetManufacturer 60,AssetManufacturer starter record 60,Harper Chen,2020-03-01,2021-03-01,0,1,1,2026-08-24T00:00:00.000
61,AM000061,28,3,Pioneer AssetManufacturer 61,AssetManufacturer starter record 61,Casey Reed,2020-03-02,2021-03-02,1,1,1,2026-08-24T00:00:00.000
62,AM000062,47,4,Vertex AssetManufacturer 62,AssetManufacturer starter record 62,Taylor Patel,2020-03-03,2021-03-03,1,1,1,2026-08-24T00:00:00.000
63,AM000063,194,1,Meridian AssetManufacturer 63,AssetManufacturer starter record 63,Blair Singh,2020-03-04,2021-03-04,1,1,1,2026-08-24T00:00:00.000
64,AM000064,170,1,Summit AssetManufacturer 64,AssetManufacturer starter record 64,Casey Adams,2020-03-05,2021-03-05,1,1,1,2026-08-24T00:00:00.000
65,AM000065,153,3,Cedar AssetManufacturer 65,AssetManufacturer starter record 65,Devon Garcia,2020-03-06,2021-03-06,0,1,1,2026-08-24T00:00:00.000
66,AM000066,245,2,Orion AssetManufacturer 66,AssetManufacturer starter record 66,Alex Chen,2020-03-07,2021-03-07,1,1,1,2026-08-24T00:00:00.000
67,AM000067,81,4,Cedar AssetManufacturer 67,AssetManufacturer starter record 67,Morgan Khan,2020-03-08,2021-03-08,1,1,1,2026-08-24T00:00:00.000
68,AM000068,220,4,Keystone AssetManufacturer 68,AssetManufacturer starter record 68,Morgan Garcia,2020-03-09,2021-03-09,1,1,1,2026-08-24T00:00:00.000
69,AM000069,229,1,Cedar AssetManufacturer 69,AssetManufacturer starter record 69,Taylor Evans,2020-03-10,2021-03-10,1,1,1,2026-08-24T00:00:00.000
70,AM000070,98,1,Meridian AssetManufacturer 70,AssetManufacturer starter record 70,Emerson Khan,2020-03-11,2021-03-11,0,1,1,2026-08-24T00:00:00.000
71,AM000071,213,1,Delta AssetManufacturer 71,AssetManufacturer starter record 71,Casey Adams,2020-03-12,2021-03-12,1,1,1,2026-08-24T00:00:00.000
72,AM000072,211,1,Atlas AssetManufacturer 72,AssetManufacturer starter record 72,Quinn Martin,2020-03-13,2021-03-13,1,1,1,2026-08-24T00:00:00.000
73,AM000073,135,1,Granite AssetManufacturer 73,AssetManufacturer starter record 73,Riley Patel,2020-03-14,2021-03-14,1,1,1,2026-08-24T00:00:00.000
74,AM000074,208,3,Ion AssetManufacturer 74,AssetManufacturer starter record 74,Taylor Patel,2020-03-15,2021-03-15,1,1,1,2026-08-24T00:00:00.000
75,AM000075,201,3,Keystone AssetManufacturer 75,AssetManufacturer starter record 75,Blair Chen,2020-03-16,2021-03-16,0,1,1,2026-08-24T00:00:00.000
76,AM000076,86,3,Liberty AssetManufacturer 76,AssetManufacturer starter record 76,Devon Hughes,2020-03-17,2021-03-17,1,1,1,2026-08-24T00:00:00.000
77,AM000077,103,1,Harbor AssetManufacturer 77,AssetManufacturer starter record 77,Riley Hughes,2020-03-18,2021-03-18,1,1,1,2026-08-24T00:00:00.000
78,AM000078,26,2,Atlas AssetManufacturer 78,AssetManufacturer starter record 78,Blair Adams,2020-03-19,2021-03-19,1,1,1,2026-08-24T00:00:00.000
79,AM000079,239,1,Liberty AssetManufacturer 79,AssetManufacturer starter record 79,Finley Garcia,2020-03-20,2021-03-20,1,1,1,2026-08-24T00:00:00.000
80,AM000080,47,3,Evergreen AssetManufacturer 80,AssetManufacturer starter record 80,Jordan Diaz,2020-03-21,2021-03-21,0,1,1,2026-08-24T00:00:00.000
81,AM000081,64,1,Riverton AssetManufacturer 81,AssetManufacturer starter record 81,Morgan Chen,2020-03-22,2021-03-22,1,1,1,2026-08-24T00:00:00.000
82,AM000082,88,1,Zenith AssetManufacturer 82,AssetManufacturer starter record 82,Alex Singh,2020-03-23,2021-03-23,1,1,1,2026-08-24T00:00:00.000
83,AM000083,127,4,Cedar AssetManufacturer 83,AssetManufacturer starter record 83,Casey Adams,2020-03-24,2021-03-24,1,1,1,2026-08-24T00:00:00.000
84,AM000084,170,4,Willow AssetManufacturer 84,AssetManufacturer starter record 84,Devon Evans,2020-03-25,2021-03-25,1,1,1,2026-08-24T00:00:00.000
85,AM000085,226,3,Atlas AssetManufacturer 85,AssetManufacturer starter record 85,Quinn Bennett,2020-03-26,2021-03-26,0,1,1,2026-08-24T00:00:00.000
86,AM000086,242,3,Granite AssetManufacturer 86,AssetManufacturer starter record 86,Harper Evans,2020-03-27,2021-03-27,1,1,1,2026-08-24T00:00:00.000
87,AM000087,114,1,Willow AssetManufacturer 87,AssetManufacturer starter record 87,Harper Bennett,2020-03-28,2021-03-28,1,1,1,2026-08-24T00:00:00.000
88,AM000088,6,1,Keystone AssetManufacturer 88,AssetManufacturer starter record 88,Casey Garcia,2020-03-29,2021-03-29,1,1,1,2026-08-24T00:00:00.000
89,AM000089,88,3,Granite AssetManufacturer 89,AssetManufacturer starter record 89,Harper Adams,2020-03-30,2021-03-30,1,1,1,2026-08-24T00:00:00.000
90,AM000090,213,2,Pioneer AssetManufacturer 90,AssetManufacturer starter record 90,Casey Hughes,2020-03-31,2021-03-31,0,1,1,2026-08-24T00:00:00.000
91,AM000091,110,3,Keystone AssetManufacturer 91,AssetManufacturer starter record 91,Alex Bennett,2020-04-01,2021-04-01,1,1,1,2026-08-24T00:00:00.000
92,AM000092,89,1,Titan AssetManufacturer 92,AssetManufacturer starter record 92,Riley Adams,2020-04-02,2021-04-02,1,1,1,2026-08-24T00:00:00.000
93,AM000093,133,2,Willow AssetManufacturer 93,AssetManufacturer starter record 93,Harper Martin,2020-04-03,2021-04-03,1,1,1,2026-08-24T00:00:00.000
94,AM000094,26,3,Unity AssetManufacturer 94,AssetManufacturer starter record 94,Riley Garcia,2020-04-04,2021-04-04,1,1,1,2026-08-24T00:00:00.000
95,AM000095,149,2,Granite AssetManufacturer 95,AssetManufacturer starter record 95,Harper Reed,2020-04-05,2021-04-05,0,1,1,2026-08-24T00:00:00.000
96,AM000096,194,2,Titan AssetManufacturer 96,AssetManufacturer starter record 96,Riley Bennett,2020-04-06,2021-04-06,1,1,1,2026-08-24T00:00:00.000
97,AM000097,195,1,Granite AssetManufacturer 97,AssetManufacturer starter record 97,Alex Diaz,2020-04-07,2021-04-07,1,1,1,2026-08-24T00:00:00.000
98,AM000098,42,4,Zenith AssetManufacturer 98,AssetManufacturer starter record 98,Blair Garcia,2020-04-08,2021-04-08,1,1,1,2026-08-24T00:00:00.000
99,AM000099,195,1,Junction AssetManufacturer 99,AssetManufacturer starter record 99,Jordan Adams,2020-04-09,2021-04-09,1,1,1,2026-08-24T00:00:00.000
100,AM000100,147,2,Riverton AssetManufacturer 100,AssetManufacturer starter record 100,Casey Khan,2020-04-10,2021-04-10,0,1,1,2026-08-24T00:00:00.000
101,AM000101,227,2,Harbor AssetManufacturer 101,AssetManufacturer starter record 101,Taylor Chen,2020-04-11,2021-04-11,1,1,1,2026-08-24T00:00:00.000
102,AM000102,120,3,Titan AssetManufacturer 102,AssetManufacturer starter record 102,Blair Hughes,2020-04-12,2021-04-12,1,1,1,2026-08-24T00:00:00.000
103,AM000103,69,4,Titan AssetManufacturer 103,AssetManufacturer starter record 103,Alex Bennett,2020-04-13,2021-04-13,1,1,1,2026-08-24T00:00:00.000
104,AM000104,84,1,Beacon AssetManufacturer 104,AssetManufacturer starter record 104,Quinn Bennett,2020-04-14,2021-04-14,1,1,1,2026-08-24T00:00:00.000
105,AM000105,6,1,Liberty AssetManufacturer 105,AssetManufacturer starter record 105,Alex Martin,2020-04-15,2021-04-15,0,1,1,2026-08-24T00:00:00.000
106,AM000106,33,4,Zenith AssetManufacturer 106,AssetManufacturer starter record 106,Quinn Diaz,2020-04-16,2021-04-16,1,1,1,2026-08-24T00:00:00.000
107,AM000107,67,3,Summit AssetManufacturer 107,AssetManufacturer starter record 107,Casey Garcia,2020-04-17,2021-04-17,1,1,1,2026-08-24T00:00:00.000
108,AM000108,105,3,Ion AssetManufacturer 108,AssetManufacturer starter record 108,Quinn Khan,2020-04-18,2021-04-18,1,1,1,2026-08-24T00:00:00.000
109,AM000109,182,1,Vertex AssetManufacturer 109,AssetManufacturer starter record 109,Finley Khan,2020-04-19,2021-04-19,1,1,1,2026-08-24T00:00:00.000
110,AM000110,27,3,Cedar AssetManufacturer 110,AssetManufacturer starter record 110,Emerson Singh,2020-04-20,2021-04-20,0,1,1,2026-08-24T00:00:00.000
111,AM000111,156,3,Atlas AssetManufacturer 111,AssetManufacturer starter record 111,Morgan Diaz,2020-04-21,2021-04-21,1,1,1,2026-08-24T00:00:00.000
112,AM000112,68,3,Granite AssetManufacturer 112,AssetManufacturer starter record 112,Alex Patel,2020-04-22,2021-04-22,1,1,1,2026-08-24T00:00:00.000
113,AM000113,149,1,Evergreen AssetManufacturer 113,AssetManufacturer starter record 113,Blair Garcia,2020-04-23,2021-04-23,1,1,1,2026-08-24T00:00:00.000
114,AM000114,25,4,Summit AssetManufacturer 114,AssetManufacturer starter record 114,Devon Diaz,2020-04-24,2021-04-24,1,1,1,2026-08-24T00:00:00.000
115,AM000115,78,4,Junction AssetManufacturer 115,AssetManufacturer starter record 115,Casey Martin,2020-04-25,2021-04-25,0,1,1,2026-08-24T00:00:00.000
116,AM000116,233,2,Harbor AssetManufacturer 116,AssetManufacturer starter record 116,Riley Reed,2020-04-26,2021-04-26,1,1,1,2026-08-24T00:00:00.000
117,AM000117,82,2,Atlas AssetManufacturer 117,AssetManufacturer starter record 117,Quinn Khan,2020-04-27,2021-04-27,1,1,1,2026-08-24T00:00:00.000
118,AM000118,140,1,Granite AssetManufacturer 118,AssetManufacturer starter record 118,Taylor Bennett,2020-04-28,2021-04-28,1,1,1,2026-08-24T00:00:00.000
119,AM000119,48,1,Titan AssetManufacturer 119,AssetManufacturer starter record 119,Harper Adams,2020-04-29,2021-04-29,1,1,1,2026-08-24T00:00:00.000
120,AM000120,213,4,Atlas AssetManufacturer 120,AssetManufacturer starter record 120,Riley Bennett,2020-04-30,2021-04-30,0,1,1,2026-08-24T00:00:00.000
121,AM000121,191,3,Cedar AssetManufacturer 121,AssetManufacturer starter record 121,Quinn Chen,2020-05-01,2021-05-01,1,1,1,2026-08-24T00:00:00.000
122,AM000122,49,2,Delta AssetManufacturer 122,AssetManufacturer starter record 122,Alex Evans,2020-05-02,2021-05-02,1,1,1,2026-08-24T00:00:00.000
123,AM000123,223,2,Ion AssetManufacturer 123,AssetManufacturer starter record 123,Blair Diaz,2020-05-03,2021-05-03,1,1,1,2026-08-24T00:00:00.000
124,AM000124,107,4,Meridian AssetManufacturer 124,AssetManufacturer starter record 124,Finley Garcia,2020-05-04,2021-05-04,1,1,1,2026-08-24T00:00:00.000
125,AM000125,58,1,Unity AssetManufacturer 125,AssetManufacturer starter record 125,Blair Singh,2020-05-05,2021-05-05,0,1,1,2026-08-24T00:00:00.000
126,AM000126,58,3,Harbor AssetManufacturer 126,AssetManufacturer starter record 126,Quinn Martin,2020-05-06,2021-05-06,1,1,1,2026-08-24T00:00:00.000
127,AM000127,226,1,Atlas AssetManufacturer 127,AssetManufacturer starter record 127,Riley Garcia,2020-05-07,2021-05-07,1,1,1,2026-08-24T00:00:00.000
128,AM000128,125,2,Summit AssetManufacturer 128,AssetManufacturer starter record 128,Quinn Evans,2020-05-08,2021-05-08,1,1,1,2026-08-24T00:00:00.000
129,AM000129,139,4,Evergreen AssetManufacturer 129,AssetManufacturer starter record 129,Riley Patel,2020-05-09,2021-05-09,1,1,1,2026-08-24T00:00:00.000
130,AM000130,84,3,Summit AssetManufacturer 130,AssetManufacturer starter record 130,Harper Adams,2020-05-10,2021-05-10,0,1,1,2026-08-24T00:00:00.000
131,AM000131,121,1,Delta AssetManufacturer 131,AssetManufacturer starter record 131,Emerson Singh,2020-05-11,2021-05-11,1,1,1,2026-08-24T00:00:00.000
132,AM000132,57,3,Atlas AssetManufacturer 132,AssetManufacturer starter record 132,Emerson Singh,2020-05-12,2021-05-12,1,1,1,2026-08-24T00:00:00.000
133,AM000133,89,1,Unity AssetManufacturer 133,AssetManufacturer starter record 133,Emerson Bennett,2020-05-13,2021-05-13,1,1,1,2026-08-24T00:00:00.000
134,AM000134,197,3,Evergreen AssetManufacturer 134,AssetManufacturer starter record 134,Devon Garcia,2020-05-14,2021-05-14,1,1,1,2026-08-24T00:00:00.000
135,AM000135,141,3,Unity AssetManufacturer 135,AssetManufacturer starter record 135,Taylor Bennett,2020-05-15,2021-05-15,0,1,1,2026-08-24T00:00:00.000
136,AM000136,147,2,Unity AssetManufacturer 136,AssetManufacturer starter record 136,Devon Martin,2020-05-16,2021-05-16,1,1,1,2026-08-24T00:00:00.000
137,AM000137,78,2,Summit AssetManufacturer 137,AssetManufacturer starter record 137,Morgan Patel,2020-05-17,2021-05-17,1,1,1,2026-08-24T00:00:00.000
138,AM000138,177,3,Delta AssetManufacturer 138,AssetManufacturer starter record 138,Casey Khan,2020-05-18,2021-05-18,1,1,1,2026-08-24T00:00:00.000
139,AM000139,187,2,Atlas AssetManufacturer 139,AssetManufacturer starter record 139,Casey Diaz,2020-05-19,2021-05-19,1,1,1,2026-08-24T00:00:00.000
140,AM000140,27,2,Meridian AssetManufacturer 140,AssetManufacturer starter record 140,Finley Diaz,2020-05-20,2021-05-20,0,1,1,2026-08-24T00:00:00.000
141,AM000141,115,2,Junction AssetManufacturer 141,AssetManufacturer starter record 141,Taylor Hughes,2020-05-21,2021-05-21,1,1,1,2026-08-24T00:00:00.000
142,AM000142,27,2,Junction AssetManufacturer 142,AssetManufacturer starter record 142,Casey Hughes,2020-05-22,2021-05-22,1,1,1,2026-08-24T00:00:00.000
143,AM000143,41,3,Titan AssetManufacturer 143,AssetManufacturer starter record 143,Casey Reed,2020-05-23,2021-05-23,1,1,1,2026-08-24T00:00:00.000
144,AM000144,136,1,Keystone AssetManufacturer 144,AssetManufacturer starter record 144,Morgan Khan,2020-05-24,2021-05-24,1,1,1,2026-08-24T00:00:00.000
145,AM000145,236,1,Liberty AssetManufacturer 145,AssetManufacturer starter record 145,Jordan Diaz,2020-05-25,2021-05-25,0,1,1,2026-08-24T00:00:00.000
146,AM000146,105,4,Titan AssetManufacturer 146,AssetManufacturer starter record 146,Emerson Singh,2020-05-26,2021-05-26,1,1,1,2026-08-24T00:00:00.000
147,AM000147,230,2,Riverton AssetManufacturer 147,AssetManufacturer starter record 147,Quinn Evans,2020-05-27,2021-05-27,1,1,1,2026-08-24T00:00:00.000
148,AM000148,130,2,Quartz AssetManufacturer 148,AssetManufacturer starter record 148,Jordan Martin,2020-05-28,2021-05-28,1,1,1,2026-08-24T00:00:00.000
149,AM000149,89,1,Orion AssetManufacturer 149,AssetManufacturer starter record 149,Quinn Patel,2020-05-29,2021-05-29,1,1,1,2026-08-24T00:00:00.000
150,AM000150,113,3,Orion AssetManufacturer 150,AssetManufacturer starter record 150,Jordan Diaz,2020-05-30,2021-05-30,0,1,1,2026-08-24T00:00:00.000
151,AM000151,216,3,Ion AssetManufacturer 151,AssetManufacturer starter record 151,Quinn Reed,2020-05-31,2021-05-31,1,1,1,2026-08-24T00:00:00.000
152,AM000152,195,3,Vertex AssetManufacturer 152,AssetManufacturer starter record 152,Taylor Reed,2020-06-01,2021-06-01,1,1,1,2026-08-24T00:00:00.000
153,AM000153,104,4,Beacon AssetManufacturer 153,AssetManufacturer starter record 153,Casey Singh,2020-06-02,2021-06-02,1,1,1,2026-08-24T00:00:00.000
154,AM000154,21,3,Junction AssetManufacturer 154,AssetManufacturer starter record 154,Harper Bennett,2020-06-03,2021-06-03,1,1,1,2026-08-24T00:00:00.000
155,AM000155,109,1,Ion AssetManufacturer 155,AssetManufacturer starter record 155,Emerson Martin,2020-06-04,2021-06-04,0,1,1,2026-08-24T00:00:00.000
156,AM000156,59,1,Delta AssetManufacturer 156,AssetManufacturer starter record 156,Harper Martin,2020-06-05,2021-06-05,1,1,1,2026-08-24T00:00:00.000
157,AM000157,199,4,Harbor AssetManufacturer 157,AssetManufacturer starter record 157,Harper Bennett,2020-06-06,2021-06-06,1,1,1,2026-08-24T00:00:00.000
158,AM000158,22,2,Ion AssetManufacturer 158,AssetManufacturer starter record 158,Taylor Garcia,2020-06-07,2021-06-07,1,1,1,2026-08-24T00:00:00.000
159,AM000159,111,3,Atlas AssetManufacturer 159,AssetManufacturer starter record 159,Quinn Diaz,2020-06-08,2021-06-08,1,1,1,2026-08-24T00:00:00.000
160,AM000160,194,2,Quartz AssetManufacturer 160,AssetManufacturer starter record 160,Jordan Chen,2020-06-09,2021-06-09,0,1,1,2026-08-24T00:00:00.000
161,AM000161,233,1,Unity AssetManufacturer 161,AssetManufacturer starter record 161,Harper Evans,2020-06-10,2021-06-10,1,1,1,2026-08-24T00:00:00.000
162,AM000162,183,2,Meridian AssetManufacturer 162,AssetManufacturer starter record 162,Jordan Reed,2020-06-11,2021-06-11,1,1,1,2026-08-24T00:00:00.000
163,AM000163,184,3,Riverton AssetManufacturer 163,AssetManufacturer starter record 163,Alex Evans,2020-06-12,2021-06-12,1,1,1,2026-08-24T00:00:00.000
164,AM000164,135,4,Harbor AssetManufacturer 164,AssetManufacturer starter record 164,Casey Garcia,2020-06-13,2021-06-13,1,1,1,2026-08-24T00:00:00.000
165,AM000165,45,4,Northstar AssetManufacturer 165,AssetManufacturer starter record 165,Jordan Diaz,2020-06-14,2021-06-14,0,1,1,2026-08-24T00:00:00.000
166,AM000166,29,2,Summit AssetManufacturer 166,AssetManufacturer starter record 166,Alex Patel,2020-06-15,2021-06-15,1,1,1,2026-08-24T00:00:00.000
