ProductBrandKey,BrandCode,BrandOwnerKey,RecordStatusKey,BrandName,BrandDescription,OwnerName,EffectiveStartDate,EffectiveEndDate,IsActive,SourceSystemKey,BatchId,LoadedAtUtc
39,PB000039,104,2,Delta ProductBrand 39,ProductBrand starter record 39,Quinn Evans,2020-02-09,2021-02-08,1,1,1,2026-08-24T00:00:00.000
40,PB000040,18,4,Atlas ProductBrand 40,ProductBrand starter record 40,Casey Patel,2020-02-10,2021-02-09,0,1,1,2026-08-24T00:00:00.000
41,PB000041,17,4,Vertex ProductBrand 41,ProductBrand starter record 41,Finley Garcia,2020-02-11,2021-02-10,1,1,1,2026-08-24T00:00:00.000
42,PB000042,106,1,Riverton ProductBrand 42,ProductBrand starter record 42,Harper Evans,2020-02-12,2021-02-11,1,1,1,2026-08-24T00:00:00.000
43,PB000043,99,4,Willow ProductBrand 43,ProductBrand starter record 43,Finley Khan,2020-02-13,2021-02-12,1,1,1,2026-08-24T00:00:00.000
44,PB000044,74,3,Junction ProductBrand 44,ProductBrand starter record 44,Finley Bennett,2020-02-14,2021-02-13,1,1,1,2026-08-24T00:00:00.000
45,PB000045,67,2,Pioneer ProductBrand 45,ProductBrand starter record 45,Devon Khan,2020-02-15,2021-02-14,0,1,1,2026-08-24T00:00:00.000
46,PB000046,101,2,Evergreen ProductBrand 46,ProductBrand starter record 46,Morgan Chen,2020-02-16,2021-02-15,1,1,1,2026-08-24T00:00:00.000
47,PB000047,62,2,Liberty ProductBrand 47,ProductBrand starter record 47,Casey Bennett,2020-02-17,2021-02-16,1,1,1,2026-08-24T00:00:00.000
48,PB000048,117,2,Pioneer ProductBrand 48,ProductBrand starter record 48,Emerson Garcia,2020-02-18,2021-02-17,1,1,1,2026-08-24T00:00:00.000
49,PB000049,88,3,Delta ProductBrand 49,ProductBrand starter record 49,Riley Patel,2020-02-19,2021-02-18,1,1,1,2026-08-24T00:00:00.000
50,PB000050,37,3,Riverton ProductBrand 50,ProductBrand starter record 50,Jordan Adams,2020-02-20,2021-02-19,0,1,1,2026-08-24T00:00:00.000
51,PB000051,118,4,Quartz ProductBrand 51,ProductBrand starter record 51,Riley Adams,2020-02-21,2021-02-20,1,1,1,2026-08-24T00:00:00.000
52,PB000052,80,1,Ion ProductBrand 52,ProductBrand starter record 52,Jordan Evans,2020-02-22,2021-02-21,1,1,1,2026-08-24T00:00:00.000
53,PB000053,87,2,Forge ProductBrand 53,ProductBrand starter record 53,Taylor Reed,2020-02-23,2021-02-22,1,1,1,2026-08-24T00:00:00.000
54,PB000054,82,1,Beacon ProductBrand 54,ProductBrand starter record 54,Taylor Adams,2020-02-24,2021-02-23,1,1,1,2026-08-24T00:00:00.000
55,PB000055,16,2,Ion ProductBrand 55,ProductBrand starter record 55,Casey Bennett,2020-02-25,2021-02-24,0,1,1,2026-08-24T00:00:00.000
56,PB000056,82,1,Forge ProductBrand 56,ProductBrand starter record 56,Morgan Patel,2020-02-26,2021-02-25,1,1,1,2026-08-24T00:00:00.000
57,PB000057,1,2,Willow ProductBrand 57,ProductBrand starter record 57,Alex Martin,2020-02-27,2021-02-26,1,1,1,2026-08-24T00:00:00.000
58,PB000058,19,4,Atlas ProductBrand 58,ProductBrand starter record 58,Taylor Bennett,2020-02-28,2021-02-27,1,1,1,2026-08-24T00:00:00.000
59,PB000059,21,3,Granite ProductBrand 59,ProductBrand starter record 59,Taylor Patel,2020-02-29,2021-02-28,1,1,1,2026-08-24T00:00:00.000
60,PB000060,59,3,Forge ProductBrand 60,ProductBrand starter record 60,Blair Diaz,2020-03-01,2021-03-01,0,1,1,2026-08-24T00:00:00.000
61,PB000061,83,3,Keystone ProductBrand 61,ProductBrand starter record 61,Riley Patel,2020-03-02,2021-03-02,1,1,1,2026-08-24T00:00:00.000
62,PB000062,105,1,Vertex ProductBrand 62,ProductBrand starter record 62,Finley Diaz,2020-03-03,2021-03-03,1,1,1,2026-08-24T00:00:00.000
63,PB000063,112,1,Cedar ProductBrand 63,ProductBrand starter record 63,Emerson Martin,2020-03-04,2021-03-04,1,1,1,2026-08-24T00:00:00.000
64,PB000064,50,1,Pioneer ProductBrand 64,ProductBrand starter record 64,Devon Patel,2020-03-05,2021-03-05,1,1,1,2026-08-24T00:00:00.000
65,PB000065,28,3,Vertex ProductBrand 65,ProductBrand starter record 65,Taylor Khan,2020-03-06,2021-03-06,0,1,1,2026-08-24T00:00:00.000
66,PB000066,21,3,Titan ProductBrand 66,ProductBrand starter record 66,Harper Garcia,2020-03-07,2021-03-07,1,1,1,2026-08-24T00:00:00.000
67,PB000067,46,3,Unity ProductBrand 67,ProductBrand starter record 67,Devon Patel,2020-03-08,2021-03-08,1,1,1,2026-08-24T00:00:00.000
68,PB000068,36,2,Vertex ProductBrand 68,ProductBrand starter record 68,Alex Chen,2020-03-09,2021-03-09,1,1,1,2026-08-24T00:00:00.000
69,PB000069,53,4,Delta ProductBrand 69,ProductBrand starter record 69,Alex Martin,2020-03-10,2021-03-10,1,1,1,2026-08-24T00:00:00.000
70,PB000070,4,2,Ion ProductBrand 70,ProductBrand starter record 70,Blair Chen,2020-03-11,2021-03-11,0,1,1,2026-08-24T00:00:00.000
71,PB000071,57,3,Forge ProductBrand 71,ProductBrand starter record 71,Harper Patel,2020-03-12,2021-03-12,1,1,1,2026-08-24T00:00:00.000
72,PB000072,89,2,Granite ProductBrand 72,ProductBrand starter record 72,Harper Bennett,2020-03-13,2021-03-13,1,1,1,2026-08-24T00:00:00.000
73,PB000073,18,4,Orion ProductBrand 73,ProductBrand starter record 73,Riley Chen,2020-03-14,2021-03-14,1,1,1,2026-08-24T00:00:00.000
74,PB000074,76,3,Cedar ProductBrand 74,ProductBrand starter record 74,Emerson Singh,2020-03-15,2021-03-15,1,1,1,2026-08-24T00:00:00.000
75,PB000075,23,3,Liberty ProductBrand 75,ProductBrand starter record 75,Devon Bennett,2020-03-16,2021-03-16,0,1,1,2026-08-24T00:00:00.000
76,PB000076,70,4,Evergreen ProductBrand 76,ProductBrand starter record 76,Taylor Diaz,2020-03-17,2021-03-17,1,1,1,2026-08-24T00:00:00.000
77,PB000077,69,1,Ion ProductBrand 77,ProductBrand starter record 77,Jordan Patel,2020-03-18,2021-03-18,1,1,1,2026-08-24T00:00:00.000
78,PB000078,49,1,Quartz ProductBrand 78,ProductBrand starter record 78,Quinn Martin,2020-03-19,2021-03-19,1,1,1,2026-08-24T00:00:00.000
79,PB000079,25,3,Quartz ProductBrand 79,ProductBrand starter record 79,Emerson Evans,2020-03-20,2021-03-20,1,1,1,2026-08-24T00:00:00.000
80,PB000080,52,4,Beacon ProductBrand 80,ProductBrand starter record 80,Emerson Patel,2020-03-21,2021-03-21,0,1,1,2026-08-24T00:00:00.000
81,PB000081,9,2,Titan ProductBrand 81,ProductBrand starter record 81,Alex Martin,2020-03-22,2021-03-22,1,1,1,2026-08-24T00:00:00.000
82,PB000082,98,3,Vertex ProductBrand 82,ProductBrand starter record 82,Emerson Khan,2020-03-23,2021-03-23,1,1,1,2026-08-24T00:00:00.000
83,PB000083,22,4,Evergreen ProductBrand 83,ProductBrand starter record 83,Taylor Evans,2020-03-24,2021-03-24,1,1,1,2026-08-24T00:00:00.000
84,PB000084,64,1,Evergreen ProductBrand 84,ProductBrand starter record 84,Harper Patel,2020-03-25,2021-03-25,1,1,1,2026-08-24T00:00:00.000
85,PB000085,13,1,Forge ProductBrand 85,ProductBrand starter record 85,Morgan Singh,2020-03-26,2021-03-26,0,1,1,2026-08-24T00:00:00.000
86,PB000086,16,2,Riverton ProductBrand 86,ProductBrand starter record 86,Riley Reed,2020-03-27,2021-03-27,1,1,1,2026-08-24T00:00:00.000
87,PB000087,84,1,Meridian ProductBrand 87,ProductBrand starter record 87,Alex Diaz,2020-03-28,2021-03-28,1,1,1,2026-08-24T00:00:00.000
88,PB000088,5,2,Summit ProductBrand 88,ProductBrand starter record 88,Quinn Patel,2020-03-29,2021-03-29,1,1,1,2026-08-24T00:00:00.000
89,PB000089,58,1,Evergreen ProductBrand 89,ProductBrand starter record 89,Devon Garcia,2020-03-30,2021-03-30,1,1,1,2026-08-24T00:00:00.000
90,PB000090,111,3,Atlas ProductBrand 90,ProductBrand starter record 90,Alex Reed,2020-03-31,2021-03-31,0,1,1,2026-08-24T00:00:00.000
91,PB000091,53,3,Pioneer ProductBrand 91,ProductBrand starter record 91,Riley Hughes,2020-04-01,2021-04-01,1,1,1,2026-08-24T00:00:00.000
92,PB000092,65,2,Liberty ProductBrand 92,ProductBrand starter record 92,Blair Singh,2020-04-02,2021-04-02,1,1,1,2026-08-24T00:00:00.000
93,PB000093,60,4,Orion ProductBrand 93,ProductBrand starter record 93,Riley Evans,2020-04-03,2021-04-03,1,1,1,2026-08-24T00:00:00.000
94,PB000094,51,2,Liberty ProductBrand 94,ProductBrand starter record 94,Emerson Khan,2020-04-04,2021-04-04,1,1,1,2026-08-24T00:00:00.000
95,PB000095,62,4,Liberty ProductBrand 95,ProductBrand starter record 95,Finley Chen,2020-04-05,2021-04-05,0,1,1,2026-08-24T00:00:00.000
96,PB000096,14,3,Ion ProductBrand 96,ProductBrand starter record 96,Jordan Garcia,2020-04-06,2021-04-06,1,1,1,2026-08-24T00:00:00.000
97,PB000097,49,4,Riverton ProductBrand 97,ProductBrand starter record 97,Jordan Patel,2020-04-07,2021-04-07,1,1,1,2026-08-24T00:00:00.000
98,PB000098,59,4,Meridian ProductBrand 98,ProductBrand starter record 98,Alex Diaz,2020-04-08,2021-04-08,1,1,1,2026-08-24T00:00:00.000
99,PB000099,79,2,Pioneer ProductBrand 99,ProductBrand starter record 99,Taylor Adams,2020-04-09,2021-04-09,1,1,1,2026-08-24T00:00:00.000
100,PB000100,96,3,Junction ProductBrand 100,ProductBrand starter record 100,Taylor Patel,2020-04-10,2021-04-10,0,1,1,2026-08-24T00:00:00.000
101,PB000101,43,1,Forge ProductBrand 101,ProductBrand starter record 101,Blair Diaz,2020-04-11,2021-04-11,1,1,1,2026-08-24T00:00:00.000
102,PB000102,40,2,Atlas ProductBrand 102,ProductBrand starter record 102,Devon Bennett,2020-04-12,2021-04-12,1,1,1,2026-08-24T00:00:00.000
103,PB000103,62,2,Zenith ProductBrand 103,ProductBrand starter record 103,Alex Bennett,2020-04-13,2021-04-13,1,1,1,2026-08-24T00:00:00.000
104,PB000104,76,2,Vertex ProductBrand 104,ProductBrand starter record 104,Harper Martin,2020-04-14,2021-04-14,1,1,1,2026-08-24T00:00:00.000
105,PB000105,46,1,Summit ProductBrand 105,ProductBrand starter record 105,Alex Garcia,2020-04-15,2021-04-15,0,1,1,2026-08-24T00:00:00.000
106,PB000106,15,2,Granite ProductBrand 106,ProductBrand starter record 106,Alex Khan,2020-04-16,2021-04-16,1,1,1,2026-08-24T00:00:00.000
107,PB000107,55,1,Atlas ProductBrand 107,ProductBrand starter record 107,Devon Khan,2020-04-17,2021-04-17,1,1,1,2026-08-24T00:00:00.000
108,PB000108,104,2,Keystone ProductBrand 108,ProductBrand starter record 108,Jordan Patel,2020-04-18,2021-04-18,1,1,1,2026-08-24T00:00:00.000
109,PB000109,9,3,Ion ProductBrand 109,ProductBrand starter record 109,Blair Singh,2020-04-19,2021-04-19,1,1,1,2026-08-24T00:00:00.000
110,PB000110,52,1,Liberty ProductBrand 110,ProductBrand starter record 110,Devon Singh,2020-04-20,2021-04-20,0,1,1,2026-08-24T00:00:00.000
111,PB000111,111,1,Orion ProductBrand 111,ProductBrand starter record 111,Quinn Khan,2020-04-21,2021-04-21,1,1,1,2026-08-24T00:00:00.000
112,PB000112,48,3,Liberty ProductBrand 112,ProductBrand starter record 112,Alex Chen,2020-04-22,2021-04-22,1,1,1,2026-08-24T00:00:00.000
113,PB000113,105,4,Vertex ProductBrand 113,ProductBrand starter record 113,Riley Chen,2020-04-23,2021-04-23,1,1,1,2026-08-24T00:00:00.000
114,PB000114,36,2,Junction ProductBrand 114,ProductBrand starter record 114,Harper Diaz,2020-04-24,2021-04-24,1,1,1,2026-08-24T00:00:00.000
115,PB000115,17,4,Riverton ProductBrand 115,ProductBrand starter record 115,Quinn Singh,2020-04-25,2021-04-25,0,1,1,2026-08-24T00:00:00.000
116,PB000116,62,2,Liberty ProductBrand 116,ProductBrand starter record 116,Harper Martin,2020-04-26,2021-04-26,1,1,1,2026-08-24T00:00:00.000
117,PB000117,22,3,Summit ProductBrand 117,ProductBrand starter record 117,Alex Khan,2020-04-27,2021-04-27,1,1,1,2026-08-24T00:00:00.000
118,PB000118,67,1,Northstar ProductBrand 118,ProductBrand starter record 118,Finley Evans,2020-04-28,2021-04-28,1,1,1,2026-08-24T00:00:00.000
119,PB000119,6,1,Delta ProductBrand 119,ProductBrand starter record 119,Taylor Bennett,2020-04-29,2021-04-29,1,1,1,2026-08-24T00:00:00.000
120,PB000120,23,2,Cedar ProductBrand 120,ProductBrand starter record 120,Riley Evans,2020-04-30,2021-04-30,0,1,1,2026-08-24T00:00:00.000
121,PB000121,84,2,Atlas ProductBrand 121,ProductBrand starter record 121,Harper Bennett,2020-05-01,2021-05-01,1,1,1,2026-08-24T00:00:00.000
122,PB000122,63,1,Forge ProductBrand 122,ProductBrand starter record 122,Riley Khan,2020-05-02,2021-05-02,1,1,1,2026-08-24T00:00:00.000
123,PB000123,27,3,Summit ProductBrand 123,ProductBrand starter record 123,Jordan Martin,2020-05-03,2021-05-03,1,1,1,2026-08-24T00:00:00.000
124,PB000124,80,4,Titan ProductBrand 124,ProductBrand starter record 124,Morgan Hughes,2020-05-04,2021-05-04,1,1,1,2026-08-24T00:00:00.000
125,PB000125,73,2,Harbor ProductBrand 125,ProductBrand starter record 125,Casey Evans,2020-05-05,2021-05-05,0,1,1,2026-08-24T00:00:00.000
126,PB000126,97,1,Liberty ProductBrand 126,ProductBrand starter record 126,Casey Martin,2020-05-06,2021-05-06,1,1,1,2026-08-24T00:00:00.000
127,PB000127,27,4,Harbor ProductBrand 127,ProductBrand starter record 127,Finley Garcia,2020-05-07,2021-05-07,1,1,1,2026-08-24T00:00:00.000
128,PB000128,87,4,Cedar ProductBrand 128,ProductBrand starter record 128,Blair Hughes,2020-05-08,2021-05-08,1,1,1,2026-08-24T00:00:00.000
129,PB000129,4,2,Titan ProductBrand 129,ProductBrand starter record 129,Jordan Khan,2020-05-09,2021-05-09,1,1,1,2026-08-24T00:00:00.000
130,PB000130,42,4,Delta ProductBrand 130,ProductBrand starter record 130,Blair Singh,2020-05-10,2021-05-10,0,1,1,2026-08-24T00:00:00.000
131,PB000131,120,2,Unity ProductBrand 131,ProductBrand starter record 131,Devon Evans,2020-05-11,2021-05-11,1,1,1,2026-08-24T00:00:00.000
132,PB000132,104,3,Vertex ProductBrand 132,ProductBrand starter record 132,Jordan Martin,2020-05-12,2021-05-12,1,1,1,2026-08-24T00:00:00.000
133,PB000133,82,2,Ion ProductBrand 133,ProductBrand starter record 133,Quinn Singh,2020-05-13,2021-05-13,1,1,1,2026-08-24T00:00:00.000
134,PB000134,59,3,Atlas ProductBrand 134,ProductBrand starter record 134,Devon Patel,2020-05-14,2021-05-14,1,1,1,2026-08-24T00:00:00.000
135,PB000135,10,1,Cedar ProductBrand 135,ProductBrand starter record 135,Finley Chen,2020-05-15,2021-05-15,0,1,1,2026-08-24T00:00:00.000
136,PB000136,111,3,Granite ProductBrand 136,ProductBrand starter record 136,Blair Evans,2020-05-16,2021-05-16,1,1,1,2026-08-24T00:00:00.000
137,PB000137,98,3,Delta ProductBrand 137,ProductBrand starter record 137,Emerson Evans,2020-05-17,2021-05-17,1,1,1,2026-08-24T00:00:00.000
138,PB000138,2,4,Keystone ProductBrand 138,ProductBrand starter record 138,Finley Diaz,2020-05-18,2021-05-18,1,1,1,2026-08-24T00:00:00.000
139,PB000139,16,1,Beacon ProductBrand 139,ProductBrand starter record 139,Devon Patel,2020-05-19,2021-05-19,1,1,1,2026-08-24T00:00:00.000
140,PB000140,20,4,Atlas ProductBrand 140,ProductBrand starter record 140,Blair Hughes,2020-05-20,2021-05-20,0,1,1,2026-08-24T00:00:00.000
141,PB000141,14,1,Titan ProductBrand 141,ProductBrand starter record 141,Taylor Chen,2020-05-21,2021-05-21,1,1,1,2026-08-24T00:00:00.000
142,PB000142,80,4,Forge ProductBrand 142,ProductBrand starter record 142,Emerson Adams,2020-05-22,2021-05-22,1,1,1,2026-08-24T00:00:00.000
143,PB000143,74,3,Pioneer ProductBrand 143,ProductBrand starter record 143,Harper Hughes,2020-05-23,2021-05-23,1,1,1,2026-08-24T00:00:00.000
144,PB000144,72,3,Quartz ProductBrand 144,ProductBrand starter record 144,Harper Evans,2020-05-24,2021-05-24,1,1,1,2026-08-24T00:00:00.000
145,PB000145,32,4,Zenith ProductBrand 145,ProductBrand starter record 145,Alex Martin,2020-05-25,2021-05-25,0,1,1,2026-08-24T00:00:00.000
146,PB000146,63,2,Beacon ProductBrand 146,ProductBrand starter record 146,Riley Reed,2020-05-26,2021-05-26,1,1,1,2026-08-24T00:00:00.000
147,PB000147,22,1,Meridian ProductBrand 147,ProductBrand starter record 147,Morgan Martin,2020-05-27,2021-05-27,1,1,1,2026-08-24T00:00:00.000
148,PB000148,37,4,Delta ProductBrand 148,ProductBrand starter record 148,Harper Martin,2020-05-28,2021-05-28,1,1,1,2026-08-24T00:00:00.000
149,PB000149,68,3,Willow ProductBrand 149,ProductBrand starter record 149,Taylor Khan,2020-05-29,2021-05-29,1,1,1,2026-08-24T00:00:00.000
150,PB000150,32,4,Summit ProductBrand 150,ProductBrand starter record 150,Emerson Evans,2020-05-30,2021-05-30,0,1,1,2026-08-24T00:00:00.000
151,PB000151,8,3,Summit ProductBrand 151,ProductBrand starter record 151,Finley Hughes,2020-05-31,2021-05-31,1,1,1,2026-08-24T00:00:00.000
152,PB000152,86,2,Orion ProductBrand 152,ProductBrand starter record 152,Riley Chen,2020-06-01,2021-06-01,1,1,1,2026-08-24T00:00:00.000
153,PB000153,74,4,Cedar ProductBrand 153,ProductBrand starter record 153,Emerson Hughes,2020-06-02,2021-06-02,1,1,1,2026-08-24T00:00:00.000
154,PB000154,84,4,Harbor ProductBrand 154,ProductBrand starter record 154,Finley Evans,2020-06-03,2021-06-03,1,1,1,2026-08-24T00:00:00.000
155,PB000155,91,4,Cedar ProductBrand 155,ProductBrand starter record 155,Harper Evans,2020-06-04,2021-06-04,0,1,1,2026-08-24T00:00:00.000
156,PB000156,109,4,Beacon ProductBrand 156,ProductBrand starter record 156,Blair Reed,2020-06-05,2021-06-05,1,1,1,2026-08-24T00:00:00.000
157,PB000157,85,3,Vertex ProductBrand 157,ProductBrand starter record 157,Riley Evans,2020-06-06,2021-06-06,1,1,1,2026-08-24T00:00:00.000
158,PB000158,52,3,Quartz ProductBrand 158,ProductBrand starter record 158,Riley Singh,2020-06-07,2021-06-07,1,1,1,2026-08-24T00:00:00.000
159,PB000159,98,2,Ion ProductBrand 159,ProductBrand starter record 159,Finley Chen,2020-06-08,2021-06-08,1,1,1,2026-08-24T00:00:00.000
160,PB000160,21,4,Riverton ProductBrand 160,ProductBrand starter record 160,Emerson Reed,2020-06-09,2021-06-09,0,1,1,2026-08-24T00:00:00.000
161,PB000161,26,1,Summit ProductBrand 161,ProductBrand starter record 161,Harper Bennett,2020-06-10,2021-06-10,1,1,1,2026-08-24T00:00:00.000
162,PB000162,20,1,Titan ProductBrand 162,ProductBrand starter record 162,Emerson Patel,2020-06-11,2021-06-11,1,1,1,2026-08-24T00:00:00.000
163,PB000163,71,4,Atlas ProductBrand 163,ProductBrand starter record 163,Morgan Adams,2020-06-12,2021-06-12,1,1,1,2026-08-24T00:00:00.000
164,PB000164,1,4,Meridian ProductBrand 164,ProductBrand starter record 164,Finley Hughes,2020-06-13,2021-06-13,1,1,1,2026-08-24T00:00:00.000
165,PB000165,67,2,Ion ProductBrand 165,ProductBrand starter record 165,Emerson Garcia,2020-06-14,2021-06-14,0,1,1,2026-08-24T00:00:00.000
166,PB000166,46,3,Ion ProductBrand 166,ProductBrand starter record 166,Casey Reed,2020-06-15,2021-06-15,1,1,1,2026-08-24T00:00:00.000
167,PB000167,101,3,Riverton ProductBrand 167,ProductBrand starter record 167,Jordan Diaz,2020-06-16,2021-06-16,1,1,1,2026-08-24T00:00:00.000
168,PB000168,3,2,Beacon ProductBrand 168,ProductBrand starter record 168,Alex Adams,2020-06-17,2021-06-17,1,1,1,2026-08-24T00:00:00.000
169,PB000169,115,4,Evergreen ProductBrand 169,ProductBrand starter record 169,Harper Chen,2020-06-18,2021-06-18,1,1,1,2026-08-24T00:00:00.000
170,PB000170,44,1,Granite ProductBrand 170,ProductBrand starter record 170,Morgan Chen,2020-06-19,2021-06-19,0,1,1,2026-08-24T00:00:00.000
171,PB000171,95,1,Vertex ProductBrand 171,ProductBrand starter record 171,Casey Khan,2020-06-20,2021-06-20,1,1,1,2026-08-24T00:00:00.000
172,PB000172,15,4,Harbor ProductBrand 172,ProductBrand starter record 172,Blair Adams,2020-06-21,2021-06-21,1,1,1,2026-08-24T00:00:00.000
173,PB000173,64,4,Quartz ProductBrand 173,ProductBrand starter record 173,Jordan Bennett,2020-06-22,2021-06-22,1,1,1,2026-08-24T00:00:00.000
174,PB000174,115,4,Riverton ProductBrand 174,ProductBrand starter record 174,Jordan Reed,2020-06-23,2021-06-23,1,1,1,2026-08-24T00:00:00.000
175,PB000175,97,3,Harbor ProductBrand 175,ProductBrand starter record 175,Devon Adams,2020-06-24,2021-06-24,0,1,1,2026-08-24T00:00:00.000
