EmployeeKey,EmployeeNumber,EmployeeJobRoleKey,EmployeePayGradeKey,SupervisorEmployeeKey,EmployeeUnionKey,EmploymentTypeKey,LanguageKey,RecordStatusKey,ShiftCodeKey,EmployeeFullName,PreferredName,HireDate,TerminationDate,EmailAddress,SupervisorEmployeeNumber,StandardHourlyRateAmount,HomePlantCode,BadgeNumber,SafetyTrainingCurrentFlag,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
10,E000010,225,43,-1,35,2,36,2,11,Morgan Singh,Vertex Employee 10,2020-01-11,2020-01-11,user10@example.com,E000010,0.0010,E000010,E000010,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,171dd77bd1c3565989fae68e0f2a3843171dd77bd1c3565989fae68e0f2a3843
11,E000011,36,3,-1,10,4,28,2,8,Emerson Adams,Junction Employee 11,2020-01-12,2020-01-12,user11@example.com,E000011,0.0011,E000011,E000011,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bf220ea30aa152b28b3d6a985e033240bf220ea30aa152b28b3d6a985e033240
12,E000012,87,41,-1,37,6,8,3,3,Morgan Patel,Delta Employee 12,2020-01-13,2020-01-13,user12@example.com,E000012,0.0012,E000012,E000012,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b8609a4e8522569d9173757a14017d8eb8609a4e8522569d9173757a14017d8e
13,E000013,57,50,-1,30,7,30,4,1,Casey Khan,Unity Employee 13,2020-01-14,2020-01-14,user13@example.com,E000013,0.0013,E000013,E000013,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6d89116376a958de98aebe8b113a1a916d89116376a958de98aebe8b113a1a91
14,E000014,313,73,-1,58,8,16,2,9,Alex Khan,Pioneer Employee 14,2020-01-15,2020-01-15,user14@example.com,E000014,0.0014,E000014,E000014,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,486ab552641452b0a3253e3cc92527ae486ab552641452b0a3253e3cc92527ae
15,E000015,462,70,-1,22,2,18,2,6,Emerson Evans,Atlas Employee 15,2020-01-16,2020-01-16,user15@example.com,E000015,0.0015,E000015,E000015,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,84c0f8cd2dfb5850a899d3b5fe65437584c0f8cd2dfb5850a899d3b5fe654375
16,E000016,311,59,-1,25,2,25,4,6,Blair Reed,Vertex Employee 16,2020-01-17,2020-01-17,user16@example.com,E000016,0.0016,E000016,E000016,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4dea8951ecc85b41868d43caf05419c34dea8951ecc85b41868d43caf05419c3
17,E000017,304,14,-1,40,5,10,4,1,Emerson Chen,Harbor Employee 17,2020-01-18,2020-01-18,user17@example.com,E000017,0.0017,E000017,E000017,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,047b56f159b45233b44f10923bb66e73047b56f159b45233b44f10923bb66e73
18,E000018,124,3,-1,12,2,7,4,10,Jordan Hughes,Keystone Employee 18,2020-01-19,2020-01-19,user18@example.com,E000018,0.0018,E000018,E000018,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,822e31d9eb7f50e69f11a7be021d0f7f822e31d9eb7f50e69f11a7be021d0f7f
19,E000019,399,49,-1,40,5,26,3,1,Jordan Bennett,Pioneer Employee 19,2020-01-20,2020-01-20,user19@example.com,E000019,0.0019,E000019,E000019,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3970730a1ea65be69071864b6bb677f23970730a1ea65be69071864b6bb677f2
20,E000020,276,57,-1,17,7,24,3,7,Harper Chen,Harbor Employee 20,2020-01-21,2020-01-21,user20@example.com,E000020,0.0020,E000020,E000020,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8e47565792fd518c8412cbf82aa9d3eb8e47565792fd518c8412cbf82aa9d3eb
21,E000021,220,8,-1,37,6,5,1,12,Morgan Khan,Vertex Employee 21,2020-01-22,2020-01-22,user21@example.com,E000021,0.0021,E000021,E000021,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6b03b54c37975950b737478242353ee46b03b54c37975950b737478242353ee4
22,E000022,268,19,-1,7,5,5,4,7,Quinn Evans,Vertex Employee 22,2020-01-23,2020-01-23,user22@example.com,E000022,0.0022,E000022,E000022,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6f3ee3650f8b5c1f8c158de042ac34796f3ee3650f8b5c1f8c158de042ac3479
23,E000023,422,20,-1,45,7,33,3,4,Quinn Khan,Forge Employee 23,2020-01-24,2020-01-24,user23@example.com,E000023,0.0023,E000023,E000023,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ae50351a04265dcaa4704c2e819eb849ae50351a04265dcaa4704c2e819eb849
24,E000024,187,20,-1,35,5,29,3,6,Finley Reed,Summit Employee 24,2020-01-25,2020-01-25,user24@example.com,E000024,0.0024,E000024,E000024,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,40cc18e8e42458749b8b141cc6ca1ba440cc18e8e42458749b8b141cc6ca1ba4
25,E000025,285,22,-1,30,7,15,2,8,Alex Martin,Atlas Employee 25,2020-01-26,2020-01-26,user25@example.com,E000025,0.0025,E000025,E000025,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,324f0d87d21055aa855c49a7ee1b5dac324f0d87d21055aa855c49a7ee1b5dac
26,E000026,324,58,-1,25,4,21,4,10,Harper Singh,Orion Employee 26,2020-01-27,2020-01-27,user26@example.com,E000026,0.0026,E000026,E000026,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2f6ba865bd8454d098dfca8616aa29d62f6ba865bd8454d098dfca8616aa29d6
27,E000027,133,55,-1,6,1,28,3,4,Finley Garcia,Junction Employee 27,2020-01-28,2020-01-28,user27@example.com,E000027,0.0027,E000027,E000027,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7123f1f75e265881bffcb5743fd04d347123f1f75e265881bffcb5743fd04d34
28,E000028,270,36,-1,33,3,3,4,9,Blair Garcia,Orion Employee 28,2020-01-29,2020-01-29,user28@example.com,E000028,0.0028,E000028,E000028,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,930eded3c8335ef1a1d1b12c9b5cd6c6930eded3c8335ef1a1d1b12c9b5cd6c6
29,E000029,159,28,-1,14,7,19,4,12,Blair Bennett,Delta Employee 29,2020-01-30,2020-01-30,user29@example.com,E000029,0.0029,E000029,E000029,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9a3d3369f9515de2bfeaf0819fd93a329a3d3369f9515de2bfeaf0819fd93a32
30,E000030,37,74,-1,13,4,28,4,2,Alex Reed,Evergreen Employee 30,2020-01-31,2020-01-31,user30@example.com,E000030,0.0030,E000030,E000030,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ce687ba4a2b05557b8dd514ba55eda5ace687ba4a2b05557b8dd514ba55eda5a
31,E000031,170,29,-1,49,3,9,1,10,Taylor Martin,Beacon Employee 31,2020-02-01,2020-02-01,user31@example.com,E000031,0.0031,E000031,E000031,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,edc14218835d5b69aeac362cf2320303edc14218835d5b69aeac362cf2320303
32,E000032,37,59,-1,29,3,2,2,6,Alex Patel,Zenith Employee 32,2020-02-02,2020-02-02,user32@example.com,E000032,0.0032,E000032,E000032,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9aae48476fd255678355ffd1a87368ea9aae48476fd255678355ffd1a87368ea
33,E000033,149,2,-1,6,1,11,2,3,Morgan Bennett,Atlas Employee 33,2020-02-03,2020-02-03,user33@example.com,E000033,0.0033,E000033,E000033,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,88bfd7c0d7d55ff48f3d9e31cb6a924788bfd7c0d7d55ff48f3d9e31cb6a9247
34,E000034,105,22,-1,29,3,13,2,12,Jordan Singh,Willow Employee 34,2020-02-04,2020-02-04,user34@example.com,E000034,0.0034,E000034,E000034,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e953eebc9e2050cabe62869f7bcf52d5e953eebc9e2050cabe62869f7bcf52d5
35,E000035,373,24,-1,39,2,16,3,2,Taylor Singh,Junction Employee 35,2020-02-05,2020-02-05,user35@example.com,E000035,0.0035,E000035,E000035,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,50f1fa776e3e5c6e82709d6505edede750f1fa776e3e5c6e82709d6505edede7
36,E000036,46,65,-1,47,7,35,4,11,Finley Evans,Ion Employee 36,2020-02-06,2020-02-06,user36@example.com,E000036,0.0036,E000036,E000036,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dc390768a9985d03aab00337dd07b2fbdc390768a9985d03aab00337dd07b2fb
37,E000037,444,38,-1,13,4,5,2,10,Jordan Khan,Junction Employee 37,2020-02-07,2020-02-07,user37@example.com,E000037,0.0037,E000037,E000037,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7dabedeff6925671b04bb5a7429aebb77dabedeff6925671b04bb5a7429aebb7
38,E000038,456,75,-1,15,6,27,1,1,Blair Singh,Granite Employee 38,2020-02-08,2020-02-08,user38@example.com,E000038,0.0038,E000038,E000038,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,820ecf487286502cafea0d10be4486d5820ecf487286502cafea0d10be4486d5
39,E000039,35,19,-1,20,1,24,3,6,Quinn Evans,Zenith Employee 39,2020-02-09,2020-02-09,user39@example.com,E000039,0.0039,E000039,E000039,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,59875d6d83585c90b8384400f2320ed759875d6d83585c90b8384400f2320ed7
40,E000040,20,9,-1,24,7,21,3,8,Finley Garcia,Willow Employee 40,2020-02-10,2020-02-10,user40@example.com,E000040,0.0040,E000040,E000040,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4058f7724ac25da392f2d69b25df05b54058f7724ac25da392f2d69b25df05b5
41,E000041,52,36,-1,53,2,14,3,6,Harper Bennett,Atlas Employee 41,2020-02-11,2020-02-11,user41@example.com,E000041,0.0041,E000041,E000041,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9161593274bf5bc08c9b56c9f4ba1f649161593274bf5bc08c9b56c9f4ba1f64
42,E000042,285,6,-1,49,2,9,2,8,Harper Singh,Delta Employee 42,2020-02-12,2020-02-12,user42@example.com,E000042,0.0042,E000042,E000042,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,49cc208c33c958c1b73325f713e89a1849cc208c33c958c1b73325f713e89a18
43,E000043,490,61,-1,32,2,5,1,8,Devon Garcia,Cedar Employee 43,2020-02-13,2020-02-13,user43@example.com,E000043,0.0043,E000043,E000043,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,20a51ead155a5c6f8535eb4c726b04ef20a51ead155a5c6f8535eb4c726b04ef
44,E000044,124,34,-1,35,8,17,4,5,Finley Garcia,Summit Employee 44,2020-02-14,2020-02-14,user44@example.com,E000044,0.0044,E000044,E000044,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f72e59f7512b5f94ba494f8654df0badf72e59f7512b5f94ba494f8654df0bad
45,E000045,110,77,-1,58,4,30,3,2,Riley Hughes,Granite Employee 45,2020-02-15,2020-02-15,user45@example.com,E000045,0.0045,E000045,E000045,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4037f8b728015f29bf75a0d6572b17844037f8b728015f29bf75a0d6572b1784
46,E000046,479,76,-1,18,2,6,1,8,Harper Bennett,Keystone Employee 46,2020-02-16,2020-02-16,user46@example.com,E000046,0.0046,E000046,E000046,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bf2502a930b25da5b19dd0a97b864630bf2502a930b25da5b19dd0a97b864630
47,E000047,349,31,-1,6,7,33,3,12,Emerson Khan,Keystone Employee 47,2020-02-17,2020-02-17,user47@example.com,E000047,0.0047,E000047,E000047,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,474c9dd822f754968f649c1afaf3ee7d474c9dd822f754968f649c1afaf3ee7d
48,E000048,445,4,-1,27,6,18,2,1,Jordan Singh,Zenith Employee 48,2020-02-18,2020-02-18,user48@example.com,E000048,0.0048,E000048,E000048,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9e01722d913657a7bcbb2855cb251dfb9e01722d913657a7bcbb2855cb251dfb
49,E000049,174,9,-1,49,7,19,1,3,Jordan Evans,Pioneer Employee 49,2020-02-19,2020-02-19,user49@example.com,E000049,0.0049,E000049,E000049,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,282b67f0bde751e599917347739381b5282b67f0bde751e599917347739381b5
50,E000050,57,20,-1,36,8,17,1,2,Alex Chen,Quartz Employee 50,2020-02-20,2020-02-20,user50@example.com,E000050,0.0050,E000050,E000050,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0ec44b7434b05a2d878305be9b3b0bf80ec44b7434b05a2d878305be9b3b0bf8
51,E000051,284,38,-1,44,8,22,2,1,Emerson Patel,Beacon Employee 51,2020-02-21,2020-02-21,user51@example.com,E000051,0.0051,E000051,E000051,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b4470f5fc46359fa9bfd7770bc0dbdcfb4470f5fc46359fa9bfd7770bc0dbdcf
52,E000052,273,51,-1,39,7,29,1,11,Finley Chen,Orion Employee 52,2020-02-22,2020-02-22,user52@example.com,E000052,0.0052,E000052,E000052,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4c0e756fa3b451cd8bf55a16aa47509e4c0e756fa3b451cd8bf55a16aa47509e
53,E000053,38,17,-1,2,2,10,1,11,Casey Patel,Cedar Employee 53,2020-02-23,2020-02-23,user53@example.com,E000053,0.0053,E000053,E000053,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,965e0dd1d5a059a29d379860cbbba866965e0dd1d5a059a29d379860cbbba866
54,E000054,22,50,-1,21,6,27,4,10,Devon Khan,Unity Employee 54,2020-02-24,2020-02-24,user54@example.com,E000054,0.0054,E000054,E000054,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a7da29fe3d9557ba9a3c0af59ef30dfea7da29fe3d9557ba9a3c0af59ef30dfe
55,E000055,394,78,-1,47,6,33,3,2,Taylor Chen,Northstar Employee 55,2020-02-25,2020-02-25,user55@example.com,E000055,0.0055,E000055,E000055,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d782138b52a35905b72d5faff0eff193d782138b52a35905b72d5faff0eff193
56,E000056,293,74,-1,2,5,32,1,2,Emerson Diaz,Titan Employee 56,2020-02-26,2020-02-26,user56@example.com,E000056,0.0056,E000056,E000056,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,97b53acde34b5ac990f667393624a9e597b53acde34b5ac990f667393624a9e5
57,E000057,462,15,-1,54,6,32,1,4,Morgan Evans,Willow Employee 57,2020-02-27,2020-02-27,user57@example.com,E000057,0.0057,E000057,E000057,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fd899033622b5d8e87fed9efac841fcefd899033622b5d8e87fed9efac841fce
58,E000058,104,12,-1,51,3,33,4,11,Alex Adams,Liberty Employee 58,2020-02-28,2020-02-28,user58@example.com,E000058,0.0058,E000058,E000058,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1c6541ebf1105b468c9d07496fe453581c6541ebf1105b468c9d07496fe45358
59,E000059,366,44,-1,60,1,5,4,10,Riley Reed,Evergreen Employee 59,2020-02-29,2020-02-29,user59@example.com,E000059,0.0059,E000059,E000059,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5a95b304a8ca5bbc95322d9b40bb22215a95b304a8ca5bbc95322d9b40bb2221
60,E000060,428,63,-1,16,2,24,2,5,Emerson Adams,Liberty Employee 60,2020-03-01,2020-03-01,user60@example.com,E000060,0.0060,E000060,E000060,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a291240e918f5bf09d9e7d682f689275a291240e918f5bf09d9e7d682f689275
61,E000061,287,12,-1,32,7,21,3,2,Harper Martin,Summit Employee 61,2020-03-02,2020-03-02,user61@example.com,E000061,0.0061,E000061,E000061,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,634c359ff9815b4993a908ea1ca0e71a634c359ff9815b4993a908ea1ca0e71a
62,E000062,228,76,-1,56,7,17,2,9,Blair Chen,Zenith Employee 62,2020-03-03,2020-03-03,user62@example.com,E000062,0.0062,E000062,E000062,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6a54b80ffcc15330a7d05bb0685226416a54b80ffcc15330a7d05bb068522641
63,E000063,464,21,-1,25,4,21,3,8,Jordan Martin,Cedar Employee 63,2020-03-04,2020-03-04,user63@example.com,E000063,0.0063,E000063,E000063,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6cc68a9058fe5f03b112d988541fb7ae6cc68a9058fe5f03b112d988541fb7ae
64,E000064,237,33,-1,19,5,24,2,12,Finley Martin,Zenith Employee 64,2020-03-05,2020-03-05,user64@example.com,E000064,0.0064,E000064,E000064,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f441747565cc56768e371b8734ce9b92f441747565cc56768e371b8734ce9b92
65,E000065,251,54,-1,7,8,29,1,7,Jordan Khan,Liberty Employee 65,2020-03-06,2020-03-06,user65@example.com,E000065,0.0065,E000065,E000065,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2e19ecc5f1a55ee3948731d6e97e30b82e19ecc5f1a55ee3948731d6e97e30b8
66,E000066,196,4,-1,35,6,25,1,2,Alex Diaz,Beacon Employee 66,2020-03-07,2020-03-07,user66@example.com,E000066,0.0066,E000066,E000066,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3c2b260cd9e75adc9095502afb1bebe13c2b260cd9e75adc9095502afb1bebe1
67,E000067,87,12,-1,21,6,12,4,11,Quinn Chen,Vertex Employee 67,2020-03-08,2020-03-08,user67@example.com,E000067,0.0067,E000067,E000067,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d517e54c03fd5af286a62af5abb2ae0dd517e54c03fd5af286a62af5abb2ae0d
68,E000068,73,47,-1,2,7,23,3,3,Jordan Reed,Granite Employee 68,2020-03-09,2020-03-09,user68@example.com,E000068,0.0068,E000068,E000068,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,26f42b43b0a85dfc85be490dbf75ca5d26f42b43b0a85dfc85be490dbf75ca5d
69,E000069,308,8,-1,38,3,37,2,3,Harper Reed,Harbor Employee 69,2020-03-10,2020-03-10,user69@example.com,E000069,0.0069,E000069,E000069,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,04f78a2d073e5380b6b487bf8d23c0f404f78a2d073e5380b6b487bf8d23c0f4
70,E000070,318,1,-1,56,1,33,1,5,Blair Diaz,Cedar Employee 70,2020-03-11,2020-03-11,user70@example.com,E000070,0.0070,E000070,E000070,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ac2c4d5a30075eb6b4c0c2f0fb3d54e8ac2c4d5a30075eb6b4c0c2f0fb3d54e8
71,E000071,383,25,-1,14,1,12,3,6,Blair Reed,Liberty Employee 71,2020-03-12,2020-03-12,user71@example.com,E000071,0.0071,E000071,E000071,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3233eb02b914592eb14c0742663e75283233eb02b914592eb14c0742663e7528
72,E000072,70,15,-1,1,3,9,3,2,Blair Evans,Orion Employee 72,2020-03-13,2020-03-13,user72@example.com,E000072,0.0072,E000072,E000072,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f645910e0b585e61acf4f13c1b6d98b8f645910e0b585e61acf4f13c1b6d98b8
73,E000073,224,16,-1,38,6,25,1,1,Quinn Khan,Summit Employee 73,2020-03-14,2020-03-14,user73@example.com,E000073,0.0073,E000073,E000073,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1fabf0a59310507fb741b1ff76ad78771fabf0a59310507fb741b1ff76ad7877
74,E000074,147,46,-1,38,4,27,1,5,Casey Martin,Keystone Employee 74,2020-03-15,2020-03-15,user74@example.com,E000074,0.0074,E000074,E000074,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,29e3252cda1453eea2466475366b929529e3252cda1453eea2466475366b9295
75,E000075,491,36,-1,53,2,3,2,8,Riley Singh,Quartz Employee 75,2020-03-16,2020-03-16,user75@example.com,E000075,0.0075,E000075,E000075,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,15940d02b34958928b339bb1140c8cd215940d02b34958928b339bb1140c8cd2
76,E000076,133,36,-1,24,1,8,4,8,Harper Adams,Ion Employee 76,2020-03-17,2020-03-17,user76@example.com,E000076,0.0076,E000076,E000076,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2625c68fb191583bab6a083b6ab781222625c68fb191583bab6a083b6ab78122
