AssetModelKey,AssetModelCode,AssetManufacturerKey,UnitOfMeasureKey,RecordStatusKey,AssetModelName,AssetModelDescription,OwnerName,EffectiveStartDate,EffectiveEndDate,IsActive,SourceSystemKey,BatchId,LoadedAtUtc
27,AM000027,446,1,1,Pioneer AssetModel 27,AssetModel starter record 27,Emerson Garcia,2020-01-28,2021-01-27,1,1,1,2026-08-24T00:00:00.000
28,AM000028,132,1,1,Evergreen AssetModel 28,AssetModel starter record 28,Quinn Reed,2020-01-29,2021-01-28,1,1,1,2026-08-24T00:00:00.000
29,AM000029,254,3,4,Northstar AssetModel 29,AssetModel starter record 29,Morgan Reed,2020-01-30,2021-01-29,1,1,1,2026-08-24T00:00:00.000
30,AM000030,47,3,2,Harbor AssetModel 30,AssetModel starter record 30,Blair Diaz,2020-01-31,2021-01-30,0,1,1,2026-08-24T00:00:00.000
31,AM000031,133,6,2,Junction AssetModel 31,AssetModel starter record 31,Casey Khan,2020-02-01,2021-01-31,1,1,1,2026-08-24T00:00:00.000
32,AM000032,86,3,4,Orion AssetModel 32,AssetModel starter record 32,Blair Patel,2020-02-02,2021-02-01,1,1,1,2026-08-24T00:00:00.000
33,AM000033,157,1,4,Granite AssetModel 33,AssetModel starter record 33,Devon Reed,2020-02-03,2021-02-02,1,1,1,2026-08-24T00:00:00.000
34,AM000034,200,4,4,Summit AssetModel 34,AssetModel starter record 34,Morgan Reed,2020-02-04,2021-02-03,1,1,1,2026-08-24T00:00:00.000
35,AM000035,418,1,2,Northstar AssetModel 35,AssetModel starter record 35,Casey Hughes,2020-02-05,2021-02-04,0,1,1,2026-08-24T00:00:00.000
36,AM000036,345,1,3,Orion AssetModel 36,AssetModel starter record 36,Quinn Diaz,2020-02-06,2021-02-05,1,1,1,2026-08-24T00:00:00.000
37,AM000037,390,1,2,Unity AssetModel 37,AssetModel starter record 37,Finley Khan,2020-02-07,2021-02-06,1,1,1,2026-08-24T00:00:00.000
38,AM000038,424,6,1,Cedar AssetModel 38,AssetModel starter record 38,Jordan Hughes,2020-02-08,2021-02-07,1,1,1,2026-08-24T00:00:00.000
39,AM000039,244,5,1,Delta AssetModel 39,AssetModel starter record 39,Emerson Diaz,2020-02-09,2021-02-08,1,1,1,2026-08-24T00:00:00.000
40,AM000040,485,7,3,Ion AssetModel 40,AssetModel starter record 40,Casey Evans,2020-02-10,2021-02-09,0,1,1,2026-08-24T00:00:00.000
41,AM000041,246,1,4,Cedar AssetModel 41,AssetModel starter record 41,Quinn Khan,2020-02-11,2021-02-10,1,1,1,2026-08-24T00:00:00.000
42,AM000042,78,7,1,Atlas AssetModel 42,AssetModel starter record 42,Emerson Khan,2020-02-12,2021-02-11,1,1,1,2026-08-24T00:00:00.000
43,AM000043,120,2,4,Forge AssetModel 43,AssetModel starter record 43,Riley Diaz,2020-02-13,2021-02-12,1,1,1,2026-08-24T00:00:00.000
44,AM000044,396,5,1,Liberty AssetModel 44,AssetModel starter record 44,Blair Bennett,2020-02-14,2021-02-13,1,1,1,2026-08-24T00:00:00.000
45,AM000045,365,1,2,Northstar AssetModel 45,AssetModel starter record 45,Taylor Martin,2020-02-15,2021-02-14,0,1,1,2026-08-24T00:00:00.000
46,AM000046,491,4,2,Atlas AssetModel 46,AssetModel starter record 46,Devon Singh,2020-02-16,2021-02-15,1,1,1,2026-08-24T00:00:00.000
47,AM000047,290,5,1,Northstar AssetModel 47,AssetModel starter record 47,Taylor Evans,2020-02-17,2021-02-16,1,1,1,2026-08-24T00:00:00.000
48,AM000048,176,4,3,Ion AssetModel 48,AssetModel starter record 48,Blair Garcia,2020-02-18,2021-02-17,1,1,1,2026-08-24T00:00:00.000
49,AM000049,437,7,2,Titan AssetModel 49,AssetModel starter record 49,Quinn Khan,2020-02-19,2021-02-18,1,1,1,2026-08-24T00:00:00.000
50,AM000050,205,1,4,Atlas AssetModel 50,AssetModel starter record 50,Alex Hughes,2020-02-20,2021-02-19,0,1,1,2026-08-24T00:00:00.000
51,AM000051,192,3,2,Zenith AssetModel 51,AssetModel starter record 51,Taylor Garcia,2020-02-21,2021-02-20,1,1,1,2026-08-24T00:00:00.000
52,AM000052,457,4,4,Vertex AssetModel 52,AssetModel starter record 52,Jordan Evans,2020-02-22,2021-02-21,1,1,1,2026-08-24T00:00:00.000
53,AM000053,448,3,1,Junction AssetModel 53,AssetModel starter record 53,Blair Chen,2020-02-23,2021-02-22,1,1,1,2026-08-24T00:00:00.000
54,AM000054,377,5,4,Harbor AssetModel 54,AssetModel starter record 54,Alex Patel,2020-02-24,2021-02-23,1,1,1,2026-08-24T00:00:00.000
55,AM000055,300,3,4,Cedar AssetModel 55,AssetModel starter record 55,Emerson Patel,2020-02-25,2021-02-24,0,1,1,2026-08-24T00:00:00.000
56,AM000056,117,4,1,Willow AssetModel 56,AssetModel starter record 56,Harper Diaz,2020-02-26,2021-02-25,1,1,1,2026-08-24T00:00:00.000
57,AM000057,312,3,2,Beacon AssetModel 57,AssetModel starter record 57,Morgan Reed,2020-02-27,2021-02-26,1,1,1,2026-08-24T00:00:00.000
58,AM000058,50,1,2,Atlas AssetModel 58,AssetModel starter record 58,Quinn Diaz,2020-02-28,2021-02-27,1,1,1,2026-08-24T00:00:00.000
59,AM000059,151,6,2,Evergreen AssetModel 59,AssetModel starter record 59,Taylor Evans,2020-02-29,2021-02-28,1,1,1,2026-08-24T00:00:00.000
60,AM000060,272,6,1,Harbor AssetModel 60,AssetModel starter record 60,Blair Patel,2020-03-01,2021-03-01,0,1,1,2026-08-24T00:00:00.000
61,AM000061,403,4,2,Harbor AssetModel 61,AssetModel starter record 61,Riley Patel,2020-03-02,2021-03-02,1,1,1,2026-08-24T00:00:00.000
62,AM000062,398,5,1,Ion AssetModel 62,AssetModel starter record 62,Alex Reed,2020-03-03,2021-03-03,1,1,1,2026-08-24T00:00:00.000
63,AM000063,85,3,2,Vertex AssetModel 63,AssetModel starter record 63,Finley Garcia,2020-03-04,2021-03-04,1,1,1,2026-08-24T00:00:00.000
64,AM000064,6,5,1,Pioneer AssetModel 64,AssetModel starter record 64,Morgan Hughes,2020-03-05,2021-03-05,1,1,1,2026-08-24T00:00:00.000
65,AM000065,335,5,3,Harbor AssetModel 65,AssetModel starter record 65,Jordan Hughes,2020-03-06,2021-03-06,0,1,1,2026-08-24T00:00:00.000
66,AM000066,166,3,2,Unity AssetModel 66,AssetModel starter record 66,Riley Martin,2020-03-07,2021-03-07,1,1,1,2026-08-24T00:00:00.000
67,AM000067,231,4,1,Titan AssetModel 67,AssetModel starter record 67,Blair Patel,2020-03-08,2021-03-08,1,1,1,2026-08-24T00:00:00.000
68,AM000068,497,2,4,Titan AssetModel 68,AssetModel starter record 68,Riley Adams,2020-03-09,2021-03-09,1,1,1,2026-08-24T00:00:00.000
69,AM000069,201,6,3,Titan AssetModel 69,AssetModel starter record 69,Harper Khan,2020-03-10,2021-03-10,1,1,1,2026-08-24T00:00:00.000
70,AM000070,332,2,3,Delta AssetModel 70,AssetModel starter record 70,Emerson Martin,2020-03-11,2021-03-11,0,1,1,2026-08-24T00:00:00.000
71,AM000071,394,1,3,Forge AssetModel 71,AssetModel starter record 71,Devon Garcia,2020-03-12,2021-03-12,1,1,1,2026-08-24T00:00:00.000
72,AM000072,342,1,2,Orion AssetModel 72,AssetModel starter record 72,Riley Hughes,2020-03-13,2021-03-13,1,1,1,2026-08-24T00:00:00.000
73,AM000073,330,5,2,Beacon AssetModel 73,AssetModel starter record 73,Alex Chen,2020-03-14,2021-03-14,1,1,1,2026-08-24T00:00:00.000
74,AM000074,258,4,1,Granite AssetModel 74,AssetModel starter record 74,Quinn Diaz,2020-03-15,2021-03-15,1,1,1,2026-08-24T00:00:00.000
75,AM000075,113,7,1,Ion AssetModel 75,AssetModel starter record 75,Casey Chen,2020-03-16,2021-03-16,0,1,1,2026-08-24T00:00:00.000
76,AM000076,359,6,4,Willow AssetModel 76,AssetModel starter record 76,Jordan Reed,2020-03-17,2021-03-17,1,1,1,2026-08-24T00:00:00.000
77,AM000077,77,3,2,Delta AssetModel 77,AssetModel starter record 77,Riley Garcia,2020-03-18,2021-03-18,1,1,1,2026-08-24T00:00:00.000
78,AM000078,469,1,1,Forge AssetModel 78,AssetModel starter record 78,Taylor Patel,2020-03-19,2021-03-19,1,1,1,2026-08-24T00:00:00.000
79,AM000079,98,3,4,Evergreen AssetModel 79,AssetModel starter record 79,Emerson Adams,2020-03-20,2021-03-20,1,1,1,2026-08-24T00:00:00.000
80,AM000080,257,3,4,Meridian AssetModel 80,AssetModel starter record 80,Casey Bennett,2020-03-21,2021-03-21,0,1,1,2026-08-24T00:00:00.000
81,AM000081,277,6,2,Granite AssetModel 81,AssetModel starter record 81,Blair Khan,2020-03-22,2021-03-22,1,1,1,2026-08-24T00:00:00.000
82,AM000082,441,3,2,Atlas AssetModel 82,AssetModel starter record 82,Alex Adams,2020-03-23,2021-03-23,1,1,1,2026-08-24T00:00:00.000
83,AM000083,141,4,4,Northstar AssetModel 83,AssetModel starter record 83,Taylor Garcia,2020-03-24,2021-03-24,1,1,1,2026-08-24T00:00:00.000
84,AM000084,198,4,1,Meridian AssetModel 84,AssetModel starter record 84,Alex Evans,2020-03-25,2021-03-25,1,1,1,2026-08-24T00:00:00.000
85,AM000085,264,3,3,Pioneer AssetModel 85,AssetModel starter record 85,Emerson Evans,2020-03-26,2021-03-26,0,1,1,2026-08-24T00:00:00.000
86,AM000086,347,5,2,Forge AssetModel 86,AssetModel starter record 86,Taylor Evans,2020-03-27,2021-03-27,1,1,1,2026-08-24T00:00:00.000
87,AM000087,32,7,2,Vertex AssetModel 87,AssetModel starter record 87,Harper Evans,2020-03-28,2021-03-28,1,1,1,2026-08-24T00:00:00.000
88,AM000088,361,7,4,Summit AssetModel 88,AssetModel starter record 88,Jordan Khan,2020-03-29,2021-03-29,1,1,1,2026-08-24T00:00:00.000
89,AM000089,436,1,4,Riverton AssetModel 89,AssetModel starter record 89,Jordan Martin,2020-03-30,2021-03-30,1,1,1,2026-08-24T00:00:00.000
90,AM000090,456,6,2,Delta AssetModel 90,AssetModel starter record 90,Alex Martin,2020-03-31,2021-03-31,0,1,1,2026-08-24T00:00:00.000
91,AM000091,220,2,3,Granite AssetModel 91,AssetModel starter record 91,Quinn Hughes,2020-04-01,2021-04-01,1,1,1,2026-08-24T00:00:00.000
92,AM000092,177,3,4,Forge AssetModel 92,AssetModel starter record 92,Taylor Garcia,2020-04-02,2021-04-02,1,1,1,2026-08-24T00:00:00.000
93,AM000093,344,3,3,Unity AssetModel 93,AssetModel starter record 93,Quinn Patel,2020-04-03,2021-04-03,1,1,1,2026-08-24T00:00:00.000
94,AM000094,317,3,3,Meridian AssetModel 94,AssetModel starter record 94,Taylor Bennett,2020-04-04,2021-04-04,1,1,1,2026-08-24T00:00:00.000
95,AM000095,178,6,3,Northstar AssetModel 95,AssetModel starter record 95,Blair Evans,2020-04-05,2021-04-05,0,1,1,2026-08-24T00:00:00.000
96,AM000096,104,1,3,Willow AssetModel 96,AssetModel starter record 96,Blair Evans,2020-04-06,2021-04-06,1,1,1,2026-08-24T00:00:00.000
97,AM000097,78,4,4,Liberty AssetModel 97,AssetModel starter record 97,Alex Garcia,2020-04-07,2021-04-07,1,1,1,2026-08-24T00:00:00.000
98,AM000098,388,4,1,Meridian AssetModel 98,AssetModel starter record 98,Quinn Reed,2020-04-08,2021-04-08,1,1,1,2026-08-24T00:00:00.000
99,AM000099,357,7,2,Junction AssetModel 99,AssetModel starter record 99,Alex Adams,2020-04-09,2021-04-09,1,1,1,2026-08-24T00:00:00.000
100,AM000100,228,1,3,Liberty AssetModel 100,AssetModel starter record 100,Quinn Chen,2020-04-10,2021-04-10,0,1,1,2026-08-24T00:00:00.000
101,AM000101,306,3,1,Riverton AssetModel 101,AssetModel starter record 101,Alex Martin,2020-04-11,2021-04-11,1,1,1,2026-08-24T00:00:00.000
102,AM000102,28,7,2,Orion AssetModel 102,AssetModel starter record 102,Blair Bennett,2020-04-12,2021-04-12,1,1,1,2026-08-24T00:00:00.000
103,AM000103,27,7,2,Cedar AssetModel 103,AssetModel starter record 103,Emerson Adams,2020-04-13,2021-04-13,1,1,1,2026-08-24T00:00:00.000
104,AM000104,270,6,2,Cedar AssetModel 104,AssetModel starter record 104,Emerson Khan,2020-04-14,2021-04-14,1,1,1,2026-08-24T00:00:00.000
105,AM000105,87,3,2,Granite AssetModel 105,AssetModel starter record 105,Emerson Hughes,2020-04-15,2021-04-15,0,1,1,2026-08-24T00:00:00.000
106,AM000106,80,3,3,Zenith AssetModel 106,AssetModel starter record 106,Alex Bennett,2020-04-16,2021-04-16,1,1,1,2026-08-24T00:00:00.000
107,AM000107,388,7,2,Quartz AssetModel 107,AssetModel starter record 107,Morgan Khan,2020-04-17,2021-04-17,1,1,1,2026-08-24T00:00:00.000
108,AM000108,55,6,4,Forge AssetModel 108,AssetModel starter record 108,Jordan Evans,2020-04-18,2021-04-18,1,1,1,2026-08-24T00:00:00.000
109,AM000109,61,2,3,Zenith AssetModel 109,AssetModel starter record 109,Blair Adams,2020-04-19,2021-04-19,1,1,1,2026-08-24T00:00:00.000
110,AM000110,382,4,2,Vertex AssetModel 110,AssetModel starter record 110,Blair Chen,2020-04-20,2021-04-20,0,1,1,2026-08-24T00:00:00.000
111,AM000111,313,3,3,Ion AssetModel 111,AssetModel starter record 111,Alex Garcia,2020-04-21,2021-04-21,1,1,1,2026-08-24T00:00:00.000
112,AM000112,174,1,4,Quartz AssetModel 112,AssetModel starter record 112,Emerson Hughes,2020-04-22,2021-04-22,1,1,1,2026-08-24T00:00:00.000
113,AM000113,88,7,2,Beacon AssetModel 113,AssetModel starter record 113,Emerson Diaz,2020-04-23,2021-04-23,1,1,1,2026-08-24T00:00:00.000
114,AM000114,80,2,1,Liberty AssetModel 114,AssetModel starter record 114,Emerson Garcia,2020-04-24,2021-04-24,1,1,1,2026-08-24T00:00:00.000
115,AM000115,247,2,4,Keystone AssetModel 115,AssetModel starter record 115,Quinn Hughes,2020-04-25,2021-04-25,0,1,1,2026-08-24T00:00:00.000
116,AM000116,490,7,3,Northstar AssetModel 116,AssetModel starter record 116,Harper Hughes,2020-04-26,2021-04-26,1,1,1,2026-08-24T00:00:00.000
117,AM000117,200,2,3,Titan AssetModel 117,AssetModel starter record 117,Harper Garcia,2020-04-27,2021-04-27,1,1,1,2026-08-24T00:00:00.000
118,AM000118,334,2,4,Granite AssetModel 118,AssetModel starter record 118,Quinn Martin,2020-04-28,2021-04-28,1,1,1,2026-08-24T00:00:00.000
119,AM000119,113,6,4,Meridian AssetModel 119,AssetModel starter record 119,Devon Adams,2020-04-29,2021-04-29,1,1,1,2026-08-24T00:00:00.000
120,AM000120,66,2,2,Evergreen AssetModel 120,AssetModel starter record 120,Blair Hughes,2020-04-30,2021-04-30,0,1,1,2026-08-24T00:00:00.000
121,AM000121,128,2,4,Summit AssetModel 121,AssetModel starter record 121,Blair Diaz,2020-05-01,2021-05-01,1,1,1,2026-08-24T00:00:00.000
122,AM000122,28,3,2,Titan AssetModel 122,AssetModel starter record 122,Blair Reed,2020-05-02,2021-05-02,1,1,1,2026-08-24T00:00:00.000
123,AM000123,241,7,3,Harbor AssetModel 123,AssetModel starter record 123,Alex Martin,2020-05-03,2021-05-03,1,1,1,2026-08-24T00:00:00.000
124,AM000124,73,2,2,Ion AssetModel 124,AssetModel starter record 124,Morgan Reed,2020-05-04,2021-05-04,1,1,1,2026-08-24T00:00:00.000
125,AM000125,88,7,3,Ion AssetModel 125,AssetModel starter record 125,Jordan Patel,2020-05-05,2021-05-05,0,1,1,2026-08-24T00:00:00.000
126,AM000126,409,1,2,Vertex AssetModel 126,AssetModel starter record 126,Harper Diaz,2020-05-06,2021-05-06,1,1,1,2026-08-24T00:00:00.000
127,AM000127,400,3,3,Pioneer AssetModel 127,AssetModel starter record 127,Devon Diaz,2020-05-07,2021-05-07,1,1,1,2026-08-24T00:00:00.000
128,AM000128,341,7,2,Keystone AssetModel 128,AssetModel starter record 128,Blair Reed,2020-05-08,2021-05-08,1,1,1,2026-08-24T00:00:00.000
129,AM000129,353,5,3,Pioneer AssetModel 129,AssetModel starter record 129,Riley Reed,2020-05-09,2021-05-09,1,1,1,2026-08-24T00:00:00.000
130,AM000130,482,2,3,Quartz AssetModel 130,AssetModel starter record 130,Taylor Khan,2020-05-10,2021-05-10,0,1,1,2026-08-24T00:00:00.000
131,AM000131,148,4,4,Quartz AssetModel 131,AssetModel starter record 131,Riley Khan,2020-05-11,2021-05-11,1,1,1,2026-08-24T00:00:00.000
132,AM000132,131,2,1,Cedar AssetModel 132,AssetModel starter record 132,Riley Reed,2020-05-12,2021-05-12,1,1,1,2026-08-24T00:00:00.000
133,AM000133,210,2,3,Pioneer AssetModel 133,AssetModel starter record 133,Finley Evans,2020-05-13,2021-05-13,1,1,1,2026-08-24T00:00:00.000
134,AM000134,323,6,4,Liberty AssetModel 134,AssetModel starter record 134,Morgan Patel,2020-05-14,2021-05-14,1,1,1,2026-08-24T00:00:00.000
135,AM000135,146,3,3,Orion AssetModel 135,AssetModel starter record 135,Casey Adams,2020-05-15,2021-05-15,0,1,1,2026-08-24T00:00:00.000
136,AM000136,11,3,3,Cedar AssetModel 136,AssetModel starter record 136,Finley Diaz,2020-05-16,2021-05-16,1,1,1,2026-08-24T00:00:00.000
137,AM000137,276,6,2,Vertex AssetModel 137,AssetModel starter record 137,Harper Reed,2020-05-17,2021-05-17,1,1,1,2026-08-24T00:00:00.000
138,AM000138,119,5,4,Summit AssetModel 138,AssetModel starter record 138,Taylor Reed,2020-05-18,2021-05-18,1,1,1,2026-08-24T00:00:00.000
139,AM000139,198,5,3,Unity AssetModel 139,AssetModel starter record 139,Jordan Evans,2020-05-19,2021-05-19,1,1,1,2026-08-24T00:00:00.000
140,AM000140,63,1,1,Junction AssetModel 140,AssetModel starter record 140,Quinn Reed,2020-05-20,2021-05-20,0,1,1,2026-08-24T00:00:00.000
141,AM000141,252,7,2,Atlas AssetModel 141,AssetModel starter record 141,Alex Martin,2020-05-21,2021-05-21,1,1,1,2026-08-24T00:00:00.000
142,AM000142,150,6,4,Willow AssetModel 142,AssetModel starter record 142,Morgan Chen,2020-05-22,2021-05-22,1,1,1,2026-08-24T00:00:00.000
143,AM000143,61,3,1,Zenith AssetModel 143,AssetModel starter record 143,Devon Singh,2020-05-23,2021-05-23,1,1,1,2026-08-24T00:00:00.000
144,AM000144,93,7,2,Titan AssetModel 144,AssetModel starter record 144,Riley Diaz,2020-05-24,2021-05-24,1,1,1,2026-08-24T00:00:00.000
145,AM000145,460,6,3,Delta AssetModel 145,AssetModel starter record 145,Devon Garcia,2020-05-25,2021-05-25,0,1,1,2026-08-24T00:00:00.000
146,AM000146,279,5,4,Delta AssetModel 146,AssetModel starter record 146,Finley Bennett,2020-05-26,2021-05-26,1,1,1,2026-08-24T00:00:00.000
147,AM000147,223,3,4,Junction AssetModel 147,AssetModel starter record 147,Taylor Adams,2020-05-27,2021-05-27,1,1,1,2026-08-24T00:00:00.000
148,AM000148,496,3,3,Orion AssetModel 148,AssetModel starter record 148,Devon Martin,2020-05-28,2021-05-28,1,1,1,2026-08-24T00:00:00.000
149,AM000149,334,7,4,Titan AssetModel 149,AssetModel starter record 149,Finley Garcia,2020-05-29,2021-05-29,1,1,1,2026-08-24T00:00:00.000
150,AM000150,395,1,3,Vertex AssetModel 150,AssetModel starter record 150,Devon Diaz,2020-05-30,2021-05-30,0,1,1,2026-08-24T00:00:00.000
151,AM000151,371,1,4,Orion AssetModel 151,AssetModel starter record 151,Emerson Martin,2020-05-31,2021-05-31,1,1,1,2026-08-24T00:00:00.000
152,AM000152,268,2,4,Zenith AssetModel 152,AssetModel starter record 152,Finley Adams,2020-06-01,2021-06-01,1,1,1,2026-08-24T00:00:00.000
153,AM000153,315,4,4,Forge AssetModel 153,AssetModel starter record 153,Quinn Martin,2020-06-02,2021-06-02,1,1,1,2026-08-24T00:00:00.000
154,AM000154,451,7,2,Ion AssetModel 154,AssetModel starter record 154,Jordan Martin,2020-06-03,2021-06-03,1,1,1,2026-08-24T00:00:00.000
155,AM000155,161,5,4,Vertex AssetModel 155,AssetModel starter record 155,Jordan Adams,2020-06-04,2021-06-04,0,1,1,2026-08-24T00:00:00.000
156,AM000156,459,5,3,Unity AssetModel 156,AssetModel starter record 156,Morgan Khan,2020-06-05,2021-06-05,1,1,1,2026-08-24T00:00:00.000
157,AM000157,74,5,4,Northstar AssetModel 157,AssetModel starter record 157,Quinn Singh,2020-06-06,2021-06-06,1,1,1,2026-08-24T00:00:00.000
158,AM000158,128,5,3,Summit AssetModel 158,AssetModel starter record 158,Morgan Patel,2020-06-07,2021-06-07,1,1,1,2026-08-24T00:00:00.000
159,AM000159,392,4,1,Harbor AssetModel 159,AssetModel starter record 159,Morgan Diaz,2020-06-08,2021-06-08,1,1,1,2026-08-24T00:00:00.000
160,AM000160,196,3,3,Titan AssetModel 160,AssetModel starter record 160,Harper Martin,2020-06-09,2021-06-09,0,1,1,2026-08-24T00:00:00.000
161,AM000161,449,2,3,Meridian AssetModel 161,AssetModel starter record 161,Jordan Hughes,2020-06-10,2021-06-10,1,1,1,2026-08-24T00:00:00.000
162,AM000162,434,4,2,Ion AssetModel 162,AssetModel starter record 162,Devon Hughes,2020-06-11,2021-06-11,1,1,1,2026-08-24T00:00:00.000
163,AM000163,283,3,2,Zenith AssetModel 163,AssetModel starter record 163,Devon Diaz,2020-06-12,2021-06-12,1,1,1,2026-08-24T00:00:00.000
164,AM000164,240,6,1,Junction AssetModel 164,AssetModel starter record 164,Morgan Chen,2020-06-13,2021-06-13,1,1,1,2026-08-24T00:00:00.000
165,AM000165,440,5,3,Cedar AssetModel 165,AssetModel starter record 165,Riley Khan,2020-06-14,2021-06-14,0,1,1,2026-08-24T00:00:00.000
166,AM000166,7,7,2,Summit AssetModel 166,AssetModel starter record 166,Casey Garcia,2020-06-15,2021-06-15,1,1,1,2026-08-24T00:00:00.000
167,AM000167,26,4,2,Cedar AssetModel 167,AssetModel starter record 167,Morgan Singh,2020-06-16,2021-06-16,1,1,1,2026-08-24T00:00:00.000
168,AM000168,140,4,1,Atlas AssetModel 168,AssetModel starter record 168,Casey Chen,2020-06-17,2021-06-17,1,1,1,2026-08-24T00:00:00.000
169,AM000169,22,2,1,Evergreen AssetModel 169,AssetModel starter record 169,Devon Patel,2020-06-18,2021-06-18,1,1,1,2026-08-24T00:00:00.000
170,AM000170,469,2,3,Atlas AssetModel 170,AssetModel starter record 170,Jordan Evans,2020-06-19,2021-06-19,0,1,1,2026-08-24T00:00:00.000
171,AM000171,452,4,2,Granite AssetModel 171,AssetModel starter record 171,Harper Reed,2020-06-20,2021-06-20,1,1,1,2026-08-24T00:00:00.000
172,AM000172,132,4,3,Quartz AssetModel 172,AssetModel starter record 172,Riley Bennett,2020-06-21,2021-06-21,1,1,1,2026-08-24T00:00:00.000
173,AM000173,62,6,1,Cedar AssetModel 173,AssetModel starter record 173,Quinn Patel,2020-06-22,2021-06-22,1,1,1,2026-08-24T00:00:00.000
174,AM000174,85,6,2,Riverton AssetModel 174,AssetModel starter record 174,Taylor Bennett,2020-06-23,2021-06-23,1,1,1,2026-08-24T00:00:00.000
