CostCenterTypeKey,CostCenterTypeCode,RecordStatusKey,CostCenterTypeName,CostCenterTypeDescription,OwnerName,EffectiveStartDate,EffectiveEndDate,IsActive,SourceSystemKey,BatchId,LoadedAtUtc
25,CCT000025,3,Atlas CostCenterType 25,CostCenterType starter record 25,Harper Garcia,2020-01-26,2021-01-25,0,1,1,2026-08-24T00:00:00.000
26,CCT000026,1,Meridian CostCenterType 26,CostCenterType starter record 26,Blair Evans,2020-01-27,2021-01-26,1,1,1,2026-08-24T00:00:00.000
27,CCT000027,2,Zenith CostCenterType 27,CostCenterType starter record 27,Jordan Chen,2020-01-28,2021-01-27,1,1,1,2026-08-24T00:00:00.000
28,CCT000028,4,Willow CostCenterType 28,CostCenterType starter record 28,Riley Adams,2020-01-29,2021-01-28,1,1,1,2026-08-24T00:00:00.000
29,CCT000029,1,Liberty CostCenterType 29,CostCenterType starter record 29,Quinn Diaz,2020-01-30,2021-01-29,1,1,1,2026-08-24T00:00:00.000
30,CCT000030,1,Summit CostCenterType 30,CostCenterType starter record 30,Finley Diaz,2020-01-31,2021-01-30,0,1,1,2026-08-24T00:00:00.000
31,CCT000031,3,Cedar CostCenterType 31,CostCenterType starter record 31,Riley Reed,2020-02-01,2021-01-31,1,1,1,2026-08-24T00:00:00.000
32,CCT000032,4,Junction CostCenterType 32,CostCenterType starter record 32,Finley Chen,2020-02-02,2021-02-01,1,1,1,2026-08-24T00:00:00.000
33,CCT000033,3,Pioneer CostCenterType 33,CostCenterType starter record 33,Quinn Adams,2020-02-03,2021-02-02,1,1,1,2026-08-24T00:00:00.000
34,CCT000034,4,Unity CostCenterType 34,CostCenterType starter record 34,Harper Chen,2020-02-04,2021-02-03,1,1,1,2026-08-24T00:00:00.000
35,CCT000035,1,Quartz CostCenterType 35,CostCenterType starter record 35,Taylor Evans,2020-02-05,2021-02-04,0,1,1,2026-08-24T00:00:00.000
36,CCT000036,2,Unity CostCenterType 36,CostCenterType starter record 36,Quinn Singh,2020-02-06,2021-02-05,1,1,1,2026-08-24T00:00:00.000
37,CCT000037,2,Liberty CostCenterType 37,CostCenterType starter record 37,Harper Martin,2020-02-07,2021-02-06,1,1,1,2026-08-24T00:00:00.000
38,CCT000038,3,Northstar CostCenterType 38,CostCenterType starter record 38,Jordan Diaz,2020-02-08,2021-02-07,1,1,1,2026-08-24T00:00:00.000
39,CCT000039,2,Harbor CostCenterType 39,CostCenterType starter record 39,Quinn Singh,2020-02-09,2021-02-08,1,1,1,2026-08-24T00:00:00.000
40,CCT000040,2,Evergreen CostCenterType 40,CostCenterType starter record 40,Emerson Diaz,2020-02-10,2021-02-09,0,1,1,2026-08-24T00:00:00.000
